index,text,score,difficulty_score,difficulty_strategy,difficulty
0,"The Rock is destined to be the 21st Century's new ''Conan'' and that he's going to make a splash even greater than Arnold Schwarzenegger, Jean Claud Van Damme or Steven Segal.",1,0.4012162387371063,roberta-mlm-loss,hard
1,The gorgeously elaborate continuation of ''The Lord of the Rings'' trilogy is so huge that a column of words cannot adequately describe co writer/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle earth.,1,0.23944871127605438,roberta-mlm-loss,hard
2,Effective but too tepid biopic,-1,0.00044867355609312654,roberta-mlm-loss,easy
3,"If you sometimes like to go to the movies to have fun, Wasabi is a good place to start.",1,0.0020420255605131388,roberta-mlm-loss,medium
4,"Emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one.",1,0.33567485213279724,roberta-mlm-loss,hard
5,The film provides some great insight into the neurotic mindset of all comics    even those who have reached the absolute top of the game.,1,0.0032540569081902504,roberta-mlm-loss,medium
6,Offers that rare combination of entertainment and education.,1,0.0013049818808212876,roberta-mlm-loss,easy
7,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.,1,0.013700248673558235,roberta-mlm-loss,medium
8,Steers turns in a snappy screenplay that curls at the edges; it's so clever you want to hate it. But he somehow pulls it off.,1,0.00036842896952293813,roberta-mlm-loss,easy
9,Take Care of My Cat offers a refreshingly different slice of Asian cinema.,1,0.0003697205102071166,roberta-mlm-loss,easy
10,"This is a film well worth seeing, talking and singing heads and all.",1,0.01328973937779665,roberta-mlm-loss,medium
11,What really surprises about Wisegirls is its low key quality and genuine tenderness.,1,0.03455621376633644,roberta-mlm-loss,hard
12,"(Wendigo is) why we go to the cinema: to be fed through the eye, the heart, the mind.",1,0.0006573471473529935,roberta-mlm-loss,easy
13,"One of the greatest family oriented, fantasy adventure movies ever.",1,0.0004133284091949463,roberta-mlm-loss,easy
14,"Ultimately, it ponders the reasons we need stories so much.",1,0.0018075212137773633,roberta-mlm-loss,medium
15,An utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question.,1,0.0011994309024885297,roberta-mlm-loss,easy
16,Illuminating if overly talky documentary.,1,0.0022701427806168795,roberta-mlm-loss,medium
17,A masterpiece four years in the making.,1,0.0010460650082677603,roberta-mlm-loss,easy
18,"The movie's ripe, enrapturing beauty will tempt those willing to probe its inscrutable mysteries.",1,0.001897171838209033,roberta-mlm-loss,medium
19,Offers a breath of the fresh air of true sophistication.,1,0.0009750244207680225,roberta-mlm-loss,easy
20,"A thoughtful, provocative, insistently humanizing film.",1,0.010443500243127346,roberta-mlm-loss,medium
21,"With a cast that includes some of the top actors working in independent film, Lovely &amp; Amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives.",1,0.45540347695350647,roberta-mlm-loss,hard
22,A disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by Philip Glass.,1,0.0006415236857719719,roberta-mlm-loss,easy
23,"Not for everyone, but for those with whom it will connect, it's a nice departure from standard moviegoing fare.",1,0.0005755976308137178,roberta-mlm-loss,easy
24,Scores a few points for doing what it does with a dedicated and good hearted professionalism.,1,0.013764413073658943,roberta-mlm-loss,medium
25,"Occasionally melodramatic, it's also extremely effective.",1,0.000818813918158412,roberta-mlm-loss,easy
26,An idealistic love story that brings out the latent 15 year old romantic in everyone.,1,0.000863779045175761,roberta-mlm-loss,easy
27,"At about 95 minutes, Treasure Planet maintains a brisk pace as it races through the familiar story. However, it lacks grandeur and that epic quality often associated with Stevenson's tale as well as with earlier Disney efforts.",-1,0.003065260360017419,roberta-mlm-loss,medium
28,It helps that Lil Bow Wow ... tones down his pint sized gangsta act to play someone who resembles a real kid.,1,0.07088575512170792,roberta-mlm-loss,hard
29,"Guaranteed to move anyone who ever shook, rattled, or rolled.",1,0.03235621005296707,roberta-mlm-loss,hard
30,"A masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview.",1,0.0010975742479786277,roberta-mlm-loss,easy
31,"Light, cute and forgettable.",1,0.0008526475285179913,roberta-mlm-loss,easy
32,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R rated) Paid.",1,0.4672999083995819,roberta-mlm-loss,hard
33,"While it would be easy to give Crush the new title of Two Weddings and a Funeral, it's a far more thoughtful film than any slice of Hugh Grant whimsy.",1,0.2785215973854065,roberta-mlm-loss,hard
34,"Though everything might be literate and smart, it never took off and always seemed static.",-1,0.0026631238870322704,roberta-mlm-loss,medium
35,"Cantet perfectly captures the hotel lobbies, two lane highways, and roadside cafes that permeate Vincent's days",1,0.019752489402890205,roberta-mlm-loss,hard
36,"Ms. Fulford Wierzbicki is almost spooky in her sulky, calculating Lolita turn.",1,0.005512184929102659,roberta-mlm-loss,medium
37,"Though it is by no means his best work, Laissez Passer is a distinguished and distinctive effort by a bona fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them.",1,0.0060962047427892685,roberta-mlm-loss,medium
38,"Like most Bond outings in recent years, some of the stunts are so outlandish that they border on being cartoonlike. A heavy reliance on CGI technology is beginning to creep into the series.",-1,0.028916994109749794,roberta-mlm-loss,hard
39,"Newton draws our attention like a magnet, and acts circles around her better known co star, Mark Wahlberg.",1,0.031834863126277924,roberta-mlm-loss,hard
40,"The story loses its bite in a last minute happy ending that's even less plausible than the rest of the picture. Much of the way, though, this is a refreshingly novel ride.",1,0.004764039535075426,roberta-mlm-loss,medium
41,Fuller would surely have called this gutsy and at times exhilarating movie a great yarn.,1,0.0022689406760036945,roberta-mlm-loss,medium
42,The film makes a strong case for the importance of the musicians in creating the Motown sound.,1,0.00034282662090845406,roberta-mlm-loss,easy
43,"Karmen moves like rhythm itself, her lips chanting to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat.",1,0.00587467011064291,roberta-mlm-loss,medium
44,Gosling provides an amazing performance that dwarfs everything else in the film.,1,0.0010699497070163488,roberta-mlm-loss,easy
45,"A real movie, about real people, that gives us a rare glimpse into a culture most of us don't know.",1,0.0001584275159984827,roberta-mlm-loss,easy
46,Tender yet lacerating and darkly funny fable.,1,0.0007274067029356956,roberta-mlm-loss,easy
47,May be spoofing an easy target    those old '50's giant creature features    but ... it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today.,1,0.01121107954531908,roberta-mlm-loss,medium
48,An engaging overview of Johnson's eccentric career.,1,0.0025368849746882915,roberta-mlm-loss,medium
49,"In its ragged, cheap and unassuming way, the movie works.",1,0.00021911805379204452,roberta-mlm-loss,easy
50,Some actors have so much charisma that you'd be happy to listen to them reading the phone book. Hugh Grant and Sandra Bullock are two such likeable actors.,1,0.0021829353645443916,roberta-mlm-loss,medium
51,"Sandra Nettelbeck beautifully orchestrates the transformation of the chilly, neurotic, and self absorbed Martha as her heart begins to open.",1,0.035760365426540375,roberta-mlm-loss,hard
52,"Behind the snow games and lovable Siberian huskies (plus one sheep dog), the picture hosts a parka wrapped dose of heart.",1,0.3328886330127716,roberta-mlm-loss,hard
53,"Everytime you think Undercover Brother has run out of steam, it finds a new way to surprise and amuse.",1,0.0010237026726827025,roberta-mlm-loss,easy
54,"Manages to be original, even though it rips off many of its ideas.",1,0.00128537742421031,roberta-mlm-loss,easy
