split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7674648590000288,0.820544599999721,0.8211654219999218,0.7399893999099731,0.6451612903225806,0.3125,0.5217391304347826,0.26666666666666666,5e-06,0.0,0.0,0.0,easy
test,0,1,2,32,0.5211890610003138,1.3628977119997217,1.3635186649999014,0.7306183576583862,0.5229885057471264,0.40625,0.5083333333333333,0.3552492046659597,1e-05,0.84375,0.0,1.0,easy|medium
test,0,1,3,32,0.522707784999966,1.886064236999573,1.8866850360000171,0.7231014966964722,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,1.5000000000000002e-05,1.75,1.0,2.0,medium|hard
test,0,1,4,14,0.27230934499993964,2.158895415999723,2.1595162779999555,0.6948670148849487,0.23076923076923078,0.42857142857142855,0.42857142857142855,0.3,2e-05,2.0,2.0,2.0,hard
test,0,2,1,32,0.5235488280000027,0.5930618550000872,3.017743426999914,0.7146984934806824,0.5178571428571428,0.34375,0.5096618357487922,0.32732732732732733,1.9444444444444445e-05,0.0,0.0,0.0,easy
test,0,2,2,32,0.5212538960004167,1.1148954330001288,3.5395770000000084,0.6985629796981812,0.5289855072463768,0.46875,0.525,0.464039408866995,1.888888888888889e-05,0.84375,0.0,1.0,easy|medium
test,0,2,3,32,0.5231175439998879,1.6385101649998433,4.063191770999765,0.7184670567512512,0.4772727272727273,0.46875,0.48039215686274506,0.45545545545545546,1.8333333333333333e-05,1.75,1.0,2.0,medium|hard
test,0,2,4,14,0.2716541199997664,1.9106399819997932,4.335321558000032,0.6599792838096619,0.7916666666666667,0.7857142857142857,0.7857142857142857,0.7846153846153847,1.7777777777777777e-05,2.0,2.0,2.0,hard
test,0,3,1,32,0.5242513940002027,0.5918138810002347,5.197216106999804,0.6580844521522522,0.6590909090909092,0.71875,0.6690821256038648,0.6631578947368422,1.7222222222222224e-05,0.0,0.0,0.0,easy
test,0,3,2,32,0.5217506439998942,1.1142050150001523,5.719607221999922,0.6728736162185669,0.44285714285714284,0.53125,0.4583333333333333,0.43859649122807015,1.6666666666666667e-05,0.84375,0.0,1.0,easy|medium
test,0,3,3,32,0.5199393160000909,1.6345814330002213,6.23998364199997,0.6928781270980835,0.375,0.46875,0.44509803921568625,0.36374269005847953,1.6111111111111115e-05,1.75,1.0,2.0,medium|hard
test,0,3,4,14,0.2698070410001492,1.9048636729999089,6.510265889000038,0.7876102328300476,0.25,0.5,0.5,0.3333333333333333,1.555555555555556e-05,2.0,2.0,2.0,hard
test,0,4,1,32,0.523555702000067,0.5913446149997981,7.3770302169996285,0.6578105688095093,0.359375,0.71875,0.5,0.41818181818181815,1.5000000000000002e-05,0.0,0.0,0.0,easy
test,0,4,2,32,0.5197170590004134,1.1116657919997124,7.897351392000019,0.6664151549339294,0.3125,0.625,0.5,0.38461538461538464,1.4444444444444446e-05,0.84375,0.0,1.0,easy|medium
test,0,4,3,32,0.5192701999999372,1.63132134999978,8.417006964999928,0.7152668237686157,0.265625,0.53125,0.5,0.3469387755102041,1.388888888888889e-05,1.75,1.0,2.0,medium|hard
test,0,4,4,14,0.2690727449999031,1.9008350839999366,8.686520718999873,0.6789401769638062,0.7692307692307692,0.5714285714285714,0.5714285714285714,0.475,1.3333333333333333e-05,2.0,2.0,2.0,hard
test,0,5,1,32,0.5197436499997821,0.5889909929996975,9.549098367999704,0.6173771619796753,0.8709677419354839,0.75,0.5555555555555556,0.5259259259259259,1.2777777777777777e-05,0.0,0.0,0.0,easy
test,0,5,2,32,0.5199877710001601,1.109596539999984,10.069703999000012,0.6698741316795349,0.3125,0.625,0.5,0.38461538461538464,1.2222222222222224e-05,0.84375,0.0,1.0,easy|medium
test,0,5,3,32,0.519418780000251,1.6294305479996183,10.589538002999689,0.6833980083465576,0.265625,0.53125,0.5,0.3469387755102041,1.1666666666666668e-05,1.75,1.0,2.0,medium|hard
test,0,5,4,14,0.26903723199984597,1.898930215999826,10.859037669999907,0.6611743569374084,0.25,0.5,0.5,0.3333333333333333,1.1111111111111113e-05,2.0,2.0,2.0,hard
test,0,6,1,32,0.5211187490003795,0.589112822000061,11.731195034999928,0.6351879835128784,0.359375,0.71875,0.5,0.41818181818181815,1.0555555555555557e-05,0.0,0.0,0.0,easy
test,0,6,2,32,0.5205811099999664,1.1103487800000948,12.252431009999782,0.6369656324386597,0.3125,0.625,0.5,0.38461538461538464,1e-05,0.84375,0.0,1.0,easy|medium
test,0,6,3,32,0.5199328919998152,1.6307510349997756,12.772833274999812,0.6692714691162109,0.265625,0.53125,0.5,0.3469387755102041,9.444444444444445e-06,1.75,1.0,2.0,medium|hard
test,0,6,4,14,0.2697798179997335,1.9010021200001574,13.043084332000035,0.6310807466506958,0.25,0.5,0.5,0.3333333333333333,8.888888888888888e-06,2.0,2.0,2.0,hard
test,0,7,1,32,0.5209745410002142,0.5906646809999074,13.910174893999738,0.6106274127960205,0.359375,0.71875,0.5,0.41818181818181815,8.333333333333334e-06,0.0,0.0,0.0,easy
test,0,7,2,32,0.518862381999952,1.110106013999939,14.429616279999664,0.6325637102127075,0.3125,0.625,0.5,0.38461538461538464,7.77777777777778e-06,0.84375,0.0,1.0,easy|medium
test,0,7,3,32,0.5203810689999955,1.630930749000072,14.950440994000019,0.7107445001602173,0.265625,0.53125,0.5,0.3469387755102041,7.222222222222223e-06,1.75,1.0,2.0,medium|hard
test,0,7,4,14,0.27020086899983653,1.9015284030001567,15.221038941999723,0.6204926371574402,0.25,0.5,0.5,0.3333333333333333,6.666666666666667e-06,2.0,2.0,2.0,hard
test,0,8,1,32,0.5226281579998613,0.5908722069998475,16.082012867999765,0.567183256149292,0.359375,0.71875,0.5,0.41818181818181815,6.111111111111112e-06,0.0,0.0,0.0,easy
test,0,8,2,32,0.5205343260004156,1.1120602460000555,16.603200907999963,0.5782637000083923,0.8225806451612903,0.65625,0.5416666666666666,0.46907993966817496,5.555555555555557e-06,0.84375,0.0,1.0,easy|medium
test,0,8,3,32,0.5203533750000133,1.632892718000221,17.124033387000054,0.6446906924247742,0.265625,0.53125,0.5,0.3469387755102041,5e-06,1.75,1.0,2.0,medium|hard
test,0,8,4,14,0.26893858500034185,1.902319683999849,17.39346036200004,0.6263788938522339,0.7692307692307692,0.5714285714285714,0.5714285714285714,0.475,4.444444444444444e-06,2.0,2.0,2.0,hard
test,0,9,1,32,0.523055740000018,0.5913793250001618,18.26537293399997,0.5466566681861877,0.359375,0.71875,0.5,0.41818181818181815,3.88888888888889e-06,0.0,0.0,0.0,easy
test,0,9,2,32,0.5210811060001106,1.1130941070000517,18.787087624999913,0.5632692575454712,0.3125,0.625,0.5,0.38461538461538464,3.3333333333333333e-06,0.84375,0.0,1.0,easy|medium
test,0,9,3,32,0.5209341879999556,1.6344491650002055,19.308442740999908,0.6069992780685425,0.265625,0.53125,0.5,0.3469387755102041,2.7777777777777783e-06,1.75,1.0,2.0,medium|hard
test,0,9,4,14,0.2700298570002815,1.9049435410001934,19.578937072999906,0.5621134638786316,0.25,0.5,0.5,0.3333333333333333,2.222222222222222e-06,2.0,2.0,2.0,hard
test,0,10,1,32,0.5232898809999824,0.5916169219999574,20.452230745999714,0.5271512866020203,0.359375,0.71875,0.5,0.41818181818181815,1.6666666666666667e-06,0.0,0.0,0.0,easy
test,0,10,2,32,0.5218081109997001,1.1140739870002108,20.974687886999618,0.563369870185852,0.3125,0.625,0.5,0.38461538461538464,1.111111111111111e-06,0.84375,0.0,1.0,easy|medium
test,0,10,3,32,0.5220556190001844,1.6366038410001238,21.49721772699968,0.5880664587020874,0.265625,0.53125,0.5,0.3469387755102041,5.555555555555555e-07,1.75,1.0,2.0,medium|hard
test,0,10,4,14,0.270071248000022,1.9071571310000763,21.767771270999674,0.5261398553848267,0.7916666666666667,0.6428571428571429,0.6428571428571428,0.5906432748538011,0.0,2.0,2.0,2.0,hard
