split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7688048080003682,0.8233283509998728,0.8239395360001254,0.7107080817222595,0.5166666666666666,0.53125,0.503921568627451,0.3992490613266583,6.666666666666667e-06,0.25,0.0,1.0,easy|medium
test,0,1,2,32,0.5185086319997936,1.3634562110000843,1.3640673989998504,0.7484273314476013,0.16129032258064516,0.3125,0.45454545454545453,0.23809523809523808,1.3333333333333333e-05,1.46875,1.0,2.0,medium|hard
test,0,1,3,12,0.2438460049997957,1.6077603759999874,1.6083714930000497,0.7234914898872375,0.25,0.4166666666666667,0.35714285714285715,0.29411764705882354,2e-05,2.0,2.0,2.0,hard
test,0,2,1,32,0.5217767610001829,0.594034370999907,2.4308496749999904,0.7004888653755188,0.4252873563218391,0.5,0.4745098039215686,0.3816425120772947,1.925925925925926e-05,0.25,0.0,1.0,easy|medium
test,0,2,2,32,0.5202394830002959,1.114982141999917,2.951797431000159,0.7242845296859741,0.5535714285714286,0.40625,0.525974025974026,0.3764102564102564,1.851851851851852e-05,1.46875,1.0,2.0,medium|hard
test,0,2,3,12,0.24264373300002262,1.3581182200000512,3.1949335019999126,0.6889826655387878,0.2727272727272727,0.5,0.42857142857142855,0.3333333333333333,1.7777777777777777e-05,2.0,2.0,2.0,hard
test,0,3,1,32,0.5230676850001146,0.594266073000199,4.028759844999968,0.6803539991378784,0.25,0.46875,0.4411764705882353,0.3191489361702128,1.7037037037037038e-05,0.25,0.0,1.0,easy|medium
test,0,3,2,32,0.5208193569997093,1.1157492659999662,4.5502429540001685,0.7008079290390015,0.5064102564102564,0.40625,0.5043290043290043,0.3913913913913914,1.6296296296296297e-05,1.46875,1.0,2.0,medium|hard
test,0,3,3,12,0.2423787259999699,1.3585983190000661,4.793091985000046,0.6608508229255676,0.8181818181818181,0.6666666666666666,0.6,0.5555555555555556,1.555555555555556e-05,2.0,2.0,2.0,hard
test,0,4,1,32,0.5239777080000749,0.5955998949998502,5.628160816000218,0.6867257356643677,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,1.4814814814814815e-05,0.25,0.0,1.0,easy|medium
test,0,4,2,32,0.5209755189998759,1.1172440629998164,6.149803322000025,0.6936740875244141,0.5845410628019324,0.5,0.5757575757575758,0.4980392156862745,1.4074074074074075e-05,1.46875,1.0,2.0,medium|hard
test,0,4,3,12,0.2424689159997797,1.3601549209997756,6.392714176000027,0.6490443348884583,0.75,0.75,0.7571428571428571,0.7482517482517483,1.3333333333333333e-05,2.0,2.0,2.0,hard
test,0,5,1,32,0.5245388140001523,0.5956242100000964,7.222585003999939,0.6891601085662842,0.5227272727272727,0.53125,0.5196078431372549,0.5076923076923077,1.2592592592592593e-05,0.25,0.0,1.0,easy|medium
test,0,5,2,32,0.5210977299998376,1.1173382709998805,7.744299042999955,0.6798937320709229,0.4901960784313726,0.5,0.48917748917748916,0.4817813765182186,1.1851851851851852e-05,1.46875,1.0,2.0,medium|hard
test,0,5,3,12,0.242811716000233,1.3605953070000396,7.987556074000167,0.6689331531524658,0.5555555555555556,0.5,0.5428571428571429,0.4857142857142857,1.1111111111111113e-05,2.0,2.0,2.0,hard
test,0,6,1,32,0.523318134999954,0.5940369189997909,8.81700792599986,0.6660776734352112,0.5942028985507246,0.5625,0.5764705882352942,0.5465587044534412,1.037037037037037e-05,0.25,0.0,1.0,easy|medium
test,0,6,2,32,0.5209358930001144,1.115563216999817,9.338534168000024,0.6750664710998535,0.6781609195402298,0.6875,0.5670995670995671,0.5428571428571429,9.62962962962963e-06,1.46875,1.0,2.0,medium|hard
test,0,6,3,12,0.24281685100004324,1.3588288239998292,9.581799824999962,0.682814359664917,0.75,0.5833333333333334,0.6428571428571428,0.5555555555555556,8.888888888888888e-06,2.0,2.0,2.0,hard
test,0,7,1,32,0.5236174579999897,0.5948266649998004,10.412837201999992,0.6613105535507202,0.6458333333333333,0.59375,0.6098039215686275,0.5733333333333333,8.148148148148148e-06,0.25,0.0,1.0,easy|medium
test,0,7,2,32,0.5210564849999173,1.1165674929998204,10.934578065000096,0.6486769914627075,0.5833333333333333,0.65625,0.5216450216450216,0.46907993966817496,7.4074074074074075e-06,1.46875,1.0,2.0,medium|hard
test,0,7,3,12,0.2430905280002662,1.3601229759997295,11.178133508999963,0.6291487216949463,0.7777777777777778,0.6666666666666666,0.7142857142857143,0.6571428571428571,6.666666666666667e-06,2.0,2.0,2.0,hard
