split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.769161461999829,0.8247799890004899,0.8253510310005368,0.7988893389701843,0.5166666666666667,0.09375,0.532258064516129,0.09286412512218964,1e-05,0.5,0.0,2.0,easy|medium|hard
test,0,1,2,28,0.4717932869998549,1.318126480000501,1.318694838000738,0.8338627219200134,0.017857142857142856,0.03571428571428571,0.5,0.034482758620689655,2e-05,0.4285714626312256,0.0,2.0,easy|hard|medium
test,0,2,1,32,0.5283747099992979,0.6016878390000784,2.1381244830008654,0.7862092852592468,0.5333333333333333,0.125,0.5333333333333333,0.125,1.888888888888889e-05,0.5625,0.0,2.0,easy|medium|hard
test,0,2,2,28,0.47489690099973814,1.0772141899997223,2.6136508409999806,0.7587252855300903,0.5,0.03571428571428571,0.017857142857142856,0.034482758620689655,1.7777777777777777e-05,0.3571428656578064,0.0,2.0,medium|easy|hard
test,0,3,1,32,0.5304984700005662,0.6030594960002418,3.448321186000612,0.6891905069351196,0.5,0.53125,0.265625,0.3469387755102041,1.6666666666666667e-05,0.3125,0.0,2.0,easy|hard|medium
test,0,3,2,28,0.47483098400061863,1.078489967000678,3.923751645000266,0.6449354290962219,0.45652173913043476,0.75,0.40384615384615385,0.42857142857142855,1.555555555555556e-05,0.6428571939468384,0.0,2.0,easy|medium|hard
test,0,4,1,32,0.5318478100007269,0.6047501220000413,4.769035431000702,0.5954493880271912,0.46875,0.9375,0.5,0.4838709677419355,1.4444444444444446e-05,0.5,0.0,2.0,easy|medium|hard
test,0,4,2,28,0.4740160389992525,1.079374058999747,5.24365940700045,0.5019305944442749,1.0,1.0,1.0,1.0,1.3333333333333333e-05,0.4285714626312256,0.0,2.0,medium|easy|hard
test,0,5,1,32,0.5304871600001206,0.604127311999946,6.080904161000035,0.47301483154296875,0.484375,0.96875,0.5,0.49206349206349204,1.2222222222222224e-05,0.4375,0.0,2.0,easy|medium|hard
test,0,5,2,28,0.47463028299989674,1.0793647109994708,6.5561415150004905,0.398232638835907,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,1.1111111111111113e-05,0.5,0.0,2.0,easy|medium|hard
test,0,6,1,32,0.5313068260002183,0.6049704630004271,7.387157038000623,0.33479979634284973,0.484375,0.96875,0.5,0.49206349206349204,1e-05,0.34375,0.0,2.0,medium|easy|hard
test,0,6,2,28,0.4744605930000034,1.0800486110001657,7.862235487000362,0.27533572912216187,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,8.888888888888888e-06,0.6071428656578064,0.0,2.0,medium|easy|hard
test,0,7,1,32,0.5321629509999184,0.6048490289995243,8.696889036000357,0.26823890209198,0.46875,0.9375,0.5,0.4838709677419355,7.77777777777778e-06,0.53125,0.0,2.0,medium|easy|hard
test,0,7,2,28,0.47528198800046084,1.0807298049994642,9.172769997000614,0.13170716166496277,1.0,1.0,1.0,1.0,6.666666666666667e-06,0.392857164144516,0.0,2.0,easy|medium|hard
test,0,8,1,32,0.532264006999867,0.6052624030007792,10.004069324000739,0.15464264154434204,0.484375,0.96875,0.5,0.49206349206349204,5.555555555555557e-06,0.46875,0.0,2.0,easy|hard|medium
test,0,8,2,28,0.4746108129993445,1.0804431120004665,10.479250039000362,0.1409463882446289,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,4.444444444444444e-06,0.4642857313156128,0.0,2.0,medium|easy|hard
test,0,9,1,32,0.5332701999996061,0.6059654729997419,11.311957688000803,0.2054516077041626,0.46875,0.9375,0.5,0.4838709677419355,3.3333333333333333e-06,0.5,0.0,2.0,medium|easy|hard
test,0,9,2,28,0.4749845369997274,1.0816340609999315,11.787626163000823,0.05394131690263748,1.0,1.0,1.0,1.0,2.222222222222222e-06,0.4285714626312256,0.0,2.0,easy|hard|medium
test,0,10,1,32,0.5305002369996146,0.6035803340000712,12.625126391000776,0.1290385127067566,0.484375,0.96875,0.5,0.49206349206349204,1.111111111111111e-06,0.5,0.0,2.0,easy|medium|hard
test,0,10,2,28,0.47583981299976585,1.0800164639995273,13.101562447000106,0.16520164906978607,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,0.0,0.4285714626312256,0.0,2.0,hard|easy|medium
