split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7734924980004507,0.833950934999848,0.8345662749998155,0.6809987425804138,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,1.282051282051282e-07,1.25,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.524961178999547,1.380267176000416,1.380882510000447,0.6995276212692261,0.5,0.5,0.5,0.3816425120772947,2.564102564102564e-07,1.21875,0.0,2.0,hard|medium|easy
test,0,1,3,32,0.5284833670002627,1.9093153809999421,1.9099307329997828,0.7236630916595459,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,3.846153846153847e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,4,32,0.5269817329999569,2.4369398690005255,2.4375552419996893,0.6480473279953003,0.31666666666666665,0.59375,0.4523809523809524,0.37254901960784315,5.128205128205128e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5291447350000453,2.9666309750000437,2.96724640299999,0.730671763420105,0.203125,0.40625,0.5,0.28888888888888886,6.41025641025641e-07,1.34375,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.5288237670001763,3.496063135999975,3.4966784919997735,0.7100149989128113,0.265625,0.53125,0.5,0.3469387755102041,7.692307692307694e-07,1.09375,0.0,2.0,easy|hard|medium
test,0,1,7,32,0.5282863379998162,4.024860944000466,4.025476300000264,0.7162442207336426,0.75,0.53125,0.5588235294117647,0.43859649122807015,8.974358974358975e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,8,32,0.5297345049993964,4.555134646000624,4.555750042,0.7317507863044739,0.7166666666666667,0.46875,0.5526315789473684,0.39756367663344405,1.0256410256410257e-06,1.125,0.0,2.0,hard|medium|easy
test,0,1,9,32,0.529578691000097,5.085302442999819,5.0859177680003995,0.7153950929641724,0.7096774193548387,0.4375,0.5263157894736842,0.34545454545454546,1.153846153846154e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,10,32,0.5291558500002793,5.614987673000542,5.615603021000425,0.7124043107032776,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.282051282051282e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,11,32,0.529724661999353,6.145278732999941,6.145894082999803,0.6690512895584106,0.3064516129032258,0.59375,0.475,0.37254901960784315,1.4102564102564104e-06,0.4375,0.0,2.0,easy|medium|hard
