split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7739142290001837,0.83326710899928,0.83385619100045,0.709674596786499,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,1.3245033112582784e-07,1.15625,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5253411430003325,1.3803092739999556,1.38089842699992,0.6741889715194702,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,2.649006622516557e-07,1.21875,0.0,2.0,easy|medium|hard
test,0,1,3,32,0.5303521280002315,1.9112131859992587,1.9118023359997096,0.6918027400970459,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,3.973509933774835e-07,1.03125,0.0,2.0,medium|hard|easy
test,0,1,4,32,0.5299647779993393,2.441835388999607,2.4424245840000367,0.70075923204422,0.5,0.5,0.5,0.3816425120772947,5.298013245033113e-07,0.8125,0.0,2.0,easy|hard|medium
test,0,1,5,32,0.5291792360003456,2.971600591999959,2.9721896910004943,0.6841683983802795,0.296875,0.59375,0.5,0.37254901960784315,6.622516556291392e-07,0.8125,0.0,2.0,easy|medium|hard
test,0,1,6,32,0.5298987779997333,3.5020960719994036,3.502685233000193,0.7209218740463257,0.24193548387096775,0.46875,0.46875,0.3191489361702128,7.94701986754967e-07,1.125,0.0,2.0,easy|medium|hard
test,0,1,7,32,0.5300069429995347,4.032761468999524,4.033350581000377,0.6546722054481506,0.8166666666666667,0.65625,0.5769230769230769,0.5210884353741496,9.271523178807948e-07,1.09375,0.0,2.0,easy|medium|hard
test,0,1,8,32,0.5298637260002579,4.563205480999386,4.563794653000514,0.7213683128356934,0.23333333333333334,0.4375,0.4375,0.30434782608695654,1.0596026490066227e-06,0.90625,0.0,2.0,hard|medium|easy
test,0,1,9,32,0.5293569559999014,5.093201196999871,5.093790253999941,0.6827366948127747,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,1.1920529801324504e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,10,32,0.5299755509995521,5.623760534999747,5.624349644000176,0.7140306234359741,0.20689655172413793,0.375,0.4,0.2727272727272727,1.3245033112582784e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,11,32,0.5299561909996555,6.15428370599966,6.154872781999984,0.6744507551193237,0.2903225806451613,0.5625,0.47368421052631576,0.36,1.456953642384106e-06,1.0625,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.5292733960004625,6.684104714999194,6.684693785000491,0.6977088451385498,0.2413793103448276,0.4375,0.4117647058823529,0.30434782608695654,1.589403973509934e-06,0.84375,0.0,2.0,medium|easy|hard
test,0,1,13,32,0.5301047840002866,7.214772599999378,7.21536166199985,0.7206040620803833,0.21153846153846154,0.34375,0.3235294117647059,0.2558139534883721,1.7218543046357616e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,14,32,0.5303724669993244,7.7455723899993245,7.746161437999945,0.6986435651779175,0.6407407407407407,0.53125,0.5753968253968254,0.4909862142099682,1.8543046357615895e-06,1.0,0.0,2.0,easy|medium|hard
test,0,1,15,32,0.5297069650005142,8.275725869999405,8.276314974000343,0.6891723871231079,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,1.9867549668874175e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,16,32,0.5305028720003975,8.806732817999546,8.80732189199989,0.6818526983261108,0.32142857142857145,0.5625,0.4090909090909091,0.36,2.1192052980132454e-06,0.9375,0.0,2.0,medium|hard|easy
test,0,1,17,32,0.5301094180003929,9.33739164599956,9.33798077099982,0.751889705657959,0.4666666666666667,0.4375,0.4920634920634921,0.34545454545454546,2.2516556291390733e-06,1.0625,0.0,2.0,easy|hard|medium
test,0,1,18,32,0.5298791619998156,9.867827144999865,9.868416215000252,0.7164241075515747,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.384105960264901e-06,1.0,0.0,2.0,easy|medium|hard
test,0,1,19,32,0.5303811029998542,10.398737498999253,10.399326613000085,0.6884667277336121,0.39285714285714285,0.5,0.4523809523809524,0.3816425120772947,2.516556291390729e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,20,32,0.5306700219998675,10.929945107999629,10.930534220000482,0.7569088935852051,0.4296296296296296,0.3125,0.45410628019323673,0.30158730158730157,2.6490066225165567e-06,1.1875,0.0,2.0,hard|easy|medium
test,0,1,21,32,0.5303599910002958,11.460792284999116,11.461381432000053,0.6874192357063293,0.6025641025641025,0.5625,0.5625,0.5151515151515151,2.7814569536423843e-06,0.9375,0.0,2.0,hard|easy|medium
test,0,1,22,32,0.5303300149998904,11.991659530999641,11.992248602000473,0.6956970691680908,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,2.913907284768212e-06,1.09375,0.0,2.0,medium|easy|hard
test,0,1,23,32,0.5318092039997282,12.524059739999757,12.524648794000314,0.6618736982345581,0.625,0.625,0.5952380952380952,0.5844155844155844,3.04635761589404e-06,1.03125,0.0,2.0,easy|hard|medium
test,0,1,24,32,0.5318250319996878,13.05644901999949,13.057038083999942,0.7099796533584595,0.3592592592592593,0.46875,0.4246031746031746,0.36374269005847953,3.178807947019868e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,25,32,0.5315640099997836,13.588554521999868,13.589143668999895,0.7383988499641418,0.1774193548387097,0.34375,0.4583333333333333,0.2558139534883721,3.311258278145696e-06,0.9375,0.0,2.0,medium|hard|easy
test,0,1,26,32,0.53222215400001,14.121363598999778,14.121952669000166,0.7104487419128418,0.5402298850574713,0.4375,0.51417004048583,0.37662337662337664,3.443708609271523e-06,0.9375,0.0,2.0,easy|medium|hard
