split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7754985569999917,0.831935507000253,0.8325818110001819,0.6903846263885498,0.5919540229885057,0.53125,0.53125,0.43859649122807015,1.3245033112582784e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5185996099999102,1.3725792220002404,1.3732255260001693,0.720600962638855,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,2.649006622516557e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5217374939998081,1.894754808000016,1.895401100000072,0.69817054271698,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,3.973509933774835e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5216890080000667,2.4169980229999055,2.417644322000342,0.6465064287185669,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,5.298013245033113e-07,0.0,0.0,0.0,easy
test,0,1,5,32,0.5215012250000655,2.9390122630002224,2.9396585580002466,0.6446122527122498,0.34375,0.6875,0.5,0.4074074074074074,6.622516556291392e-07,0.0,0.0,0.0,easy
test,0,1,6,32,0.5208631720001904,3.46047786500003,3.4611241709999376,0.7321752309799194,0.1875,0.375,0.5,0.2727272727272727,7.94701986754967e-07,0.0,0.0,0.0,easy
test,0,1,7,32,0.521945107999727,3.9829821520002042,3.983628508000038,0.7161264419555664,0.234375,0.46875,0.5,0.3191489361702128,9.271523178807948e-07,0.0,0.0,0.0,easy
test,0,1,8,32,0.5219113059997653,4.505422583999916,4.506068893000247,0.6933822631835938,0.296875,0.59375,0.5,0.37254901960784315,1.0596026490066227e-06,0.0,0.0,0.0,easy
test,0,1,9,32,0.5217811679999613,5.027744882000206,5.028391211000326,0.6990866661071777,0.234375,0.46875,0.5,0.3191489361702128,1.1920529801324504e-06,0.0,0.0,0.0,easy
test,0,1,10,32,0.5216722550003396,5.549973219000094,5.550619496000309,0.7209978103637695,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.3245033112582784e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5214411599999949,6.07195095499992,6.072597280000082,0.7125762701034546,0.25,0.5,0.5,0.3333333333333333,1.456953642384106e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5242250900000727,6.5968342660003145,6.597480535000159,0.7092812061309814,0.21875,0.4375,0.5,0.30434782608695654,1.589403973509934e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5232379550002406,7.12057701699996,7.121223363000354,0.7067669630050659,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,1.7218543046357616e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.5231833980001284,7.644218841000111,7.644865104000019,0.7327763438224792,0.5229885057471264,0.40625,0.5083333333333333,0.3552492046659597,1.8543046357615895e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5221576910003023,8.166946757000005,8.167593068000315,0.6978139877319336,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.9867549668874175e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5239727579996725,8.691475705999892,8.692121985000085,0.7011005878448486,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,2.1192052980132454e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5240655570000854,9.216100215000097,9.21674649400029,0.7134045958518982,0.5166666666666666,0.53125,0.503921568627451,0.3992490613266583,2.2516556291390733e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5230583879997539,9.739735767000184,9.740382051000324,0.677726149559021,0.296875,0.59375,0.5,0.37254901960784315,2.384105960264901e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.524334392000128,10.264615742999922,10.265262193000126,0.6679496765136719,0.32142857142857145,0.5625,0.4090909090909091,0.36,2.516556291390729e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5245259690000239,10.790105083000071,10.790751374000138,0.7043430805206299,0.375,0.46875,0.44509803921568625,0.36374269005847953,2.6490066225165567e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5240087639999729,11.314651638000214,11.315297968000323,0.6824195981025696,0.5714285714285714,0.625,0.5333333333333333,0.5,2.7814569536423843e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5234741170002053,11.838580770000135,11.839227061000202,0.7041390538215637,0.7580645161290323,0.53125,0.53125,0.3992490613266583,2.913907284768212e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.522350311000082,12.361426396000297,12.362072676000025,0.6759108304977417,0.5208333333333333,0.53125,0.5156862745098039,0.4909862142099682,3.04635761589404e-06,0.0,0.0,0.0,easy
test,0,1,24,32,0.5242567969999072,12.886120982000193,12.886767238000175,0.6948845982551575,0.44252873563218387,0.53125,0.4801587301587301,0.3992490613266583,3.178807947019868e-06,0.0,0.0,0.0,easy
test,0,1,25,32,0.5242906869998478,13.410967001000245,13.4116132690001,0.7106114625930786,0.24193548387096775,0.46875,0.46875,0.3191489361702128,3.311258278145696e-06,0.0,0.0,0.0,easy
test,0,1,26,32,0.524331840999821,13.93573900399997,13.936385280000195,0.6671893000602722,0.49425287356321834,0.625,0.49783549783549785,0.4514285714285714,3.443708609271523e-06,0.0,0.0,0.0,easy
test,0,1,27,32,0.5224291480003558,14.45867097900009,14.459317272000135,0.6990529894828796,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,3.576158940397351e-06,0.0,0.0,0.0,easy
test,0,1,28,32,0.5243147209998824,14.983448081000006,14.984094348000326,0.6949278712272644,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,3.708609271523179e-06,0.0,0.0,0.0,easy
test,0,1,29,32,0.5241901660001531,15.508075371999894,15.508721644000161,0.7055831551551819,0.7166666666666667,0.46875,0.5526315789473684,0.39756367663344405,3.841059602649007e-06,0.0,0.0,0.0,easy
test,0,1,30,32,0.5238074009998854,16.032337846000246,16.03298409800027,0.6923002004623413,0.393719806763285,0.46875,0.4083333333333333,0.39756367663344405,3.973509933774835e-06,0.0,0.0,0.0,easy
test,0,1,31,32,0.5235460620001504,16.55641810299994,16.557064353999976,0.6667120456695557,0.5114942528735632,0.65625,0.5045454545454545,0.46907993966817496,4.105960264900663e-06,0.0,0.0,0.0,easy
test,0,1,32,32,0.524344635000034,17.08125383100014,17.081900096000027,0.6738095283508301,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,4.238410596026491e-06,0.0,0.0,0.0,easy
test,0,1,33,32,0.5242181309999978,17.606015516000298,17.606661798999994,0.6701292395591736,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,4.370860927152319e-06,0.0,0.0,0.0,easy
test,0,1,34,32,0.5240003369999613,18.130528207000225,18.131174469000143,0.6848145127296448,0.5166666666666666,0.53125,0.503921568627451,0.3992490613266583,4.503311258278147e-06,0.0,0.0,0.0,easy
test,0,1,35,32,0.5242720219998773,18.65531873000009,18.65596500000038,0.6941267251968384,0.5574712643678161,0.46875,0.5198412698412699,0.39756367663344405,4.635761589403974e-06,0.0,0.0,0.0,easy
test,0,1,36,32,0.5246899039998425,19.180450505999943,19.18109676400036,0.7034299373626709,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,4.768211920529802e-06,0.0,0.0,0.0,easy
test,0,1,37,32,0.5247591410002315,19.705804895000256,19.70645116300011,0.7385457158088684,0.18333333333333332,0.34375,0.4230769230769231,0.2558139534883721,4.90066225165563e-06,0.0,0.0,0.0,easy
test,0,1,38,32,0.5241093009999531,20.23049275099993,20.23113910100028,0.6857258677482605,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,5.033112582781458e-06,0.0,0.0,0.0,easy
test,0,1,39,32,0.5240522280000732,20.75509081600012,20.755737069000133,0.6926178932189941,0.5,0.5,0.5,0.3816425120772947,5.165562913907285e-06,0.0,0.0,0.0,easy
test,0,1,40,32,0.5252029739999671,21.28085848899991,21.281504822999977,0.7201842069625854,0.6833333333333333,0.40625,0.5476190476190477,0.3552492046659597,5.2980132450331135e-06,0.0,0.0,0.0,easy
test,0,1,41,32,0.5246219659998133,21.806214533000002,21.806860809000227,0.701574444770813,0.5574712643678161,0.46875,0.5198412698412699,0.39756367663344405,5.430463576158941e-06,0.0,0.0,0.0,easy
test,0,1,42,32,0.5240386489999764,22.330791877000138,22.331438206000257,0.7196395397186279,0.2851851851851852,0.34375,0.38492063492063494,0.2873806998939554,5.5629139072847685e-06,0.0,0.0,0.0,easy
test,0,1,43,32,0.5240660770000432,22.855388698000297,22.8560349950003,0.6967407464981079,0.75,0.53125,0.5588235294117647,0.43859649122807015,5.6953642384105965e-06,0.0,0.0,0.0,easy
test,0,1,44,32,0.5244784520000394,23.38042240599998,23.381068744999993,0.7111012935638428,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,5.827814569536424e-06,0.0,0.0,0.0,easy
test,0,1,45,32,0.5247717450001801,23.90567129100009,23.906317542000124,0.6866256594657898,0.5178571428571428,0.53125,0.5078431372549019,0.43859649122807015,5.960264900662252e-06,0.0,0.0,0.0,easy
test,0,1,46,32,0.5242040560001442,24.430408284999885,24.431054615999983,0.7014073133468628,0.48214285714285715,0.46875,0.49215686274509807,0.39756367663344405,6.09271523178808e-06,0.0,0.0,0.0,easy
test,0,1,47,32,0.523858293000103,24.954756778000046,24.955403062000187,0.7279528379440308,0.5666666666666667,0.40625,0.5409090909090909,0.3913913913913914,6.225165562913907e-06,0.0,0.0,0.0,easy
test,0,1,48,32,0.5247321649999321,25.479975407999973,25.480621694000092,0.6766396760940552,0.3,0.5625,0.45,0.36,6.357615894039736e-06,0.0,0.0,0.0,easy
test,0,1,49,32,0.5253990090000116,26.005989395000142,26.006635667999944,0.7207270860671997,0.5,0.5,0.5,0.4181818181818182,6.490066225165563e-06,0.0,0.0,0.0,easy
test,0,1,50,32,0.5251883519999865,26.531766784999945,26.53241306000018,0.6917117834091187,0.39743589743589747,0.4375,0.4375,0.37662337662337664,6.622516556291392e-06,0.0,0.0,0.0,easy
test,0,1,51,32,0.5232301009996263,27.055411172000277,27.056057449000036,0.6976133584976196,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,6.754966887417219e-06,0.0,0.0,0.0,easy
test,0,1,52,32,0.5256678290002128,27.581625970999994,27.582272311999986,0.675593912601471,0.6771428571428572,0.65625,0.623015873015873,0.6101882613510521,6.887417218543046e-06,0.90625,0.0,1.0,easy|medium
test,0,1,53,32,0.5265796249996129,28.108638974000314,28.109285260999968,0.6814455986022949,0.6333333333333333,0.65625,0.575,0.5594493116395495,7.019867549668875e-06,1.0,1.0,1.0,medium
