split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7705397400000038,0.8220871480002643,0.8226448770001298,0.807685136795044,0.5,0.03125,0.015625,0.030303030303030304,1e-05,0.0,0.0,0.0,easy
test,0,1,2,28,0.47206917899984546,1.315560651999931,1.3161184700002195,0.8289045691490173,0.03571428571428571,0.07142857142857142,0.5,0.06666666666666667,2e-05,1.0,0.0,2.0,easy|medium|hard
test,0,2,1,32,0.5291913410001143,0.5967966909997813,2.1204283060001217,0.8010737299919128,0.5,0.0625,0.03125,0.058823529411764705,1.888888888888889e-05,0.0,0.0,0.0,easy
test,0,2,2,28,0.4742908130001524,1.0716623589996743,2.5952939640001205,0.7444972991943359,0.5384615384615384,0.14285714285714285,0.5384615384615384,0.14285714285714285,1.7777777777777777e-05,1.0,0.0,2.0,easy|medium|hard
test,0,3,1,32,0.5293396740003118,0.5967915740002354,3.4081758219999756,0.6910982131958008,0.5,0.5,0.25,0.3333333333333333,1.6666666666666667e-05,0.0,0.0,0.0,easy
test,0,3,2,28,0.4733335949999855,1.070714659999794,3.882098801000211,0.6430827975273132,0.46,0.8214285714285714,0.4423076923076923,0.45098039215686275,1.555555555555556e-05,1.0,0.0,2.0,easy|medium|hard
test,0,4,1,32,0.5301358179999625,0.5977722839998023,4.7000604059999205,0.5774412155151367,1.0,1.0,1.0,1.0,1.4444444444444446e-05,0.0,0.0,0.0,easy
test,0,4,2,28,0.4746075180000844,1.0729927470001712,5.175280832000226,0.5300598740577698,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,1.3333333333333333e-05,1.0,0.0,2.0,easy|medium|hard
test,0,5,1,32,0.5301209589997598,0.5981674469999234,5.995380766999915,0.4545891284942627,1.0,1.0,1.0,1.0,1.2222222222222224e-05,0.0,0.0,0.0,easy
test,0,5,2,28,0.4740307940001003,1.0727745960002721,6.4699878790002,0.4043976366519928,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,1.1111111111111113e-05,1.0,0.0,2.0,easy|medium|hard
test,0,6,1,32,0.5309071710003082,0.5991582169999674,7.286178612000185,0.3150724768638611,1.0,1.0,1.0,1.0,1e-05,0.0,0.0,0.0,easy
test,0,6,2,28,0.47552120500040473,1.0752728799998295,7.762293233000037,0.335311621427536,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,8.888888888888888e-06,1.0,0.0,2.0,easy|medium|hard
test,0,7,1,32,0.5311616789999789,0.6051351139999497,8.593458286999976,0.17468541860580444,1.0,1.0,1.0,1.0,7.77777777777778e-06,0.0,0.0,0.0,easy
test,0,7,2,28,0.4743161620003775,1.0800246439998773,9.068347651000295,0.25084415078163147,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,6.666666666666667e-06,1.0,0.0,2.0,easy|medium|hard
test,0,8,1,32,0.5307084760001999,0.5986001849996683,9.88768260300003,0.08942218124866486,1.0,1.0,1.0,1.0,5.555555555555557e-06,0.0,0.0,0.0,easy
test,0,8,2,28,0.474619950000033,1.073789700999896,10.362872101999983,0.25587213039398193,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,4.444444444444444e-06,1.0,0.0,2.0,easy|medium|hard
test,0,9,1,32,0.530805022000095,0.5983633380001265,11.180172796000079,0.07011298090219498,1.0,1.0,1.0,1.0,3.3333333333333333e-06,0.0,0.0,0.0,easy
test,0,9,2,28,0.47511406400008127,1.0740583369997694,11.655867758000113,0.24079802632331848,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,2.222222222222222e-06,1.0,0.0,2.0,easy|medium|hard
test,0,10,1,32,0.5321353680001266,0.600048445000084,12.472172568000133,0.0517117865383625,1.0,1.0,1.0,1.0,1.111111111111111e-06,0.0,0.0,0.0,easy
test,0,10,2,28,0.4749360800001341,1.0755801350001093,12.94770421200019,0.25156664848327637,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,0.0,1.0,0.0,2.0,easy|medium|hard
