split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7665314880005099,0.8231947949998357,0.8237706400004754,0.7118324041366577,0.5,0.5,0.5,0.3816425120772947,3.125e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5262745469999572,1.3708340590001171,1.371409811000376,0.6602596044540405,0.31666666666666665,0.59375,0.4523809523809524,0.37254901960784315,6.25e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5289670390002357,1.9003241410000555,1.9008999600000607,0.6498050689697266,0.3225806451612903,0.625,0.47619047619047616,0.38461538461538464,9.375000000000001e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5285457569998471,2.429473313000017,2.430049145000339,0.7106943130493164,0.25,0.5,0.5,0.3333333333333333,1.25e-06,0.0,0.0,0.0,easy
test,0,1,5,32,0.5304486519999045,2.9605001270001594,2.961075936999805,0.6513768434524536,0.328125,0.65625,0.5,0.39622641509433965,1.5625e-06,0.0,0.0,0.0,easy
test,0,1,6,32,0.5293262040004265,3.4903976049999983,3.4909734150005534,0.7063839435577393,0.25,0.5,0.5,0.3333333333333333,1.8750000000000003e-06,0.0,0.0,0.0,easy
test,0,1,7,32,0.5295460429997547,4.020510588999969,4.0210864239998045,0.6988239288330078,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,2.1875000000000002e-06,0.0,0.0,0.0,easy
test,0,1,8,32,0.5306047089998174,4.551674217999789,4.552250047000598,0.7375122904777527,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,2.5e-06,0.0,0.0,0.0,easy
test,0,1,9,32,0.530455510000138,5.082686834999549,5.083262645000104,0.7485904693603516,0.171875,0.34375,0.5,0.2558139534883721,2.8125e-06,0.0,0.0,0.0,easy
test,0,1,10,32,0.5301658170001247,5.613346870999521,5.613922645999992,0.6769425868988037,0.3125,0.625,0.5,0.38461538461538464,3.125e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5283822539995526,6.142241820999516,6.14281763300005,0.692088782787323,0.25,0.5,0.5,0.3333333333333333,3.4375e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5309200720002991,6.673645722999936,6.674221848999878,0.7249358296394348,0.21875,0.4375,0.5,0.30434782608695654,3.7500000000000005e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5303520110001045,7.204549160999704,7.205124906000492,0.7183111906051636,0.3390804597701149,0.34375,0.4416666666666667,0.2873806998939554,4.0625000000000005e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.5305068259995096,7.735576086999572,7.736151877000339,0.7646350860595703,0.39285714285714285,0.3125,0.4454545454545455,0.2874493927125506,4.3750000000000005e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5306104259998392,8.266683787999682,8.26725957400049,0.704612135887146,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,4.6875000000000004e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5306499250000343,8.797882785000184,8.798458596000273,0.6829507946968079,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,5e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5296057330006079,9.327984913999899,9.328560630000538,0.6744478940963745,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,5.3125e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5315423339998233,9.8600578329997,9.860633604999748,0.684216320514679,0.265625,0.53125,0.5,0.3469387755102041,5.625e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.5306944690000819,10.391268259999379,10.391843985000378,0.6512640714645386,0.6781609195402298,0.6875,0.5670995670995671,0.5428571428571429,5.9375e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5300115430000005,10.921788012999968,10.922363835000397,0.7101775407791138,0.5919540229885057,0.53125,0.53125,0.43859649122807015,6.25e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5315169639998203,11.453831224000169,11.454406990999814,0.6910608410835266,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,6.5625e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5309763590003058,11.98530649499935,11.985882293000031,0.7408989071846008,0.14516129032258066,0.28125,0.45,0.21951219512195122,6.875e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.5314927280005577,12.517347410999719,12.51792324500002,0.7254564166069031,0.3333333333333333,0.4375,0.3968253968253968,0.34545454545454546,7.1875e-06,0.75,0.0,1.0,easy|medium
test,0,1,24,32,0.5317630340005053,13.049682369999573,13.050258201999895,0.7092506289482117,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,7.500000000000001e-06,1.0,1.0,1.0,medium
test,0,1,25,32,0.5316528950006614,13.581907294999837,13.582483010000033,0.6757444143295288,0.3064516129032258,0.59375,0.475,0.37254901960784315,7.8125e-06,1.0,1.0,1.0,medium
test,0,1,26,32,0.5311831499993787,14.113613284999701,14.114189099000214,0.6827024817466736,0.2903225806451613,0.5625,0.47368421052631576,0.36,8.125000000000001e-06,1.0,1.0,1.0,medium
test,0,1,27,32,0.5314438249997693,14.64561289499943,14.646188661000451,0.6928056478500366,0.23333333333333334,0.4375,0.4375,0.30434782608695654,8.4375e-06,1.0,1.0,1.0,medium
test,0,1,28,32,0.5319050930002049,15.178008979999504,15.17858471999989,0.7022426128387451,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,8.750000000000001e-06,1.0,1.0,1.0,medium
