split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.5363561461688858,0.11660251664643241,0.7401912271740518,0.6757425742574258,0.677016395853246,0.6533874947573254,0.9665693568132592,0.9663366336633663,0.9662766257803432,0.9663281835261079,36.60718541999995,36.60720481200042
test,0,2,0.16415871758484235,0.08509068341538457,0.9534642060632796,0.9534653465346534,0.9534642060632796,0.9534642060632796,0.9671096032419187,0.9663366336633663,0.9664648492643599,0.9663281835261079,36.50748195199958,73.11564099299994
test,0,3,0.07347401269725386,0.0747603848207705,0.978744470935157,0.9787128712871287,0.9787393083841874,0.9787128660702054,0.984497645211931,0.9841584158415841,0.9840872729554224,0.9841533827036526,36.51205805100017,109.62863866899988
test,0,4,0.054987486859894186,0.14125891271609775,0.9871283974217582,0.9871287128712871,0.9871283974217582,0.9871283974217582,0.9735849056603774,0.9722772277227723,0.9724409448818898,0.9722640680413017,36.513987213999826,146.1435727799999
test,0,5,0.024025785111554777,0.07114005172567553,0.9955415960850744,0.9955445544554455,0.9955517976619366,0.9955445009510211,0.9863844680917853,0.9861386138613861,0.9860793048279324,0.9861351343931033,36.515053973999784,182.65951703800056
test,0,6,0.011348300143767443,0.12256639334419281,0.9975276061109891,0.9975247524752475,0.9975222410116903,0.9975246790721909,0.9735849056603774,0.9722772277227723,0.9724409448818898,0.9722640680413017,36.471297431000494,219.13166549200014
test,0,7,0.004765743197582772,0.044937205268992204,0.9990098767247506,0.999009900990099,0.9990098767247506,0.9990098767247506,0.9920789283809643,0.9920792079207921,0.9920789283809643,0.9920789283809643,36.48850462500013,255.62105903300017
test,0,8,0.0003150949334739569,0.06484156579930694,1.0,1.0,1.0,1.0,0.988285786021404,0.9881188118811881,0.9880713367004423,0.9881165286144578,36.48187666500053,292.1038407440001
test,0,9,0.005044281882571638,0.04283705637591435,0.9990098767247506,0.999009900990099,0.9990098767247506,0.9990098767247506,0.994078431372549,0.994059405940594,0.9940474323179722,0.9940590332105925,36.49794265899982,328.6026230790003
test,0,10,0.00018370980385340528,0.04590268015102506,1.0,1.0,1.0,1.0,0.9921325928714859,0.9920792079207921,0.9920554004454623,0.992078431372549,36.47851530599928,365.08201495699996
