split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.5540575624156375,0.2661951910317291,0.7058883973478416,0.6843308395677473,0.6809244293473189,0.673227820726175,0.8912715395877915,0.8827930174563591,0.8842287167860203,0.8823948266286905,86.62459165000018,86.62461249499938
test,0,2,0.23016544076569953,0.2609559833842422,0.9127659912880095,0.912718204488778,0.9126005006107285,0.9126674539259718,0.9110480317963969,0.9110556940980881,0.9111980534741615,0.911046843092743,86.51763189100075,173.14415772699977
test,0,3,0.12935004879779347,0.3292404459969389,0.958869281158719,0.9588528678304239,0.9588033039478568,0.9588336387763017,0.9218162516034857,0.9218620116375728,0.9218652362651035,0.9218381938223682,86.45801941000082,259.603988246
test,0,4,0.0957160280361897,0.4179557743507452,0.9765704743985211,0.9765170407315046,0.9764537723112912,0.9765049854466464,0.913588310178779,0.912718204488778,0.9132109381480356,0.9127121730291221,86.39558902199951,346.00133625999933
test,0,5,0.054271308030379224,0.38213937506460466,0.9867116754336057,0.9866999168744804,0.9866780309864354,0.9866941705424641,0.9325226573542862,0.9318370739817123,0.931494179777145,0.9317498754635524,86.41324734400041,432.4164014129992
test,0,6,0.03286604870863918,0.43479486054708233,0.992172850022956,0.9921030756442227,0.9920418654904181,0.9920989468892087,0.9270534676481984,0.9268495428096426,0.9266638095501424,0.9267944568915443,86.39184279399979,518.8099961979997
test,0,7,0.032250881080661035,0.4492578219112222,0.9937904430064709,0.9937655860349127,0.9937382183318091,0.9937627835717008,0.9259682636220385,0.9260182876142976,0.9260389305167694,0.9259978338536738,86.43354994800029,605.2452223969995
test,0,8,0.01241572514041954,0.46930704274972906,0.9975230430277083,0.9975062344139651,0.9974886512335885,0.997505156976712,0.9267978174098603,0.9268495428096426,0.9269181850858517,0.9268349321317004,86.45297498900072,691.6999808639994
test,0,9,0.008185236111523003,0.47760940826025633,0.9981105020626451,0.9981296758104738,0.9981496689208667,0.9981290066908273,0.9226608364934936,0.9226932668329177,0.9228080847181133,0.9226827955242973,86.44648718799999,778.1481182469997
test,0,10,0.005028970708422876,0.501966292200772,0.9987612195351255,0.9987531172069826,0.9987443256167943,0.9987525998304656,0.9202945420170158,0.9201995012468828,0.9204246965465757,0.9201967992481827,86.48907086500003,864.6388271309997
