split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7743855330045335,0.8267937999989954,0.8273635350051336,0.6668034791946411,0.3333333333333333,0.625,0.45454545454545453,0.38461538461538464,7.490636704119851e-08,0.84375,0.0,2.0,easy|hard|medium
test,0,1,2,32,0.5166193510012818,1.3652315799990902,1.365801312000258,0.6574618220329285,0.4770114942528736,0.59375,0.4916666666666667,0.4340136054421769,1.4981273408239702e-07,0.6875,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.5192970510033774,1.8851406350004254,1.8857103629998164,0.6993129253387451,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,2.247191011235955e-07,1.125,0.0,2.0,hard|easy|medium
test,0,1,4,32,0.5193562029962777,2.405091161002929,2.405660913005704,0.7054129838943481,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.9962546816479403e-07,0.84375,0.0,2.0,hard|medium|easy
test,0,1,5,32,0.5212527429976035,2.926998014001583,2.9275677320038085,0.70744788646698,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,3.7453183520599253e-07,1.125,0.0,2.0,medium|hard|easy
test,0,1,6,32,0.5204228260045056,3.4480085629984387,3.448578287003329,0.6855159997940063,0.265625,0.53125,0.5,0.3469387755102041,4.49438202247191e-07,0.9375,0.0,2.0,hard|medium|easy
test,0,1,7,32,0.5195780840003863,3.968276560000959,3.968846307005151,0.739690899848938,0.6612903225806451,0.34375,0.5227272727272727,0.2873806998939554,5.243445692883896e-07,0.75,0.0,2.0,easy|medium|hard
test,0,1,8,32,0.5196954690036364,4.488552381000773,4.489122132006742,0.689142644405365,0.7258064516129032,0.46875,0.5277777777777778,0.36374269005847953,5.992509363295881e-07,1.0625,0.0,2.0,easy|hard|medium
test,0,1,9,32,0.5215748720002011,5.0107831360001,5.01135286000499,0.7157900333404541,0.25,0.5,0.5,0.3333333333333333,6.741573033707865e-07,1.0,0.0,2.0,easy|hard|medium
test,0,1,10,32,0.521751170999778,5.5331378010014305,5.533707485999912,0.7043946385383606,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,7.490636704119851e-07,1.09375,0.0,2.0,easy|hard|medium
test,0,1,11,32,0.521364808002545,6.0551335839991225,6.05570326900488,0.7162572145462036,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,8.239700374531835e-07,0.78125,0.0,2.0,medium|easy|hard
test,0,1,12,32,0.5210257889993954,6.576701002995833,6.57727070000692,0.712097704410553,0.21875,0.4375,0.5,0.30434782608695654,8.98876404494382e-07,1.125,0.0,2.0,medium|hard|easy
test,0,1,13,32,0.5205653939992771,7.097881061999942,7.098450802004663,0.6979444026947021,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,9.737827715355806e-07,1.0,0.0,2.0,medium|hard|easy
test,0,1,14,32,0.5219429229982779,7.6204612479996285,7.621031005000987,0.7087110877037048,0.5,0.5,0.5,0.4181818181818182,1.0486891385767792e-06,1.21875,0.0,2.0,medium|hard|easy
test,0,1,15,32,0.5214365010033362,8.142507589996967,8.143077283006278,0.7047526836395264,0.5919540229885057,0.53125,0.53125,0.43859649122807015,1.1235955056179777e-06,0.875,0.0,2.0,medium|hard|easy
test,0,1,16,32,0.5205940810046741,8.663655306001601,8.664224992004165,0.7180330157279968,0.3735632183908046,0.40625,0.45634920634920634,0.3266888150609081,1.1985018726591761e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,17,32,0.520424203001312,9.18458006199944,9.18514976100414,0.7380388379096985,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,1.2734082397003748e-06,1.1875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5213799940029276,9.70651994599757,9.707089641000493,0.6613101363182068,0.296875,0.59375,0.5,0.37254901960784315,1.348314606741573e-06,1.25,0.0,2.0,hard|easy|medium
test,0,1,19,32,0.5217876860042452,10.228819386997202,10.229389093001373,0.6955899000167847,0.6428571428571428,0.5625,0.5625,0.49090909090909085,1.4232209737827715e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,20,32,0.5216377189935884,10.750984735997918,10.7515547120056,0.695609986782074,0.44252873563218387,0.53125,0.4801587301587301,0.3992490613266583,1.4981273408239701e-06,0.875,0.0,2.0,hard|easy|medium
test,0,1,21,32,0.5207505730068078,11.272322750999592,11.272892739005329,0.6707929372787476,0.6436781609195402,0.625,0.5506072874493927,0.5,1.5730337078651686e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,22,32,0.521634171003825,11.794545238000865,11.795114923006622,0.6831108331680298,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,1.647940074906367e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,23,32,0.5228076330022304,12.317880001995945,12.318449690006673,0.7085224986076355,0.5641025641025641,0.5,0.5396825396825397,0.4666666666666667,1.7228464419475657e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,24,32,0.5230247490035254,12.841382979000628,12.841952693001076,0.680185079574585,0.7666666666666666,0.5625,0.5625,0.45893719806763283,1.797752808988764e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,25,32,0.5220708950000699,13.364091670999187,13.36466135700175,0.7221859097480774,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,1.8726591760299627e-06,0.96875,0.0,2.0,hard|medium|easy
test,0,1,26,32,0.5216034979966935,13.886199098000361,13.886768795004173,0.6791782975196838,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,1.947565543071161e-06,0.78125,0.0,2.0,easy|medium|hard
test,0,1,27,32,0.5230419319996145,14.409850105999794,14.410419851003098,0.7593494653701782,0.41666666666666663,0.34375,0.4783549783549783,0.2873806998939554,2.02247191011236e-06,0.96875,0.0,2.0,medium|hard|easy
test,0,1,28,32,0.5231311509996885,14.933560311998008,14.934130006004125,0.7295441627502441,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,2.0973782771535585e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,29,32,0.5229415780049749,15.45704708199628,15.457616769002925,0.6910623908042908,0.7666666666666666,0.5625,0.5625,0.45893719806763283,2.1722846441947567e-06,1.0625,0.0,2.0,hard|medium|easy
test,0,1,30,32,0.5226552310050465,15.980266238002514,15.980835925001884,0.6815824508666992,0.5821256038647343,0.59375,0.5674603174603174,0.5588547189819725,2.2471910112359554e-06,0.78125,0.0,2.0,medium|easy|hard
test,0,1,31,32,0.5218719339973177,16.502600428000733,16.50317012900632,0.6927596926689148,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,2.322097378277154e-06,0.96875,0.0,2.0,medium|easy|hard
test,0,1,32,32,0.5231083489998127,17.026315155999328,17.02688484200189,0.6995869278907776,0.2833333333333333,0.53125,0.4473684210526316,0.3469387755102041,2.3970037453183523e-06,1.0625,0.0,2.0,medium|hard|easy
test,0,1,33,32,0.5223997850043816,17.54916673599655,17.549736726003175,0.7086930274963379,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.4719101123595505e-06,1.125,0.0,2.0,medium|easy|hard
test,0,1,34,32,0.5223467739997432,18.072064863998094,18.072634566000488,0.7063531875610352,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,2.5468164794007496e-06,1.0625,0.0,2.0,medium|easy|hard
test,0,1,35,32,0.5220361839965335,18.594700355002715,18.595270093006548,0.6967114806175232,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,2.6217228464419474e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,36,32,0.5244683359996998,19.11972288799734,19.120292591003818,0.714463472366333,0.5402298850574713,0.4375,0.51417004048583,0.37662337662337664,2.696629213483146e-06,0.90625,0.0,2.0,easy|medium|hard
test,0,1,37,32,0.5238070470004459,19.644094778996077,19.644664467006805,0.6803373098373413,0.55,0.59375,0.5121457489878543,0.4340136054421769,2.771535580524345e-06,0.90625,0.0,2.0,medium|hard|easy
test,0,1,38,32,0.5227674679990741,20.167497652997554,20.168067360005807,0.7258952856063843,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,2.846441947565543e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,39,32,0.5221513400028925,20.690245831996435,20.690815533002024,0.6761903762817383,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,2.9213483146067416e-06,0.90625,0.0,2.0,hard|easy|medium
