split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.7286083039484526,0.706645667552948,0.3183098591549296,0.42105263157894735,0.45505226480836236,0.31419196062346183,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.8663034240016714,1.8663267910014838
test,0,2,0.7086913240583319,0.6999980807304382,0.4779411764705882,0.4605263157894737,0.4916376306620209,0.3826035268476322,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.6334505530030583,3.5000663840037305
test,0,3,0.6858866497089988,0.6943292021751404,0.5091210613598673,0.47368421052631576,0.5038327526132405,0.403921568627451,0.23684210526315788,0.47368421052631576,0.5,0.32142857142857145,1.6386231949945795,5.139005870005349
test,0,4,0.6837014399076763,0.6907112002372742,0.6333333333333333,0.5657894736842105,0.589198606271777,0.5368421052631579,0.6333333333333333,0.631578947368421,0.6333333333333333,0.631578947368421,1.6352387309962069,6.774814971002343
test,0,5,0.6820757294956007,0.6872944831848145,0.5152777777777777,0.5131578947368421,0.5153310104529616,0.513073593073593,0.45,0.47368421052631576,0.4611111111111111,0.43452380952380953,1.64396921700245,8.419038603002264
test,0,6,0.6725521056275618,0.6823473572731018,0.6555299539170507,0.618421052631579,0.5940766550522648,0.5633049336239351,0.41666666666666663,0.47368421052631576,0.4555555555555556,0.391025641025641,1.6396029719981016,10.058944231001078
test,0,7,0.6509866588994077,0.6728225350379944,0.6862026862026862,0.631578947368421,0.6062717770034843,0.5737179487179487,0.675,0.631578947368421,0.6166666666666667,0.5907692307692307,1.638954840003862,11.698176229998353
test,0,8,0.6411679198867396,0.663507878780365,0.7430875576036866,0.6710526315789473,0.6470383275261324,0.6235387358827026,0.675,0.631578947368421,0.6166666666666667,0.5907692307692307,1.635373177996371,13.33382159100438
test,0,9,0.6337036804149025,0.6558237671852112,0.7971014492753623,0.631578947368421,0.6,0.5393939393939394,0.7214285714285715,0.6842105263157895,0.6722222222222223,0.6607142857142857,1.6426057999997283,14.976693081000121
test,0,10,0.6129388338641116,0.6522913575172424,0.7708333333333333,0.6710526315789473,0.6449477351916376,0.6149949341438703,0.7214285714285715,0.6842105263157895,0.6722222222222223,0.6607142857142857,1.6363326779974159,16.61329318999924
