split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7747968210023828,0.831972369000141,0.8325493160009501,0.807685136795044,0.5,0.03125,0.015625,0.030303030303030304,1e-05,0.0,0.0,0.0,easy
test,0,1,2,28,0.47280871299881255,1.3263922519981861,1.3269692910034792,0.8289045691490173,0.03571428571428571,0.07142857142857142,0.5,0.06666666666666667,2e-05,1.0,0.0,2.0,easy|medium|hard
test,0,2,1,32,0.5278631440014578,0.6052183049978339,2.176569057999586,0.8010737895965576,0.5,0.0625,0.03125,0.058823529411764705,1.888888888888889e-05,0.0,0.0,0.0,easy
test,0,2,2,28,0.4736103619943606,1.0794715930023813,2.650822335999692,0.7444972991943359,0.5384615384615384,0.14285714285714285,0.5384615384615384,0.14285714285714285,1.7777777777777777e-05,1.0,0.0,2.0,easy|medium|hard
test,0,3,1,32,0.5295453329963493,0.6085493259961368,3.501665383002546,0.691098153591156,0.5,0.5,0.25,0.3333333333333333,1.6666666666666667e-05,0.0,0.0,0.0,easy
test,0,3,2,28,0.4733918130004895,1.0825662220013328,3.9756822760027717,0.6430827379226685,0.46,0.8214285714285714,0.4423076923076923,0.45098039215686275,1.555555555555556e-05,1.0,0.0,2.0,easy|medium|hard
test,0,4,1,32,0.5290085330052534,0.6128123160015093,4.829844059000607,0.5774412155151367,1.0,1.0,1.0,1.0,1.4444444444444446e-05,0.0,0.0,0.0,easy
test,0,4,2,28,0.47393216600175947,1.0873835820020759,5.304415293998318,0.530059814453125,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,1.3333333333333333e-05,1.0,0.0,2.0,easy|medium|hard
test,0,5,1,32,0.5285203480016207,0.6062618599971756,6.151161070003582,0.4545891284942627,1.0,1.0,1.0,1.0,1.2222222222222224e-05,0.0,0.0,0.0,easy
test,0,5,2,28,0.4743126269968343,1.0812434190011118,6.626142632005212,0.4043976366519928,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,1.1111111111111113e-05,1.0,0.0,2.0,easy|medium|hard
test,0,6,1,32,0.5293731489946367,0.6080635550024454,7.4817970160002005,0.3150724172592163,1.0,1.0,1.0,1.0,1e-05,0.0,0.0,0.0,easy
test,0,6,2,28,0.47431252199748997,1.0829889090018696,7.9567223570047645,0.335311621427536,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,8.888888888888888e-06,1.0,0.0,2.0,easy|medium|hard
test,0,7,1,32,0.5298251380008878,0.6079185509952367,8.811359632003587,0.17468535900115967,1.0,1.0,1.0,1.0,7.77777777777778e-06,0.0,0.0,0.0,easy
test,0,7,2,28,0.4728752929950133,1.0814415629938594,9.284882653999375,0.25084418058395386,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,6.666666666666667e-06,1.0,0.0,2.0,easy|medium|hard
test,0,8,1,32,0.5283382580018952,0.6064276979959686,10.132460191998689,0.08942220360040665,1.0,1.0,1.0,1.0,5.555555555555557e-06,0.0,0.0,0.0,easy
test,0,8,2,28,0.47434380000049714,1.0813753769980394,10.607407902003615,0.25587213039398193,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,4.444444444444444e-06,1.0,0.0,2.0,easy|medium|hard
test,0,9,1,32,0.5299771799982409,0.6077641119991313,11.45655599499878,0.07011298090219498,1.0,1.0,1.0,1.0,3.3333333333333333e-06,0.0,0.0,0.0,easy
test,0,9,2,28,0.47436283299612114,1.0827509040027508,11.931542802005424,0.2407979667186737,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,2.222222222222222e-06,1.0,0.0,2.0,easy|medium|hard
test,0,10,1,32,0.5297412189975148,0.6072953889961354,12.780251402000431,0.0517117902636528,1.0,1.0,1.0,1.0,1.111111111111111e-06,0.0,0.0,0.0,easy
test,0,10,2,28,0.47370943699934287,1.0816669779960648,13.254622913002095,0.2515665888786316,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,0.0,1.0,0.0,2.0,easy|medium|hard
