split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7689943490040605,0.8375566120012081,0.8381241179959034,0.7238532304763794,0.3735632183908046,0.40625,0.45634920634920634,0.3266888150609081,6.666666666666667e-06,0.96875,0.0,2.0,hard|medium|easy
test,0,1,2,32,0.5250780100031989,1.384473470003286,1.3850410619998001,0.7122353315353394,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,1.3333333333333333e-05,1.21875,0.0,2.0,hard|medium|easy
test,0,1,3,12,0.2452511159935966,1.630226423003478,1.6307939309990616,0.6791057586669922,0.25,0.4166666666666667,0.35714285714285715,0.29411764705882354,2e-05,0.75,0.0,2.0,medium|hard|easy
test,0,2,1,32,0.5297520859967335,0.6161754690037924,2.500441486001364,0.6677024960517883,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,1.925925925925926e-05,1.0,0.0,2.0,hard|medium|easy
test,0,2,2,32,0.5266955909974058,1.1435119770030724,3.027777987997979,0.7359558343887329,0.4666666666666667,0.375,0.48051948051948057,0.3522267206477733,1.851851851851852e-05,0.96875,0.0,2.0,hard|medium|easy
test,0,2,3,12,0.24565176900068764,1.3896380360019975,3.273904087000119,0.6869366765022278,0.7272727272727273,0.5,0.5714285714285714,0.4375,1.7777777777777777e-05,1.3333333730697632,0.0,2.0,hard|easy|medium
test,0,3,1,32,0.528038991993526,0.6117476250001346,4.1661672799964435,0.7012618184089661,0.5919540229885057,0.53125,0.53125,0.43859649122807015,1.7037037037037038e-05,1.0625,0.0,2.0,medium|hard|easy
test,0,3,2,32,0.5275136319978628,1.139882037001371,4.694301700001233,0.7031092047691345,0.3782051282051282,0.40625,0.42549019607843136,0.3552492046659597,1.6296296296296297e-05,0.875,0.0,2.0,easy|medium|hard
test,0,3,3,12,0.24474525299592642,1.385128567002539,4.939548171998467,0.6845980286598206,0.6818181818181819,0.4166666666666667,0.5625,0.37777777777777777,1.555555555555556e-05,1.4166667461395264,0.0,2.0,hard|easy|medium
test,0,4,1,32,0.5291512219992001,0.6139171350005199,5.818216808002035,0.6635897159576416,0.8275862068965517,0.6875,0.6153846153846154,0.5833333333333333,1.4814814814814815e-05,0.9375,0.0,2.0,easy|hard|medium
test,0,4,2,32,0.5269890680065146,1.1415189449980971,6.345817110995995,0.6942224502563477,0.44705882352941173,0.4375,0.44155844155844154,0.4285714285714286,1.4074074074074075e-05,1.15625,0.0,2.0,hard|easy|medium
test,0,4,3,12,0.24483595200581476,1.386796325998148,6.591094429997611,0.6707730293273926,0.75,0.75,0.7285714285714285,0.7333333333333334,1.3333333333333333e-05,1.0,0.0,2.0,medium|hard|easy
test,0,5,1,32,0.5300735800046823,0.6146708130036131,7.470047971997701,0.6640615463256836,0.7424242424242424,0.71875,0.71875,0.7117117117117118,1.2592592592592593e-05,0.875,0.0,2.0,hard|medium|easy
test,0,5,2,32,0.5279457810029271,1.143242801001179,7.998619926998799,0.6773860454559326,0.6454545454545455,0.625,0.625,0.611336032388664,1.1851851851851852e-05,1.09375,0.0,2.0,hard|easy|medium
test,0,5,3,12,0.24467303499841364,1.388379680000071,8.243756826996105,0.6334494352340698,0.36363636363636365,0.6666666666666666,0.4444444444444444,0.4,1.1111111111111113e-05,1.3333333730697632,0.0,2.0,medium|hard|easy
test,0,6,1,32,0.5295888140026364,0.6198168119954062,9.133422352002526,0.6823705434799194,0.6428571428571428,0.5625,0.5625,0.49090909090909085,1.037037037037037e-05,1.25,0.0,2.0,hard|easy|medium
test,0,6,2,32,0.5286506679985905,1.1491825069970218,9.662788381996506,0.6379005312919617,0.8846153846153846,0.8125,0.75,0.7681159420289855,9.62962962962963e-06,0.875,0.0,2.0,medium|easy|hard
test,0,6,3,12,0.24460752800223418,1.3942356589977862,9.907841218002432,0.6949405670166016,0.7272727272727273,0.5,0.5714285714285714,0.4375,8.888888888888888e-06,0.9166666865348816,0.0,2.0,easy|hard|medium
test,0,7,1,32,0.5303711039960035,0.6131948550028028,10.785254178001196,0.6620455980300903,0.6607142857142857,0.59375,0.5705882352941176,0.5134502923976608,8.148148148148148e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,7,2,32,0.528005676002067,1.1418138880035258,11.313873184997647,0.6302210092544556,0.85,0.71875,0.5909090909090909,0.5656108597285068,7.4074074074074075e-06,1.0625,0.0,2.0,medium|easy|hard
test,0,7,3,12,0.244425021999632,1.3866881249996368,11.558747369999764,0.7492778301239014,0.125,0.25,0.5,0.2,6.666666666666667e-06,1.25,0.0,2.0,easy|medium|hard
test,0,8,1,32,0.529366859998845,0.6139037660032045,12.437931906999438,0.6303141117095947,0.8,0.6875,0.7058823529411764,0.6666666666666667,5.925925925925926e-06,1.09375,0.0,2.0,easy|medium|hard
test,0,8,2,32,0.5284445680008503,1.1429330020037014,12.966961165999237,0.5928165912628174,0.85,0.71875,0.5909090909090909,0.5656108597285068,5.185185185185185e-06,1.0,0.0,2.0,easy|medium|hard
test,0,8,3,12,0.24550231500325026,1.3888879380028811,13.212916229997063,0.6717290282249451,0.20833333333333334,0.4166666666666667,0.5,0.29411764705882354,4.444444444444444e-06,1.0,0.0,2.0,easy|hard|medium
test,0,9,1,32,0.5307751470027142,0.616077333004796,14.107570400999975,0.6186633110046387,0.8,0.625,0.5714285714285714,0.5,3.7037037037037037e-06,1.0625,0.0,2.0,medium|hard|easy
test,0,9,2,32,0.5274905690021114,1.1441801660039346,14.635673224998754,0.60272216796875,0.8200000000000001,0.71875,0.71875,0.694591728525981,2.962962962962963e-06,1.0625,0.0,2.0,easy|medium|hard
test,0,9,3,12,0.24561878300301032,1.390252353005053,14.88174540700129,0.6169150471687317,0.8181818181818181,0.6666666666666666,0.6,0.5555555555555556,2.222222222222222e-06,0.9166666865348816,0.0,2.0,medium|hard|easy
test,0,10,1,32,0.5306830360059394,0.6140994699962903,15.762931293997099,0.5872014760971069,0.8076923076923077,0.6875,0.6875,0.6536796536796536,1.4814814814814815e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,10,2,32,0.5277713070026948,1.1425173449970316,16.29134913699818,0.5946147441864014,0.8392857142857143,0.71875,0.6538461538461539,0.639549436795995,7.407407407407407e-07,0.9375,0.0,2.0,easy|hard|medium
test,0,10,3,12,0.24481623100291472,1.3877559030006523,16.53658767000161,0.6043999195098877,0.875,0.8333333333333334,0.8333333333333333,0.8285714285714285,0.0,1.3333333730697632,0.0,2.0,medium|hard|easy
