split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7796899950044462,0.8425336660002358,0.8430932240007678,0.6809987425804138,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,1.282051282051282e-07,1.25,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5232754620010382,1.3874727340007666,1.3880322810000507,0.6995276212692261,0.5,0.5,0.5,0.3816425120772947,2.564102564102564e-07,1.21875,0.0,2.0,hard|medium|easy
test,0,1,3,32,0.5255910640044021,1.9137377730003209,1.914297338000324,0.7236630916595459,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,3.846153846153847e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,4,32,0.5285230570007116,2.4427934440027457,2.4433530739988782,0.6480473279953003,0.31666666666666665,0.59375,0.4523809523809524,0.37254901960784315,5.128205128205128e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5284261179986061,2.9718064140033675,2.972366049994889,0.730671763420105,0.203125,0.40625,0.5,0.28888888888888886,6.41025641025641e-07,1.34375,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.5281959780040779,3.50062860899925,3.5011881859973073,0.7100149989128113,0.265625,0.53125,0.5,0.3469387755102041,7.692307692307694e-07,1.09375,0.0,2.0,easy|hard|medium
test,0,1,7,32,0.5275193639972713,4.028750737001246,4.0293103020012495,0.7162442207336426,0.75,0.53125,0.5588235294117647,0.43859649122807015,8.974358974358975e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,8,32,0.5286766200006241,4.557980762998341,4.558540357000311,0.7317507863044739,0.7166666666666667,0.46875,0.5526315789473684,0.39756367663344405,1.0256410256410257e-06,1.125,0.0,2.0,hard|medium|easy
test,0,1,9,32,0.5289575230053742,5.08746000300016,5.0880195509962505,0.7153950929641724,0.7096774193548387,0.4375,0.5263157894736842,0.34545454545454546,1.153846153846154e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,10,32,0.5272708979973686,5.615262136001547,5.615821676998166,0.7124043107032776,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.282051282051282e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,11,32,0.5297045339975739,6.145554545997584,6.146114121998835,0.6690512895584106,0.3064516129032258,0.59375,0.475,0.37254901960784315,1.4102564102564104e-06,0.4375,0.0,2.0,easy|medium|hard
test,0,1,12,32,0.52821204400243,6.674417037000239,6.674976586000412,0.7305400371551514,0.1875,0.375,0.5,0.2727272727272727,1.5384615384615387e-06,1.0,0.0,2.0,easy|medium|hard
test,0,1,13,32,0.5285850180007401,7.203546454999014,7.204106058001344,0.7294999957084656,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,1.6666666666666667e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,1,14,32,0.5277127320005093,7.731829921998724,7.732389684999362,0.6753228902816772,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,1.794871794871795e-06,0.84375,0.0,2.0,medium|easy|hard
test,0,1,15,32,0.5298132169991732,8.262162147999334,8.262721726001473,0.6652901768684387,0.3448275862068966,0.625,0.43478260869565216,0.38461538461538464,1.9230769230769234e-06,1.40625,0.0,2.0,medium|hard|easy
test,0,1,16,32,0.5280336029973114,8.790757914997812,8.791317461997096,0.7183853387832642,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,2.0512820512820513e-06,1.28125,0.0,2.0,easy|hard|medium
test,0,1,17,32,0.528662192999036,9.319965579998097,9.320525181996345,0.7597138285636902,0.1774193548387097,0.34375,0.4583333333333333,0.2558139534883721,2.1794871794871797e-06,0.75,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5289541669990285,9.849492663997808,9.850052142995992,0.6625229716300964,0.3125,0.625,0.5,0.38461538461538464,2.307692307692308e-06,1.125,0.0,2.0,hard|medium|easy
test,0,1,19,32,0.5288568849937292,10.378966415002651,10.3795260209954,0.6949577927589417,0.625,0.53125,0.5549019607843138,0.4684385382059801,2.435897435897436e-06,1.28125,0.0,2.0,hard|medium|easy
test,0,1,20,32,0.5284511690042564,10.907957326999167,10.908516860996315,0.6679571866989136,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,2.564102564102564e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,21,32,0.5298056510000606,11.438311390003946,11.43887096799881,0.7011655569076538,0.4037037037037037,0.40625,0.4484126984126984,0.3552492046659597,2.6923076923076923e-06,1.0,0.0,2.0,easy|medium|hard
test,0,1,22,32,0.5292975119955372,11.968218312002136,11.968777861999115,0.6767845153808594,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,2.8205128205128207e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,23,32,0.5291286450010375,12.497889518002921,12.498449116996198,0.7110965847969055,0.608974358974359,0.46875,0.5735930735930735,0.45545545545545546,2.948717948717949e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,24,32,0.5278787650022423,13.026272923998476,13.026832461997401,0.7284956574440002,0.4885057471264368,0.34375,0.4954545454545455,0.3107692307692308,3.0769230769230774e-06,1.40625,0.0,2.0,hard|easy|medium
test,0,1,25,32,0.5295893949951278,13.556409630000417,13.556969163000758,0.7188194394111633,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,3.205128205128206e-06,0.96875,0.0,2.0,easy|hard|medium
test,0,1,26,32,0.5288911360039492,14.085923254999216,14.086482799000805,0.6845883131027222,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,3.3333333333333333e-06,0.75,0.0,2.0,easy|hard|medium
test,0,1,27,32,0.5282862519961782,14.614756164999562,14.615315832001215,0.7130119800567627,0.43333333333333335,0.375,0.48333333333333334,0.3073593073593074,3.4615384615384617e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,28,32,0.5293920859985519,15.14474418500322,15.14530371499859,0.7315000295639038,0.14516129032258066,0.28125,0.45,0.21951219512195122,3.58974358974359e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,29,32,0.529179800003476,15.674446807002823,15.67500634300086,0.6842848062515259,0.3,0.5625,0.45,0.36,3.7179487179487184e-06,0.75,0.0,2.0,easy|medium|hard
test,0,1,30,32,0.5295401149996906,16.204541092003637,16.20510090499738,0.6792636513710022,0.5265700483091788,0.5625,0.5222672064777327,0.5151515151515151,3.846153846153847e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,31,32,0.5296324730006745,16.734765221001,16.73532473999512,0.6948835849761963,0.7413793103448276,0.53125,0.5833333333333334,0.4684385382059801,3.974358974358974e-06,0.8125,0.0,2.0,medium|hard|easy
test,0,1,32,32,0.5297158629982732,17.265076481002325,17.26563605499541,0.727430522441864,0.1724137931034483,0.3125,0.38461538461538464,0.23809523809523808,4.102564102564103e-06,1.25,0.0,2.0,medium|hard|easy
test,0,1,33,32,0.5291228059941204,17.794668930000626,17.795228540999233,0.6862829923629761,0.2903225806451613,0.5625,0.47368421052631576,0.36,4.230769230769231e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,34,32,0.5283432869982789,18.32357716900151,18.32413677599834,0.6903101801872253,0.5,0.5,0.5,0.3816425120772947,4.358974358974359e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,35,32,0.5297612010035664,18.853907900003833,18.85446745799709,0.6751666069030762,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,4.487179487179488e-06,1.125,0.0,2.0,hard|medium|easy
test,0,1,36,32,0.5293704159994377,19.383833369000058,19.38439298099547,0.6904942989349365,0.40804597701149425,0.46875,0.46875,0.36374269005847953,4.615384615384616e-06,1.0,0.0,2.0,medium|hard|easy
test,0,1,37,32,0.5288468899962027,19.913270782002655,19.913830309000332,0.7193478345870972,0.41666666666666663,0.34375,0.4783549783549783,0.2873806998939554,4.743589743589744e-06,1.125,0.0,2.0,medium|easy|hard
test,0,1,38,32,0.5297930320011801,20.443566993002605,20.444126843998674,0.6814867258071899,0.7666666666666666,0.5625,0.5625,0.45893719806763283,4.871794871794872e-06,1.1875,0.0,2.0,medium|hard|easy
test,0,1,39,32,0.5307797440036666,20.97494011100207,20.97549970199907,0.6899423599243164,0.6071428571428572,0.5,0.5476190476190477,0.4458874458874459,5e-06,1.1875,0.0,2.0,hard|easy|medium
test,0,1,40,32,0.5287480170009076,21.504243955001584,21.50480349099962,0.6883436441421509,0.44252873563218387,0.53125,0.4801587301587301,0.3992490613266583,5.128205128205128e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,41,32,0.5300030229991535,22.034853755998483,22.035413297999185,0.6866344213485718,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,5.256410256410257e-06,0.78125,0.0,2.0,easy|medium|hard
test,0,1,42,32,0.5312080469957436,22.566578728998138,22.567138316000637,0.7035079002380371,0.34074074074074073,0.4375,0.4156862745098039,0.34545454545454546,5.384615384615385e-06,1.03125,0.0,2.0,medium|easy|hard
test,0,1,43,32,0.5306521320017055,23.097806837999087,23.098366375998012,0.7093387842178345,0.4423076923076923,0.40625,0.46356275303643724,0.3764102564102564,5.512820512820514e-06,1.21875,0.0,2.0,easy|medium|hard
test,0,1,44,32,0.5295339189979131,23.627899241000705,23.62845887599542,0.6856855154037476,0.5574712643678161,0.46875,0.5198412698412699,0.39756367663344405,5.641025641025641e-06,1.28125,0.0,2.0,medium|hard|easy
test,0,1,45,32,0.5316584149986738,24.160112336001475,24.160671867997735,0.6734437346458435,0.5542857142857143,0.625,0.5411255411255411,0.536231884057971,5.769230769230769e-06,1.0625,0.0,2.0,easy|hard|medium
test,0,1,46,32,0.5303686130064307,24.69100407500082,24.691563622000103,0.6677387356758118,0.6217948717948718,0.59375,0.5745098039215686,0.539313399778516,5.897435897435898e-06,0.9375,0.0,2.0,hard|easy|medium
test,0,1,47,32,0.5305924130007043,25.222148284003197,25.222707815999456,0.6781198382377625,0.4935897435897436,0.59375,0.4956709956709957,0.4793491864831039,6.025641025641026e-06,0.875,0.0,2.0,easy|medium|hard
test,0,1,48,32,0.5308979850015021,25.753558663003787,25.7541182069981,0.6721295714378357,0.5962962962962963,0.59375,0.5515873015873015,0.5134502923976608,6.153846153846155e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,49,32,0.531381306995172,26.285500546997355,26.286060139995243,0.6591835021972656,0.7333333333333334,0.6875,0.6275303643724697,0.6135265700483092,6.282051282051282e-06,0.9375,0.0,2.0,medium|hard|easy
test,0,1,50,32,0.5309105639971676,26.816879475998576,26.817439015001582,0.6468673348426819,0.7,0.6875,0.6875,0.6825396825396826,6.410256410256412e-06,0.84375,0.0,2.0,medium|easy|hard
