split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7737968560031732,0.8359702469970216,0.8365564900013851,0.709674596786499,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,1.3245033112582784e-07,1.15625,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5256725860017468,1.3833386769983917,1.3839251620011055,0.6741889715194702,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,2.649006622516557e-07,1.21875,0.0,2.0,easy|medium|hard
test,0,1,3,32,0.528457325999625,1.9124605530014378,1.91304682300688,0.6918027400970459,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,3.973509933774835e-07,1.03125,0.0,2.0,medium|hard|easy
test,0,1,4,32,0.5275221249976312,2.4406104309964576,2.441196708001371,0.70075923204422,0.5,0.5,0.5,0.3816425120772947,5.298013245033113e-07,0.8125,0.0,2.0,easy|hard|medium
test,0,1,5,32,0.5276631550004822,2.968818312001531,2.9694046180011355,0.6841683983802795,0.296875,0.59375,0.5,0.37254901960784315,6.622516556291392e-07,0.8125,0.0,2.0,easy|medium|hard
test,0,1,6,32,0.5286558250008966,3.4981181010007276,3.498704344005091,0.7209218740463257,0.24193548387096775,0.46875,0.46875,0.3191489361702128,7.94701986754967e-07,1.125,0.0,2.0,easy|medium|hard
test,0,1,7,32,0.5285433600001852,4.027304709001328,4.027890955003386,0.6546722054481506,0.8166666666666667,0.65625,0.5769230769230769,0.5210884353741496,9.271523178807948e-07,1.09375,0.0,2.0,easy|medium|hard
test,0,1,8,32,0.5280667900005938,4.555976987998292,4.556563256002846,0.7213683128356934,0.23333333333333334,0.4375,0.4375,0.30434782608695654,1.0596026490066227e-06,0.90625,0.0,2.0,hard|medium|easy
test,0,1,9,32,0.5289685820025625,5.085534134996124,5.086120399006177,0.6827366948127747,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,1.1920529801324504e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,10,32,0.529866494005546,5.615886863000924,5.616473076006514,0.7140306830406189,0.20689655172413793,0.375,0.4,0.2727272727272727,1.3245033112582784e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,11,32,0.5285614970052848,6.145003676996566,6.145589885003574,0.6744507551193237,0.2903225806451613,0.5625,0.47368421052631576,0.36,1.456953642384106e-06,1.0625,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.52782223700342,6.673387984999863,6.673974206001731,0.6977088451385498,0.2413793103448276,0.4375,0.4117647058823529,0.30434782608695654,1.589403973509934e-06,0.84375,0.0,2.0,medium|easy|hard
