split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7736919579983805,0.835723506002978,0.836336307998863,0.692638635635376,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,3.125e-07,0.71875,0.0,2.0,easy|hard|medium
test,0,1,2,32,0.5251399129992933,1.382480772001145,1.383093596996332,0.6964640617370605,0.5,0.5,0.5,0.3816425120772947,6.25e-07,0.84375,0.0,2.0,easy|medium|hard
test,0,1,3,32,0.5293523399959668,1.9124472180046723,1.913060091996158,0.6508352756500244,0.8225806451612903,0.65625,0.5416666666666666,0.46907993966817496,9.375000000000001e-07,0.875,0.0,2.0,medium|easy|hard
test,0,1,4,32,0.5291363229989656,2.4421893630060367,2.4428022549982416,0.7094459533691406,0.7666666666666666,0.5625,0.5625,0.45893719806763283,1.25e-06,0.9375,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5285410950018559,2.9714000530002522,2.972012933998485,0.6970573663711548,0.265625,0.53125,0.5,0.3469387755102041,1.5625e-06,0.8125,0.0,2.0,hard|easy|medium
test,0,1,6,32,0.5282843399982085,3.5003101490001427,3.5009229779971065,0.7229619026184082,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,1.8750000000000003e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,7,32,0.5290229129968793,4.0299927790038055,4.030605610998464,0.7073653340339661,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,2.1875000000000002e-06,0.96875,0.0,2.0,hard|easy|medium
test,0,1,8,32,0.52907091799716,4.559622077002132,4.560234967000724,0.7013746500015259,0.6428571428571428,0.5625,0.5625,0.49090909090909085,2.5e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,9,32,0.528197415995237,5.0883959400016465,5.08900880299916,0.6451023817062378,0.6166666666666667,0.71875,0.533816425120773,0.5060034305317325,2.8125e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,10,32,0.529834947999916,5.618782449004357,5.619395323999925,0.6651450395584106,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,3.125e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,1,11,32,0.5291630449937657,6.1484041350049665,6.149016992996621,0.6984694004058838,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,3.4375e-06,0.875,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.5288306190050207,6.677819960001216,6.678432818000147,0.7583752870559692,0.13333333333333333,0.25,0.4,0.2,3.7500000000000005e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,13,32,0.5279061930050375,7.206289509005728,7.206902375997743,0.6823936700820923,0.5857142857142856,0.59375,0.5595238095238095,0.539313399778516,4.0625000000000005e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,14,32,0.5295234660006827,7.736396341002546,7.7370091670018155,0.6768090724945068,0.5971428571428572,0.53125,0.5674603174603174,0.5076923076923077,4.3750000000000005e-06,0.71875,0.0,2.0,hard|easy|medium
test,0,1,15,32,0.5283658719999949,8.265349467001215,8.265962332996423,0.7050846219062805,0.6071428571428572,0.5,0.5476190476190477,0.4458874458874459,4.6875000000000004e-06,0.84375,0.0,2.0,easy|medium|hard
test,0,1,16,32,0.5293345419995603,8.795266778004589,8.795879643999797,0.7031617164611816,0.375,0.46875,0.44509803921568625,0.36374269005847953,5e-06,1.0,0.0,2.0,medium|hard|easy
test,0,1,17,32,0.529778874006297,9.325580247001199,9.326193064000108,0.7137113809585571,0.5,0.5,0.5,0.3816425120772947,5.3125e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5293119560010382,9.855467917004717,9.856080678997387,0.6926608085632324,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,5.625e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,19,32,0.5284637290023966,10.384517499005597,10.385130611000932,0.6989048719406128,0.5,0.5,0.5,0.4181818181818182,5.9375e-06,0.90625,0.0,2.0,easy|medium|hard
test,0,1,20,32,0.5301858530001482,10.91530710200459,10.915919970997493,0.7028052806854248,0.4542857142857143,0.46875,0.46875,0.4231177094379639,6.25e-06,1.03125,0.0,2.0,easy|hard|medium
test,0,1,21,32,0.5295404170028633,11.44535315700341,11.445966041996144,0.7137359976768494,0.5,0.4375,0.5,0.4285714285714286,6.5625e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,22,32,0.5289717040068354,11.97486423200462,11.975477098996635,0.6958794593811035,0.5192307692307692,0.53125,0.5117647058823529,0.4684385382059801,6.875e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,23,32,0.5282992130014463,12.503690579003887,12.504303437999624,0.6907339096069336,0.5,0.5,0.5,0.4920634920634921,7.1875e-06,0.8125,0.0,2.0,easy|medium|hard
test,0,1,24,32,0.530254495999543,13.034528496005805,13.035141364001902,0.6674895286560059,0.532051282051282,0.65625,0.5241545893719807,0.5210884353741496,7.500000000000001e-06,1.25,0.0,2.0,medium|hard|easy
test,0,1,25,32,0.5291232320014387,13.564130035003473,13.564742905997264,0.6906523704528809,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,7.8125e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,26,32,0.5288583310029935,14.093510358005005,14.094123226997908,0.6958507299423218,0.6428571428571428,0.5625,0.5625,0.49090909090909085,8.125000000000001e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,27,32,0.5304839599994011,14.624538967000262,14.625152073997015,0.6947399377822876,0.39743589743589747,0.4375,0.4375,0.37662337662337664,8.4375e-06,0.90625,0.0,2.0,easy|hard|medium
test,0,1,28,32,0.5298548810023931,15.154937507002614,15.155550404000678,0.6856611967086792,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,8.750000000000001e-06,0.84375,0.0,2.0,hard|medium|easy
test,0,1,29,32,0.5285591920037405,15.684072688003653,15.684685510001145,0.6893055438995361,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,9.0625e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,30,32,0.5308004940015962,16.215401567002118,16.21601441299572,0.6924688816070557,0.47101449275362317,0.53125,0.475,0.4684385382059801,9.375000000000001e-06,0.875,0.0,2.0,medium|easy|hard
test,0,1,31,32,0.5297651180007961,16.745770210000046,16.746383297999273,0.6869534254074097,0.41025641025641024,0.5625,0.43636363636363634,0.4166666666666667,9.6875e-06,1.0625,0.0,2.0,hard|easy|medium
