split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7626971330028027,0.8215541009994922,0.8221376860019518,0.7334675192832947,0.16666666666666666,0.3125,0.4166666666666667,0.23809523809523808,4.000000000000001e-06,0.0,0.0,0.0,easy
test,0,1,2,32,0.5166843370097922,1.3596782480017282,1.3602616770076565,0.6930533051490784,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,8.000000000000001e-06,0.34375,0.0,1.0,easy|medium
test,0,1,3,32,0.518669710989343,1.8788667999906465,1.8794501590018626,0.7411136031150818,0.23333333333333334,0.4375,0.4375,0.30434782608695654,1.2e-05,1.0,1.0,1.0,medium
test,0,1,4,32,0.5193932319962187,2.398715799994534,2.399299238997628,0.7186160683631897,0.22413793103448276,0.40625,0.40625,0.28888888888888886,1.6000000000000003e-05,1.875,1.0,2.0,medium|hard
test,0,1,5,28,0.4665817450004397,2.8658602840005187,2.8664436990075046,0.7155075073242188,0.5333333333333333,0.42857142857142855,0.5133689839572192,0.37777777777777777,2e-05,2.0,2.0,2.0,hard
test,0,2,1,32,0.5217787920119008,0.5997756239958107,3.8101488370011793,0.7042626142501831,0.7142857142857143,0.5,0.6,0.4666666666666667,1.9555555555555557e-05,0.0,0.0,0.0,easy
test,0,2,2,32,0.5191316800046479,1.1195549209951423,4.329928234001272,0.6980870962142944,0.3392857142857143,0.40625,0.4294117647058824,0.3266888150609081,1.9111111111111113e-05,0.34375,0.0,1.0,easy|medium
test,0,2,3,32,0.520593066001311,1.6406238449999364,4.8509975189954275,0.7357676029205322,0.33805668016194335,0.34375,0.34375,0.33793103448275863,1.866666666666667e-05,1.0,1.0,1.0,medium
test,0,2,4,32,0.5208235619938932,2.1619019729987485,5.3722752510075225,0.6765015125274658,0.5634920634920635,0.5625,0.5625,0.5607843137254902,1.8222222222222224e-05,1.875,1.0,2.0,medium|hard
test,0,2,5,28,0.4686964989959961,2.6310807440022472,5.841453934001038,0.6692313551902771,0.6625,0.6785714285714286,0.6390374331550802,0.6415362731152205,1.7777777777777777e-05,2.0,2.0,2.0,hard
test,0,3,1,32,0.521697040006984,0.6001815909985453,6.7965954069950385,0.6726027727127075,0.6666666666666667,0.6875,0.6666666666666667,0.6666666666666667,1.7333333333333336e-05,0.0,0.0,0.0,easy
test,0,3,2,32,0.5196601460047532,1.1204701509996084,7.3168804830056615,0.663642406463623,0.8035714285714286,0.65625,0.6333333333333333,0.5883040935672514,1.688888888888889e-05,0.34375,0.0,1.0,easy|medium
test,0,3,3,32,0.5206547120033065,1.6415762169926893,7.837986484999419,0.6865440607070923,0.24193548387096775,0.46875,0.46875,0.3191489361702128,1.6444444444444444e-05,1.0,1.0,1.0,medium
test,0,3,4,32,0.5210626259940909,2.1630799239937915,8.359490144997835,0.6729057431221008,0.7580645161290323,0.53125,0.53125,0.3992490613266583,1.6000000000000003e-05,1.875,1.0,2.0,medium|hard
