split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7767283849971136,0.8372372459998587,0.8378126149909804,0.6481586694717407,0.36666666666666664,0.6875,0.4583333333333333,0.4074074074074074,3.125e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5262074289930752,1.3850380110088736,1.3856134539964842,0.6777808666229248,0.29310344827586204,0.53125,0.425,0.3469387755102041,6.25e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5287967570038745,1.9144646549975732,1.9150400959915714,0.69789057970047,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,9.375000000000001e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5294111219991464,2.4443813870020676,2.4449568269919837,0.6672378778457642,0.3,0.5625,0.45,0.36,1.25e-06,0.0,0.0,0.0,easy
test,0,1,5,32,0.5279696330107981,2.9729774890001863,2.9735529129975475,0.6435853242874146,0.34375,0.6875,0.5,0.4074074074074074,1.5625e-06,0.0,0.0,0.0,easy
test,0,1,6,32,0.5283327979996102,3.5018748639995465,3.5024502419983037,0.7228908538818359,0.234375,0.46875,0.5,0.3191489361702128,1.8750000000000003e-06,0.0,0.0,0.0,easy
test,0,1,7,32,0.5294105960056186,4.0319073680002475,4.032482876995346,0.737700343132019,0.203125,0.40625,0.5,0.28888888888888886,2.1875000000000002e-06,0.0,0.0,0.0,easy
test,0,1,8,32,0.5296325069939485,4.562134477004292,4.562709862992051,0.6814902424812317,0.8166666666666667,0.65625,0.5769230769230769,0.5210884353741496,2.5e-06,0.0,0.0,0.0,easy
test,0,1,9,32,0.5278935659880517,5.09061372600263,5.091189150989521,0.7164230942726135,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,2.8125e-06,0.0,0.0,0.0,easy
test,0,1,10,32,0.5299773570004618,5.621144404998631,5.621719774993835,0.706235408782959,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,3.125e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5295177420048276,6.151248170004692,6.151823634994798,0.6902332901954651,0.28125,0.5625,0.5,0.36,3.4375e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5287702469940996,6.680620466999244,6.681195870987722,0.6898784041404724,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,3.7500000000000005e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5275044129957678,7.208648993997485,7.209224334990722,0.7112135887145996,0.5919540229885057,0.53125,0.53125,0.43859649122807015,4.0625000000000005e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.529282987001352,7.738548234003247,7.739123636987642,0.7260748147964478,0.5714285714285714,0.4375,0.5333333333333333,0.4,4.3750000000000005e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5290964570012875,8.268217875011032,8.268793206996634,0.7314836382865906,0.7241379310344828,0.5,0.5789473684210527,0.4458874458874459,4.6875000000000004e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5301828649971867,8.799018522011465,8.7995939609973,0.7250651121139526,0.5402298850574713,0.4375,0.51417004048583,0.37662337662337664,5e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5317444249958498,9.331310488007148,9.331885880994378,0.7391566634178162,0.7,0.4375,0.55,0.37662337662337664,5.3125e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5312101110030198,9.863112462000572,9.863687805991503,0.7079207897186279,0.7258064516129032,0.46875,0.5277777777777778,0.36374269005847953,5.625e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.5300680759974057,10.393759237005725,10.394334710988915,0.6833707094192505,0.26785714285714285,0.46875,0.39473684210526316,0.3191489361702128,5.9375e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5322564039961435,10.926653162998264,10.927228586995625,0.7019382119178772,0.5222222222222221,0.46875,0.5119047619047619,0.4231177094379639,6.25e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5315862869902048,11.458672988010221,11.459248453000328,0.6687661409378052,0.6148148148148148,0.625,0.562753036437247,0.536231884057971,6.5625e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5310929069964914,11.990295984011027,11.990871406000224,0.6881219744682312,0.6592592592592592,0.5625,0.5843137254901961,0.5151515151515151,6.875e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.5321764489926863,12.523002134010312,12.523577574000228,0.6939349174499512,0.47916666666666663,0.46875,0.484313725490196,0.4420512820512821,7.1875e-06,0.0,0.0,0.0,easy
test,0,1,24,32,0.5313505490048556,13.054864607009222,13.055439944000682,0.6772007942199707,0.4777777777777778,0.53125,0.48809523809523814,0.43859649122807015,7.500000000000001e-06,0.0,0.0,0.0,easy
test,0,1,25,32,0.5316003460029606,13.587020974999177,13.58759631299472,0.7078389525413513,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,7.8125e-06,1.0,1.0,1.0,medium
test,0,1,26,32,0.5325539479963481,14.120048052005586,14.120623392998823,0.7138499021530151,0.4037037037037037,0.40625,0.4484126984126984,0.3552492046659597,8.125000000000001e-06,1.0,1.0,1.0,medium
test,0,1,27,32,0.5315808480081614,14.652203770005144,14.652779190000729,0.6654894948005676,0.5148148148148148,0.59375,0.5083333333333333,0.4793491864831039,8.4375e-06,1.0,1.0,1.0,medium
test,0,1,28,32,0.5317379659973085,15.184495538007468,15.185070995998103,0.6843235492706299,0.4770114942528736,0.59375,0.4916666666666667,0.4340136054421769,8.750000000000001e-06,1.0,1.0,1.0,medium
test,0,1,29,32,0.5320477159984875,15.71702179100248,15.717597221999313,0.6956568360328674,0.5,0.5,0.5,0.4181818181818182,9.0625e-06,1.0,1.0,1.0,medium
test,0,1,30,32,0.532270066003548,16.249820096010808,16.250395482988097,0.6895213723182678,0.5346320346320346,0.53125,0.53125,0.5195195195195195,9.375000000000001e-06,1.0,1.0,1.0,medium
test,0,1,31,32,0.5316082439967431,16.78195382699778,16.782529284988414,0.7029145956039429,0.4358974358974359,0.5,0.46031746031746035,0.4181818181818182,9.6875e-06,1.0,1.0,1.0,medium
test,0,1,32,32,0.5320577529928414,17.314550253009656,17.31512567200116,0.722642719745636,0.41666666666666663,0.375,0.43333333333333335,0.36507936507936506,1e-05,1.0,1.0,1.0,medium
test,0,1,33,32,0.532093021000037,17.847252285006107,17.847827619989403,0.7049137949943542,0.4285714285714286,0.375,0.4666666666666667,0.3333333333333333,1.0312500000000002e-05,1.0,1.0,1.0,medium
test,0,1,34,32,0.5313009300007252,18.379157557006693,18.37973297899589,0.6833876967430115,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,1.0625e-05,1.0,1.0,1.0,medium
test,0,1,35,32,0.5312677280016942,18.91094371100189,18.911519118992146,0.6792254447937012,0.4492753623188406,0.5,0.4574898785425101,0.4458874458874459,1.0937500000000002e-05,1.0,1.0,1.0,medium
test,0,1,36,32,0.5326723030011635,19.444241429009708,19.444816818999243,0.6964860558509827,0.44571428571428573,0.375,0.4588744588744589,0.36507936507936506,1.125e-05,1.0,1.0,1.0,medium
test,0,1,37,32,0.5313561700022547,19.976159734011162,19.976735126998392,0.6726113557815552,0.6159420289855072,0.59375,0.59375,0.5733333333333333,1.1562500000000002e-05,1.0,1.0,1.0,medium
test,0,1,38,32,0.5313186370040057,20.508048425006564,20.508623849993455,0.6998189687728882,0.5064102564102564,0.40625,0.5043290043290043,0.3913913913913914,1.1875e-05,1.0,1.0,1.0,medium
test,0,1,39,32,0.5327191399992444,21.041370001999894,21.041945338001824,0.6710864901542664,0.6681818181818182,0.65625,0.6450980392156862,0.6389743589743591,1.2187500000000001e-05,1.0,1.0,1.0,medium
test,0,1,40,32,0.5319698189996416,21.573906560006435,21.57448194999597,0.678984522819519,0.6666666666666667,0.625,0.6666666666666667,0.625,1.25e-05,1.0,1.0,1.0,medium
test,0,1,41,32,0.5314632079971489,22.106010894000065,22.106586299996707,0.7031323909759521,0.4722222222222222,0.46875,0.4725490196078431,0.4682306940371457,1.2812500000000001e-05,1.0,1.0,1.0,medium
test,0,1,42,32,0.5321073469967814,22.638660009004525,22.63923535399954,0.7122107744216919,0.5083333333333333,0.46875,0.5086580086580086,0.4682306940371457,1.3125e-05,1.0,1.0,1.0,medium
test,0,1,43,32,0.5317296559951501,23.17097904800903,23.17155444799573,0.7128123641014099,0.5045454545454545,0.46875,0.5040485829959513,0.464039408866995,1.3437500000000001e-05,1.0,1.0,1.0,medium
test,0,1,44,32,0.531262472999515,23.702798826008802,23.70337417499104,0.6755114793777466,0.6038961038961039,0.59375,0.59375,0.5835835835835836,1.375e-05,1.0,1.0,1.0,medium
test,0,1,45,32,0.5326771590043791,24.23598939400108,24.23656472899893,0.6740661263465881,0.6277056277056277,0.625,0.615686274509804,0.611336032388664,1.4062500000000001e-05,1.1875,1.0,2.0,medium|hard
test,0,1,46,32,0.5314515450008912,24.768069490004564,24.768644876996404,0.6867659091949463,0.6666666666666667,0.5625,0.6031746031746033,0.5333333333333333,1.4375e-05,2.0,2.0,2.0,hard
test,0,1,47,32,0.5317083630070556,25.300394007004797,25.300969459000044,0.6724363565444946,0.6731601731601732,0.65625,0.65625,0.6476476476476476,1.4687500000000001e-05,2.0,2.0,2.0,hard
test,0,1,48,32,0.532991519998177,25.833984741009772,25.834560131988837,0.6433126926422119,0.84375,0.84375,0.8562753036437247,0.8423645320197044,1.5000000000000002e-05,2.0,2.0,2.0,hard
test,0,1,49,32,0.5327275699964957,26.367213831006666,26.367789178999374,0.6741228103637695,0.5992063492063493,0.59375,0.5980392156862745,0.5933528836754643,1.5312500000000003e-05,2.0,2.0,2.0,hard
test,0,1,50,32,0.5315161870094016,26.899337327005924,26.899912737993873,0.6419664621353149,0.71875,0.71875,0.7196078431372549,0.718475073313783,1.5625e-05,2.0,2.0,2.0,hard
test,0,1,51,32,0.5326824079966173,27.432581319008023,27.433160253989627,0.6511251330375671,0.7685714285714286,0.71875,0.6865079365079365,0.681063122923588,1.59375e-05,2.0,2.0,2.0,hard
test,0,1,52,32,0.5323481809900841,27.965463794011157,27.96603919500194,0.6263885498046875,0.8,0.8125,0.8,0.8,1.6250000000000002e-05,2.0,2.0,2.0,hard
test,0,1,53,32,0.5328804099990521,28.498889752008836,28.49946531499154,0.6131012439727783,0.8863636363636364,0.84375,0.8333333333333333,0.8358974358974359,1.6562500000000003e-05,2.0,2.0,2.0,hard
test,0,1,54,32,0.5332314219995169,29.032748988000094,29.033324325995636,0.551640510559082,0.8825910931174089,0.875,0.8705882352941177,0.873015873015873,1.6875e-05,2.0,2.0,2.0,hard
