split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.646843446027085,0.2637775540937375,0.6212655343090125,0.6011787819253438,0.5921401515151514,0.5712408048856646,0.9139547497288083,0.9135559921414538,0.9129947433518861,0.9133469526727953,36.829257615987444,36.8292770650005
test,0,2,0.3235616347293254,0.22179231393079626,0.8848529684457769,0.8850687622789783,0.8850552721088435,0.8849404154687934,0.9255511859788197,0.925343811394892,0.9249458874458873,0.925191064079953,36.69413612798962,73.52441314599128
test,0,3,0.19063340487555108,0.23530283628840343,0.9448630560450091,0.9449901768172888,0.9449868583797155,0.9449212968151586,0.9361147327249022,0.9351669941060904,0.9344155844155844,0.9349702087132254,36.70385290701233,110.22922146799101
test,0,4,0.12343147477914519,0.2937663906566755,0.965682123149147,0.9656188605108055,0.965460729746444,0.9655630009578183,0.9290957134468585,0.9292730844793713,0.929321273964131,0.9291941018269498,36.704907331004506,146.93503586799488
test,0,5,0.07930238915548782,0.3915195796192278,0.9812494203839377,0.981335952848723,0.9813833487940631,0.9813125828480003,0.9300229585505089,0.9292730844793713,0.9285868893011751,0.9290735121075122,36.71242506700219,183.64834745299595
test,0,6,0.03710334516022435,0.5362278787174019,0.990100157655569,0.9901768172888016,0.9902365491651206,0.9901645172884211,0.9207219251336898,0.9155206286836935,0.9135667903525047,0.914884598183904,36.72037082401221,220.3696423569927
test,0,7,0.03907658903498645,0.4217672673271775,0.9930803804341525,0.9931237721021611,0.9931508967223253,0.9931146764835186,0.9339708984859767,0.9332023575638507,0.932521645021645,0.9330138725459838,36.728729976006434,257.0992767049902
test,0,8,0.032250438434664665,0.41461072920699016,0.994007534048102,0.9941060903732809,0.9942080241187383,0.9940991151571009,0.9389625645305882,0.9390962671905697,0.9390847247990106,0.9390200071882113,36.699316925994935,293.79948705100105
test,0,9,0.006971596652360117,0.4370626830925876,0.9985066983588659,0.9985265225933202,0.9985428262213976,0.9985245204268649,0.9389625645305882,0.9390962671905697,0.9390847247990106,0.9390200071882113,36.6913178130053,330.4916971519997
test,0,10,0.007036925533597498,0.4304020732114264,0.9980709831800557,0.9980353634577603,0.9979959029066172,0.9980324757465915,0.9389625645305882,0.9390962671905697,0.9390847247990106,0.9390200071882113,36.69309387799876,367.18565611699887
