split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7754119749879465,0.8346899570024107,0.8353085189883132,0.7194947600364685,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.0101010101010103e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5247377409832552,1.381065856985515,1.381684440013487,0.6782629489898682,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,2.0202020202020205e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5285439479921479,1.910237778996816,1.91085632800241,0.7385286092758179,0.6774193548387097,0.375,0.5238095238095238,0.3073593073593074,3.0303030303030305e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5277654420060571,2.438603713992052,2.4392222680035047,0.7168689966201782,0.7068965517241379,0.46875,0.575,0.4231177094379639,4.040404040404041e-07,0.0,0.0,0.0,easy
test,0,1,5,32,0.5275331939919852,2.9667151469911914,2.9673336959967855,0.7020528316497803,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,5.05050505050505e-07,0.0,0.0,0.0,easy
test,0,1,6,32,0.5275236580055207,3.4948016309936065,3.4954201900109183,0.7066457271575928,0.21875,0.4375,0.5,0.30434782608695654,6.060606060606061e-07,0.0,0.0,0.0,easy
test,0,1,7,32,0.5278178590233438,4.0231626339955255,4.02378118399065,0.7185356616973877,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,7.070707070707071e-07,0.0,0.0,0.0,easy
test,0,1,8,32,0.5281488129985519,4.551899720012443,4.552518317999784,0.6733749508857727,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,8.080808080808082e-07,0.0,0.0,0.0,easy
test,0,1,9,32,0.5268520829849876,5.079270257992903,5.0798888110148255,0.6911690831184387,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,9.090909090909091e-07,0.0,0.0,0.0,easy
test,0,1,10,32,0.5283773959963582,5.608167489001062,5.608786008990137,0.7146345973014832,0.6071428571428572,0.5,0.5476190476190477,0.4458874458874459,1.01010101010101e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5292147099971771,6.13789677398745,6.138515344006009,0.7181015610694885,0.21875,0.4375,0.5,0.30434782608695654,1.111111111111111e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5295179100066889,6.667942289990606,6.6685608080006205,0.7108545899391174,0.25,0.5,0.5,0.3333333333333333,1.2121212121212122e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5288961550104432,7.197427715989761,7.198046231002081,0.7331565618515015,0.3214285714285714,0.375,0.42063492063492064,0.3073593073593074,1.3131313131313134e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.5300793620117474,7.72795234399382,7.728570878010942,0.7246651649475098,0.4222222222222222,0.4375,0.45882352941176474,0.37662337662337664,1.4141414141414143e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5295294759853277,8.258022928988794,8.258641510008601,0.7153439521789551,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.5151515151515152e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5289625590085052,8.787550829991233,8.788169381004991,0.6822515726089478,0.6436781609195402,0.625,0.5506072874493927,0.5,1.6161616161616164e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5309515669941902,9.318986039987067,9.319604629010428,0.7343980669975281,0.7258064516129032,0.46875,0.5277777777777778,0.36374269005847953,1.7171717171717173e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5296492579800542,9.849142180988565,9.84976072300924,0.6905292272567749,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,1.8181818181818183e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.5286120249947999,10.378171249991283,10.378789768001297,0.7104723453521729,0.5892857142857143,0.46875,0.5404858299595142,0.4231177094379639,1.9191919191919192e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5306187320093159,10.90936772301211,10.90998632600531,0.7320662140846252,0.5535714285714286,0.40625,0.525974025974026,0.3764102564102564,2.02020202020202e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5294602890207898,11.439350194006693,11.439968699996825,0.7082465291023254,0.6071428571428572,0.5,0.5476190476190477,0.4458874458874459,2.1212121212121216e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5298832730040886,11.969770411989884,11.970388919988181,0.749108612537384,0.6774193548387097,0.375,0.5238095238095238,0.3073593073593074,2.222222222222222e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.5286246890027542,12.498937927011866,12.499556435999693,0.7570703029632568,0.3125,0.28125,0.3441558441558441,0.2748768472906404,2.3232323232323234e-06,0.0,0.0,0.0,easy
test,0,1,24,32,0.5304629729944281,13.02992146500037,13.030540064006345,0.7265155911445618,0.3218390804597701,0.3125,0.4329004329004329,0.26666666666666666,2.4242424242424244e-06,0.0,0.0,0.0,easy
test,0,1,25,32,0.5296447269793134,13.560094498010585,13.560713020007825,0.6803003549575806,0.7580645161290323,0.53125,0.53125,0.3992490613266583,2.5252525252525258e-06,0.0,0.0,0.0,easy
test,0,1,26,32,0.529563969001174,14.090212087990949,14.09083059898694,0.7410565614700317,0.3045977011494253,0.28125,0.42272727272727273,0.24512820512820513,2.6262626262626267e-06,0.0,0.0,0.0,easy
