split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7768655850086361,0.8384338599862531,0.839045039989287,0.6668034791946411,0.3333333333333333,0.625,0.45454545454545453,0.38461538461538464,7.490636704119851e-08,0.84375,0.0,2.0,easy|hard|medium
test,0,1,2,32,0.5252832600090187,1.3862921109830495,1.3869030289934017,0.6574618220329285,0.4770114942528736,0.59375,0.4916666666666667,0.4340136054421769,1.4981273408239702e-07,0.6875,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.5269446509773843,1.9137900259811431,1.914400935987942,0.6993129253387451,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,2.247191011235955e-07,1.125,0.0,2.0,hard|easy|medium
test,0,1,4,32,0.5264231500041205,2.4407982119882945,2.4414091449871194,0.7054129838943481,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.9962546816479403e-07,0.84375,0.0,2.0,hard|medium|easy
test,0,1,5,32,0.5284251840203069,2.9697703129786532,2.970381211984204,0.70744788646698,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,3.7453183520599253e-07,1.125,0.0,2.0,medium|hard|easy
test,0,1,6,32,0.5269915040116757,3.4972791479958687,3.4978900529968087,0.6855159997940063,0.265625,0.53125,0.5,0.3469387755102041,4.49438202247191e-07,0.9375,0.0,2.0,hard|medium|easy
test,0,1,7,32,0.5287192150135525,4.026552320981864,4.027163225982804,0.7396907806396484,0.6612903225806451,0.34375,0.5227272727272727,0.2873806998939554,5.243445692883896e-07,0.75,0.0,2.0,easy|medium|hard
test,0,1,8,32,0.5283838130126242,4.555443688004743,4.556054861983284,0.689142644405365,0.7258064516129032,0.46875,0.5277777777777778,0.36374269005847953,5.992509363295881e-07,1.0625,0.0,2.0,easy|hard|medium
test,0,1,9,32,0.5295332870155107,5.085546358983265,5.086157175974222,0.7157900333404541,0.25,0.5,0.5,0.3333333333333333,6.741573033707865e-07,1.0,0.0,2.0,easy|hard|medium
test,0,1,10,32,0.5291529219830409,5.615183408983285,5.615794276993256,0.7043945789337158,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,7.490636704119851e-07,1.09375,0.0,2.0,easy|hard|medium
test,0,1,11,32,0.5290419599914458,6.144782650982961,6.145393492974108,0.7162572145462036,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,8.239700374531835e-07,0.78125,0.0,2.0,medium|easy|hard
test,0,1,12,32,0.5303288740105927,6.675650755991228,6.676261551998323,0.712097704410553,0.21875,0.4375,0.5,0.30434782608695654,8.98876404494382e-07,1.125,0.0,2.0,medium|hard|easy
test,0,1,13,32,0.5293142639857251,7.205533528991509,7.206144413998118,0.6979444026947021,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,9.737827715355806e-07,1.0,0.0,2.0,medium|hard|easy
test,0,1,14,32,0.5292651159979869,7.7353327960008755,7.735943691979628,0.7087111473083496,0.5,0.5,0.5,0.4181818181818182,1.0486891385767792e-06,1.21875,0.0,2.0,medium|hard|easy
test,0,1,15,32,0.53018780000275,8.266088314994704,8.266699196974514,0.7047526836395264,0.5919540229885057,0.53125,0.53125,0.43859649122807015,1.1235955056179777e-06,0.875,0.0,2.0,medium|hard|easy
test,0,1,16,32,0.5292686089815106,8.795906842977274,8.796517707000021,0.7180330157279968,0.3735632183908046,0.40625,0.45634920634920634,0.3266888150609081,1.1985018726591761e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,17,32,0.5291330079780892,9.325548316992354,9.326159207994351,0.7380388379096985,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,1.2734082397003748e-06,1.1875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5291661660012323,9.855203504004749,9.855814316979377,0.6613101363182068,0.296875,0.59375,0.5,0.37254901960784315,1.348314606741573e-06,1.25,0.0,2.0,hard|easy|medium
test,0,1,19,32,0.5302799820201471,10.385957602993585,10.386568491987418,0.6955899000167847,0.6428571428571428,0.5625,0.5625,0.49090909090909085,1.4232209737827715e-06,0.875,0.0,2.0,easy|hard|medium
test,0,1,20,32,0.5289385179930832,10.915411869005766,10.916022757999599,0.6956100463867188,0.44252873563218387,0.53125,0.4801587301587301,0.3992490613266583,1.4981273408239701e-06,0.875,0.0,2.0,hard|easy|medium
test,0,1,21,32,0.5290624859917443,11.444982113986043,11.445592983975075,0.6707929372787476,0.6436781609195402,0.625,0.5506072874493927,0.5,1.5730337078651686e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,22,32,0.5300330250174738,11.975566399982199,11.976177283999277,0.6831108331680298,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,1.647940074906367e-06,0.90625,0.0,2.0,hard|easy|medium
test,0,1,23,32,0.5300835719972383,12.506131445989013,12.506742331985151,0.7085224390029907,0.5641025641025641,0.5,0.5396825396825397,0.4666666666666667,1.7228464419475657e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,24,32,0.5289605559955817,13.03564726098557,13.03625814197585,0.680185079574585,0.7666666666666666,0.5625,0.5625,0.45893719806763283,1.797752808988764e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,25,32,0.5308995750092436,13.567051897000056,13.567662768997252,0.7221859693527222,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,1.8726591760299627e-06,0.96875,0.0,2.0,hard|medium|easy
test,0,1,26,32,0.5299041850084905,14.097530248982366,14.09814107598504,0.6791782975196838,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,1.947565543071161e-06,0.78125,0.0,2.0,easy|medium|hard
test,0,1,27,32,0.5295666749880183,14.627605436980957,14.628216235985747,0.7593494653701782,0.41666666666666663,0.34375,0.4783549783549783,0.2873806998939554,2.02247191011236e-06,0.96875,0.0,2.0,medium|hard|easy
test,0,1,28,32,0.5309310419834219,15.15905709497747,15.159667962987442,0.7295441627502441,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,2.0973782771535585e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,29,32,0.5307360619772226,15.690345170005457,15.690956029982772,0.6910623908042908,0.7666666666666666,0.5625,0.5625,0.45893719806763283,2.1722846441947567e-06,1.0625,0.0,2.0,hard|medium|easy
test,0,1,30,32,0.5298901829810347,16.2207855549932,16.221396376000484,0.681582510471344,0.5821256038647343,0.59375,0.5674603174603174,0.5588547189819725,2.2471910112359554e-06,0.78125,0.0,2.0,medium|easy|hard
test,0,1,31,32,0.52974217699375,16.751079320005374,16.751690185978077,0.6927596926689148,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,2.322097378277154e-06,0.96875,0.0,2.0,medium|easy|hard
test,0,1,32,32,0.5309517740097363,17.282547332986724,17.283158226986416,0.6995868682861328,0.2833333333333333,0.53125,0.4473684210526316,0.3469387755102041,2.3970037453183523e-06,1.0625,0.0,2.0,medium|hard|easy
test,0,1,33,32,0.5302219569857698,17.813213699002517,17.81382448799559,0.7086930274963379,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.4719101123595505e-06,1.125,0.0,2.0,medium|easy|hard
test,0,1,34,32,0.5295790820091497,18.343275466992054,18.34388634498464,0.7063531875610352,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,2.5468164794007496e-06,1.0625,0.0,2.0,medium|easy|hard
test,0,1,35,32,0.5301922989892773,18.874056218977785,18.874667035997845,0.6967114806175232,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,2.6217228464419474e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,36,32,0.5306077190034557,19.405211145989597,19.405821950000245,0.714463472366333,0.5402298850574713,0.4375,0.51417004048583,0.37662337662337664,2.696629213483146e-06,0.90625,0.0,2.0,easy|medium|hard
