split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7723474260128569,0.8325719799904618,0.8332117729878519,0.7049214839935303,0.5892857142857143,0.46875,0.5404858299595142,0.4231177094379639,7.547169811320756e-08,1.0625,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.526960240007611,1.3810573359951377,1.3816972179920413,0.7521605491638184,0.6612903225806451,0.34375,0.5227272727272727,0.2873806998939554,1.5094339622641512e-07,1.21875,0.0,2.0,medium|hard|easy
test,0,1,3,32,0.5275386889989022,1.9092251920083072,1.909865057998104,0.6870690584182739,0.2903225806451613,0.5625,0.47368421052631576,0.36,2.2641509433962265e-07,1.21875,0.0,2.0,medium|hard|easy
test,0,1,4,32,0.52887943998212,2.438746525993338,2.439386354002636,0.7077107429504395,0.5919540229885057,0.53125,0.53125,0.43859649122807015,3.0188679245283024e-07,1.15625,0.0,2.0,hard|medium|easy
test,0,1,5,32,0.5289770119998138,2.968244607007364,2.9688844050106127,0.6812794804573059,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,3.773584905660378e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.5273631519812625,3.4961769270012155,3.4968167479964904,0.7090513110160828,0.7096774193548387,0.4375,0.5263157894736842,0.34545454545454546,4.528301886792453e-07,0.96875,0.0,2.0,medium|easy|hard
test,0,1,7,32,0.529503300000215,4.026204627996776,4.026844475010876,0.7129557132720947,0.4666666666666667,0.4375,0.4920634920634921,0.34545454545454546,5.283018867924528e-07,1.03125,0.0,2.0,easy|hard|medium
test,0,1,8,32,0.5285992260032799,4.555284074012889,4.555923867010279,0.6660891771316528,0.6436781609195402,0.625,0.5506072874493927,0.5,6.037735849056605e-07,1.0,0.0,2.0,medium|easy|hard
test,0,1,9,32,0.5283779980090912,5.0842361029936,5.084875889006071,0.6704694032669067,0.3064516129032258,0.59375,0.475,0.37254901960784315,6.79245283018868e-07,0.78125,0.0,2.0,easy|medium|hard
test,0,1,10,32,0.5275739679927938,5.612359438993735,5.61299920300371,0.7191637754440308,0.4252873563218391,0.5,0.4745098039215686,0.3816425120772947,7.547169811320755e-07,1.28125,0.0,2.0,medium|hard|easy
test,0,1,11,32,0.5290095749951433,6.141959225002211,6.142599004990188,0.7272958159446716,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,8.301886792452831e-07,1.46875,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.5283892689913046,6.670830390998162,6.671470146015054,0.7481437921524048,0.43333333333333335,0.375,0.48333333333333334,0.3073593073593074,9.056603773584906e-07,1.15625,0.0,2.0,hard|easy|medium
test,0,1,13,32,0.528058511990821,7.199423501995625,7.200063250988023,0.6971116065979004,0.5,0.5,0.5,0.4181818181818182,9.811320754716983e-07,1.15625,0.0,2.0,medium|hard|easy
test,0,1,14,32,0.5298909689881839,7.729874843993457,7.730514625000069,0.7214926481246948,0.7037037037037037,0.5,0.6190476190476191,0.4817813765182186,1.0566037735849057e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,15,32,0.5289028790139128,8.259299316006945,8.259939092007698,0.6928883790969849,0.55,0.59375,0.5121457489878543,0.4340136054421769,1.1320754716981133e-06,1.09375,0.0,2.0,easy|hard|medium
test,0,1,16,32,0.5288924220076296,8.78867929999251,8.78931905599893,0.7072673439979553,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.207547169811321e-06,1.0,0.0,2.0,medium|hard|easy
test,0,1,17,32,0.5297314320050646,9.318964995007263,9.319604768999852,0.7114230990409851,0.24193548387096775,0.46875,0.46875,0.3191489361702128,1.2830188679245284e-06,0.71875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5301826470240485,9.849690879986156,9.850330635992577,0.7234723567962646,0.25,0.5,0.5,0.3333333333333333,1.358490566037736e-06,1.1875,0.0,2.0,medium|easy|hard
test,0,1,19,32,0.5287117639963981,10.378954921994591,10.379594722006004,0.7088042497634888,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,1.4339622641509435e-06,1.0,0.0,2.0,hard|easy|medium
