split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7718833969993284,0.8316388009989168,0.8322493879968533,0.7170537114143372,0.5919540229885057,0.53125,0.53125,0.43859649122807015,2.8571428571428573e-06,1.03125,0.0,2.0,easy|medium|hard
test,0,1,2,32,0.5203417439988698,1.3738097769964952,1.374420388994622,0.6868426203727722,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,5.7142857142857145e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.5212696839953423,1.8956183589980355,1.8962288779948722,0.7769809365272522,0.6774193548387097,0.375,0.5238095238095238,0.3073593073593074,8.571428571428571e-06,1.0625,0.0,2.0,easy|medium|hard
test,0,1,4,32,0.521273468999425,2.417382302999613,2.417992909999157,0.7388794422149658,0.7,0.4375,0.55,0.37662337662337664,1.1428571428571429e-05,1.1875,0.0,2.0,easy|medium|hard
test,0,1,5,32,0.5203977519995533,2.938282559000072,2.9388930659988546,0.7139719724655151,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,1.4285714285714287e-05,1.0625,0.0,2.0,medium|easy|hard
test,0,1,6,32,0.5217469449999044,3.460548392002238,3.4611589319974883,0.7084407806396484,0.1935483870967742,0.375,0.46153846153846156,0.2727272727272727,1.7142857142857142e-05,0.90625,0.0,2.0,medium|easy|hard
test,0,1,7,30,0.5048235979993478,3.9658593770000152,3.966469879000215,0.7177221179008484,0.45999999999999996,0.36666666666666664,0.47500000000000003,0.34857142857142853,2e-05,1.0666667222976685,0.0,2.0,hard|easy|medium
test,0,2,1,32,0.5212408639999921,0.6025683999978355,4.993927523995808,0.6898815035820007,0.4545454545454546,0.4375,0.46031746031746035,0.4285714285714286,1.9682539682539684e-05,1.25,0.0,2.0,hard|easy|medium
test,0,2,2,32,0.5179079459994682,1.1212871129973792,5.51264620800066,0.6914547085762024,0.5144927536231884,0.59375,0.5136363636363637,0.5134502923976608,1.9365079365079367e-05,1.0,0.0,2.0,easy|hard|medium
test,0,2,3,32,0.51899367000442,1.6408960219996516,6.032255082995107,0.7024027109146118,0.5992063492063493,0.59375,0.5980392156862745,0.5933528836754643,1.904761904761905e-05,1.0625,0.0,2.0,hard|medium|easy
test,0,2,4,32,0.5177606209981604,2.1590910960003384,6.5504501670002355,0.6741857528686523,0.5769230769230769,0.625,0.55,0.536231884057971,1.8730158730158732e-05,0.78125,0.0,2.0,easy|medium|hard
test,0,2,5,32,0.5187112580024404,2.67833511599747,7.069694189995062,0.648369550704956,0.6166666666666667,0.71875,0.533816425120773,0.5060034305317325,1.8412698412698415e-05,1.1875,0.0,2.0,medium|easy|hard
test,0,2,6,32,0.5189129819991649,3.1977268350019585,7.589085914994939,0.6366697549819946,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,1.8095238095238097e-05,0.78125,0.0,2.0,medium|easy|hard
test,0,2,7,30,0.501875301997643,3.700077212000906,8.091436285998498,0.6610946655273438,0.3333333333333333,0.6666666666666666,0.5,0.4,1.7777777777777777e-05,1.2666667699813843,0.0,2.0,hard|easy|medium
test,0,3,1,32,0.5197266880059033,0.6009728120043292,9.13658175499586,0.690308690071106,0.296875,0.59375,0.5,0.37254901960784315,1.7460317460317463e-05,0.9375,0.0,2.0,easy|medium|hard
test,0,3,2,32,0.5186551049991976,1.1204038040013984,9.656012751998787,0.6999506950378418,0.25,0.5,0.5,0.3333333333333333,1.7142857142857142e-05,1.0625,0.0,2.0,hard|easy|medium
test,0,3,3,32,0.5189832799951546,1.6399465890062856,10.175555649999296,0.6758305430412292,0.3125,0.625,0.5,0.38461538461538464,1.6825396825396828e-05,1.09375,0.0,2.0,easy|hard|medium
test,0,3,4,32,0.5183746819966473,2.1587827690018457,10.694391853001434,0.6713546514511108,0.3125,0.625,0.5,0.38461538461538464,1.6507936507936507e-05,1.09375,0.0,2.0,hard|medium|easy
test,0,3,5,32,0.5181109869954525,2.677423079003347,11.213032114996167,0.7289149761199951,0.25,0.5,0.5,0.3333333333333333,1.6190476190476193e-05,1.125,0.0,2.0,easy|medium|hard
test,0,3,6,32,0.5181119039989426,3.196008532002452,11.731617566998466,0.6221960783004761,0.34375,0.6875,0.5,0.4074074074074074,1.5873015873015872e-05,1.25,0.0,2.0,medium|easy|hard
test,0,3,7,30,0.501364231997286,3.697834672006138,12.233443675999297,0.7499364018440247,0.23333333333333334,0.4666666666666667,0.5,0.3181818181818182,1.555555555555556e-05,0.7333333492279053,0.0,2.0,medium|easy|hard
test,0,4,1,32,0.5207170420035254,0.6008198190029361,13.278310704998148,0.7641410827636719,0.1875,0.375,0.5,0.2727272727272727,1.523809523809524e-05,1.0625,0.0,2.0,easy|medium|hard
test,0,4,2,32,0.5182465659963782,1.1198283870035084,13.797319180994236,0.6182006597518921,0.34375,0.6875,0.5,0.4074074074074074,1.4920634920634922e-05,1.09375,0.0,2.0,hard|medium|easy
test,0,4,3,32,0.519517120999808,1.6398835410000174,14.317374398000538,0.7112349271774292,0.234375,0.46875,0.5,0.3191489361702128,1.4603174603174603e-05,0.96875,0.0,2.0,medium|hard|easy
test,0,4,4,32,0.5188054460013518,2.1591886390015134,14.83667949699884,0.6139405965805054,0.328125,0.65625,0.5,0.39622641509433965,1.4285714285714287e-05,0.96875,0.0,2.0,easy|medium|hard
