split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.3661749301217496,0.18548815323412418,0.8247629891034465,0.801,0.8009999999999999,0.7972919503321987,0.949932385022006,0.9495,0.9495,0.9494878644594364,141.71304839700315,141.71306829999958
test,0,2,0.1431411142256111,0.13683020297437906,0.9567792338709677,0.95675,0.95675,0.9567493079889278,0.9557848655409631,0.9555,0.9555,0.9554930457884044,142.95164569700137,284.66777061500034
test,0,3,0.09320170664670877,0.49145351627655326,0.9775042975386778,0.9775,0.9775,0.9774999493748862,0.913900397677166,0.898,0.898,0.8970108926126519,143.44791406200238,428.11857707900344
test,0,4,0.05522485947189853,0.18740127637470141,0.9865175146305267,0.9865,0.9865,0.9864998784989065,0.963001852007408,0.963,0.963,0.962999962999963,143.3583389589985,571.4797741439979
test,0,5,0.02933832416444784,0.23083130428311416,0.9935060454490567,0.9935,0.9935,0.993499980093689,0.9610663935606727,0.961,0.961,0.9609985959494542,143.43249974100036,714.9151479760039
test,0,6,0.014572648992703762,0.22720736569003203,0.996250124062531,0.99625,0.9962500000000001,0.996249999765625,0.9675042075378678,0.9675,0.9675,0.9674999268748354,143.44221981500596,858.3600501510009
test,0,7,0.006913691624853527,0.2671514229188033,0.999,0.999,0.999,0.999,0.9645116127903197,0.9645,0.9644999999999999,0.9644997781236133,143.52510265100136,1001.8884150380036
test,0,8,0.00893408522498794,0.25307143416203326,0.9985001246250311,0.9985,0.9984999999999999,0.99849999990625,0.9682697233606558,0.968,0.968,0.9679953913363524,143.48698079500173,1145.3780325480038
test,0,9,0.006646945626693196,0.26502392432565103,0.999,0.999,0.999,0.999,0.967046704670467,0.967,0.967,0.9669991749793745,143.4043068059982,1288.784955422001
test,0,10,0.002179929315607296,0.3044193756949535,0.9996250312265644,0.999625,0.999625,0.9996249999941407,0.9648388675344326,0.9645,0.9644999999999999,0.9644935289456504,143.4554088559962,1432.2429886840036
test,0,11,0.0019419512337772176,0.330502702250189,0.9995,0.9995,0.9995,0.9995,0.9632668417008197,0.963,0.963,0.9629946712326575,143.4990698440015,1575.744666823004
test,0,12,0.00076670752868813,0.33100335337816067,0.9998750312421895,0.999875,0.9998750000000001,0.999874999998047,0.9636673839255971,0.9635,0.9635,0.9634967055776784,143.48851410699717,1719.2358953369985
test,0,13,0.0004691006316425046,0.3189107119883411,0.9998750312421895,0.999875,0.9998750000000001,0.999874999998047,0.9635115877896947,0.9635,0.9635,0.9634997718735743,143.51997133300029,1862.758531159001
test,0,14,0.0016378690965866553,0.34971251264589226,0.9997501249375312,0.99975,0.99975,0.9997499999843751,0.9632668417008197,0.963,0.963,0.9629946712326575,143.5156050509977,2006.276862437
test,0,15,0.002585402338881977,0.32075695118569275,0.9996252810392205,0.999625,0.999625,0.9996249999472656,0.9646045360206046,0.9645,0.9644999999999999,0.9644980030126695,143.50309015299717,2149.7825600709984
