split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7852938600044581,0.8424687260048813,0.8430825750037911,0.7049214839935303,0.5892857142857143,0.46875,0.5404858299595142,0.4231177094379639,7.547169811320756e-08,1.0625,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5209894459985662,1.3853045210053097,1.3859183780004969,0.7521605491638184,0.6612903225806451,0.34375,0.5227272727272727,0.2873806998939554,1.5094339622641512e-07,1.21875,0.0,2.0,medium|hard|easy
test,0,1,3,32,0.5226538810020429,1.9085655640010373,1.9091794260020833,0.6870690584182739,0.2903225806451613,0.5625,0.47368421052631576,0.36,2.2641509433962265e-07,1.21875,0.0,2.0,medium|hard|easy
test,0,1,4,32,0.5222201390060945,2.431276480005181,2.4318903340026736,0.7077107429504395,0.5919540229885057,0.53125,0.53125,0.43859649122807015,3.0188679245283024e-07,1.15625,0.0,2.0,hard|medium|easy
test,0,1,5,32,0.5221166359988274,2.9539865470069344,2.954600417004258,0.6812794804573059,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,3.773584905660378e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.524668316997122,3.479297370002314,3.4799112280015834,0.7090513110160828,0.7096774193548387,0.4375,0.5263157894736842,0.34545454545454546,4.528301886792453e-07,0.96875,0.0,2.0,medium|easy|hard
test,0,1,7,32,0.5237118229997577,4.003623793003499,4.004237704000843,0.7129557132720947,0.4666666666666667,0.4375,0.4920634920634921,0.34545454545454546,5.283018867924528e-07,1.03125,0.0,2.0,easy|hard|medium
test,0,1,8,32,0.523696957003267,4.527932082004554,4.528546269000799,0.6660891771316528,0.6436781609195402,0.625,0.5506072874493927,0.5,6.037735849056605e-07,1.0,0.0,2.0,medium|easy|hard
test,0,1,9,32,0.5232011339976452,5.051707760001591,5.052321594004752,0.6704694032669067,0.3064516129032258,0.59375,0.475,0.37254901960784315,6.79245283018868e-07,0.78125,0.0,2.0,easy|medium|hard
test,0,1,10,32,0.5244732799983467,5.576705462000973,5.577319276999333,0.719163715839386,0.4252873563218391,0.5,0.4745098039215686,0.3816425120772947,7.547169811320755e-07,1.28125,0.0,2.0,medium|hard|easy
test,0,1,11,32,0.5246625539948582,6.101913835002051,6.1025276639993535,0.7272958159446716,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,8.301886792452831e-07,1.46875,0.0,2.0,hard|easy|medium
test,0,1,12,32,0.5237059510036488,6.62615684800403,6.626770672002749,0.7481437921524048,0.43333333333333335,0.375,0.48333333333333334,0.3073593073593074,9.056603773584906e-07,1.15625,0.0,2.0,hard|easy|medium
test,0,1,13,32,0.5235616639984073,7.1503451020034845,7.150958928003092,0.6971116662025452,0.5,0.5,0.5,0.4181818181818182,9.811320754716983e-07,1.15625,0.0,2.0,medium|hard|easy
test,0,1,14,32,0.5248429589992156,7.675791044006473,7.676404850004474,0.7214926481246948,0.7037037037037037,0.5,0.6190476190476191,0.4817813765182186,1.0566037735849057e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,15,32,0.5245977730010054,8.200994009006536,8.201607841998339,0.6928883790969849,0.55,0.59375,0.5121457489878543,0.4340136054421769,1.1320754716981133e-06,1.09375,0.0,2.0,easy|hard|medium
test,0,1,16,32,0.5235472540007322,8.725148517005437,8.725762343005044,0.7072673439979553,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.207547169811321e-06,1.0,0.0,2.0,medium|hard|easy
test,0,1,17,32,0.5239354809964425,9.249678400999983,9.250292210002954,0.7114230990409851,0.24193548387096775,0.46875,0.46875,0.3191489361702128,1.2830188679245284e-06,0.71875,0.0,2.0,easy|medium|hard
test,0,1,18,32,0.5250121900025988,9.775316864004708,9.775930672003597,0.7234723567962646,0.25,0.5,0.5,0.3333333333333333,1.358490566037736e-06,1.1875,0.0,2.0,medium|easy|hard
test,0,1,19,32,0.5250257980005699,10.300913942002808,10.301527766998333,0.7088042497634888,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,1.4339622641509435e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,20,32,0.5244129469938343,10.82590421900386,10.82651802500186,0.6892638802528381,0.6436781609195402,0.625,0.5506072874493927,0.5,1.509433962264151e-06,0.90625,0.0,2.0,easy|hard|medium
test,0,1,21,32,0.5242964190038037,11.35074956400058,11.351363371002662,0.6836201548576355,0.6858974358974359,0.59375,0.6137254901960785,0.5588547189819725,1.5849056603773585e-06,0.84375,0.0,2.0,easy|hard|medium
test,0,1,22,32,0.5248471160011832,11.876161920001323,11.876775741002348,0.685505747795105,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,1.6603773584905662e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,23,32,0.52463466199697,12.401245844004734,12.401859671997954,0.7035000324249268,0.34074074074074073,0.4375,0.4156862745098039,0.34545454545454546,1.7358490566037736e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,24,32,0.5243125909983064,12.92601030300284,12.926624117004394,0.7026495933532715,0.44074074074074077,0.46875,0.46875,0.39756367663344405,1.8113207547169812e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,25,32,0.5240707060002023,13.450619927003572,13.451233732004766,0.7378597259521484,0.6935483870967742,0.40625,0.525,0.3266888150609081,1.8867924528301889e-06,0.90625,0.0,2.0,medium|easy|hard
test,0,1,26,32,0.5251119829990785,13.976226682003471,13.976840493000054,0.6688154935836792,0.49425287356321834,0.625,0.49783549783549785,0.4514285714285714,1.9622641509433965e-06,1.21875,0.0,2.0,medium|hard|easy
test,0,1,27,32,0.5246758470020723,14.501492954004789,14.502106778003508,0.672385573387146,0.5666666666666667,0.625,0.5166666666666666,0.4514285714285714,2.037735849056604e-06,0.75,0.0,2.0,easy|hard|medium
test,0,1,28,32,0.5245071440003812,15.026541172999714,15.027155000003404,0.6901803016662598,0.7666666666666666,0.5625,0.5625,0.45893719806763283,2.1132075471698114e-06,1.0,0.0,2.0,easy|medium|hard
test,0,1,29,32,0.524367550999159,15.551462922005157,15.552076746003877,0.757291316986084,0.3833333333333333,0.28125,0.466183574879227,0.24512820512820513,2.188679245283019e-06,0.90625,0.0,2.0,hard|medium|easy
test,0,1,30,32,0.5255538359997445,16.077567148000526,16.078180944998167,0.6814242005348206,0.5603864734299517,0.5625,0.5490196078431372,0.5333333333333333,2.2641509433962266e-06,0.6875,0.0,2.0,easy|medium|hard
test,0,1,31,32,0.5245825410020188,16.602696410001954,16.60331024000334,0.6600598692893982,0.5703703703703704,0.6875,0.5458937198067633,0.5428571428571429,2.3396226415094343e-06,1.15625,0.0,2.0,medium|easy|hard
test,0,1,32,32,0.5247280510011478,17.127940857004432,17.1285546729996,0.6863323450088501,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,2.415094339622642e-06,0.8125,0.0,2.0,easy|medium|hard
test,0,1,33,32,0.5244193000035011,17.652930475000176,17.653544296998007,0.6986137628555298,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,2.490566037735849e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,34,32,0.5257045520047541,18.17916074400273,18.179774629999883,0.7156504392623901,0.6833333333333333,0.40625,0.5476190476190477,0.3552492046659597,2.5660377358490568e-06,1.0,0.0,2.0,medium|easy|hard
test,0,1,35,32,0.524955854001746,18.704709774006915,18.70532359000208,0.7199386358261108,0.4642857142857143,0.4375,0.4841269841269841,0.37662337662337664,2.6415094339622644e-06,1.40625,0.0,2.0,hard|medium|easy
test,0,1,36,32,0.5248148039972875,19.23007163600414,19.23068546900322,0.6751501560211182,0.6264367816091954,0.59375,0.5436507936507936,0.4793491864831039,2.716981132075472e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,37,32,0.5248053179966519,19.75549896600569,19.756112795999798,0.7198162078857422,0.5229885057471264,0.40625,0.5083333333333333,0.3552492046659597,2.7924528301886793e-06,0.78125,0.0,2.0,medium|hard|easy
test,0,1,38,32,0.5259874719995423,20.282052194001153,20.2826660110004,0.6955546736717224,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,2.867924528301887e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,39,32,0.5252343499960261,20.807888496005035,20.808502288004092,0.6841856241226196,0.6407407407407407,0.53125,0.5753968253968254,0.4909862142099682,2.9433962264150946e-06,0.96875,0.0,2.0,medium|hard|easy
test,0,1,40,32,0.5246912160000647,21.33312032899994,21.333734129999357,0.7238561511039734,0.3908045977011494,0.4375,0.4627450980392157,0.34545454545454546,3.018867924528302e-06,0.75,0.0,2.0,hard|easy|medium
test,0,1,41,32,0.5237071110022953,21.85742631800531,21.858040135004558,0.6883735656738281,0.5962962962962963,0.59375,0.5515873015873015,0.5134502923976608,3.0943396226415094e-06,1.1875,0.0,2.0,hard|easy|medium
test,0,1,42,32,0.5250119210031698,22.382932564003568,22.38354636100121,0.7098889350891113,0.3592592592592593,0.46875,0.4246031746031746,0.36374269005847953,3.169811320754717e-06,1.09375,0.0,2.0,medium|hard|easy
test,0,1,43,32,0.525794813001994,22.909268608003913,22.909882416999608,0.7053988575935364,0.4807692307692308,0.46875,0.4882352941176471,0.4231177094379639,3.2452830188679247e-06,0.9375,0.0,2.0,easy|medium|hard
test,0,1,44,32,0.5257458249980118,23.435511369003507,23.43612518300506,0.6843106746673584,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,3.3207547169811323e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,45,32,0.5247966079987236,23.960889107002004,23.961502930003917,0.7139906883239746,0.39428571428571424,0.375,0.4251012145748988,0.3522267206477733,3.3962264150943395e-06,0.78125,0.0,2.0,hard|easy|medium
test,0,1,46,32,0.5254409190019942,24.486812063005345,24.48742587400193,0.6987676620483398,0.4777777777777778,0.53125,0.48809523809523814,0.43859649122807015,3.471698113207547e-06,1.125,0.0,2.0,easy|medium|hard
test,0,1,47,32,0.5253527050008415,25.01272512700234,25.013338941003894,0.7071768045425415,0.6222222222222222,0.5,0.5668016194331984,0.4666666666666667,3.547169811320755e-06,0.75,0.0,2.0,easy|hard|medium
test,0,1,48,32,0.5244831300005899,25.537786616005178,25.538400404999265,0.6882015466690063,0.5,0.5,0.5,0.4181818181818182,3.6226415094339625e-06,1.28125,0.0,2.0,medium|hard|easy
test,0,1,49,32,0.5258829439990222,26.064232344004267,26.064846179004235,0.6709644794464111,0.5384615384615384,0.5625,0.5238095238095238,0.49090909090909085,3.6981132075471697e-06,1.09375,0.0,2.0,hard|easy|medium
test,0,1,50,32,0.5275387040019268,26.592351659004635,26.59296549099963,0.7098819017410278,0.37445887445887444,0.40625,0.38492063492063494,0.3764102564102564,3.7735849056603777e-06,1.03125,0.0,2.0,hard|easy|medium
test,0,1,51,32,0.5269062700026552,27.11982460800209,27.120438420002756,0.7029231786727905,0.22413793103448276,0.40625,0.40625,0.28888888888888886,3.849056603773585e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,52,32,0.5266627569944831,27.64703310600453,27.647646930003248,0.7448358535766602,0.3542857142857143,0.3125,0.38961038961038963,0.30158730158730157,3.924528301886793e-06,1.21875,0.0,2.0,medium|hard|easy
test,0,1,53,32,0.5283269599967753,28.175926665004226,28.176540487998864,0.7061866521835327,0.3392857142857143,0.40625,0.4294117647058824,0.3266888150609081,4.000000000000001e-06,0.96875,0.0,2.0,medium|easy|hard
test,0,1,54,32,0.5280777419975493,28.70457263800199,28.705186457998934,0.7151874899864197,0.5256410256410257,0.4375,0.5166666666666667,0.41700404858299595,4.075471698113208e-06,0.96875,0.0,2.0,easy|medium|hard
test,0,1,55,32,0.527674802004185,29.23282912400464,29.233442951001052,0.6849629878997803,0.49275362318840576,0.5625,0.4935064935064935,0.49090909090909085,4.150943396226416e-06,1.15625,0.0,2.0,hard|medium|easy
test,0,1,56,32,0.526267146000464,29.75961241400364,29.76022623800236,0.6943153142929077,0.45925925925925926,0.5,0.4784313725490196,0.4181818181818182,4.226415094339623e-06,1.03125,0.0,2.0,easy|hard|medium
test,0,1,57,32,0.5317012660016189,30.29183199700492,30.292445993,0.6633027195930481,0.5916666666666667,0.59375,0.5862745098039216,0.5835835835835836,4.30188679245283e-06,1.03125,0.0,2.0,hard|easy|medium
test,0,1,58,32,0.5268348259996856,30.819477306002227,30.820091105000756,0.6626203060150146,0.7628205128205128,0.71875,0.6659919028340081,0.6631578947368422,4.377358490566038e-06,0.9375,0.0,2.0,medium|easy|hard
test,0,1,59,32,0.5267521089990623,31.34679119000066,31.347405102002085,0.6905912160873413,0.5346320346320346,0.53125,0.53125,0.5195195195195195,4.452830188679246e-06,1.15625,0.0,2.0,hard|easy|medium
test,0,1,60,32,0.5281260029951227,31.875479088004795,31.876092901999073,0.7023037672042847,0.38285714285714284,0.4375,0.4196078431372549,0.37662337662337664,4.528301886792453e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,1,61,32,0.5276239939994412,32.40365788100462,32.40427168900351,0.6908612251281738,0.5681818181818181,0.59375,0.5607287449392713,0.5588547189819725,4.603773584905661e-06,1.28125,0.0,2.0,medium|hard|easy
test,0,1,62,32,0.5275441689955187,32.93174574200384,32.93235955500131,0.690970778465271,0.5192307692307692,0.53125,0.5117647058823529,0.4684385382059801,4.6792452830188686e-06,1.0625,0.0,2.0,hard|easy|medium
