split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.5358685870364018,0.268046589480909,0.7074832978149794,0.6983045476152749,0.7036638489417149,0.6977306119754798,0.895922917662048,0.894169835234474,0.8968812487905566,0.8941544902786375,113.07512960900203,113.07514797199838
test,0,2,0.2514134560177621,0.2253710011017942,0.9031123551982077,0.9036602757090794,0.9037046278233958,0.9033681411589594,0.9158411539798401,0.9138149556400507,0.9167209572340838,0.9138060942362284,113.07786381000187,226.15539389300102
test,0,3,0.1447698549227147,0.29043843776090317,0.9550158431952842,0.9553161147203296,0.9553221733278894,0.9551611596358678,0.9177037305324158,0.9182509505703422,0.9184480423143908,0.9180130647773393,113.0260959590014,339.1838315369969
test,0,4,0.09460224164913628,0.4700282074048341,0.9741982322150533,0.9743305339882744,0.9742718524903345,0.9742346466636909,0.9123757148008861,0.9100126742712294,0.9130619880023221,0.9100074700595195,112.94710725600453,452.13322215600056
test,0,5,0.08971962255204469,0.4845985200407567,0.9787043855524306,0.9787672318174616,0.9786666465040552,0.9786854166162582,0.9156400548097481,0.9157160963244614,0.9172466619363995,0.9156279661006728,112.88686038299784,565.0223965859986
test,0,6,0.04016594206598042,0.5449424453840458,0.9899159183650432,0.990017429884329,0.9900479870152782,0.9899807213690104,0.9171113539925421,0.917617237008872,0.9184835193188415,0.9174639704521497,112.8560097160007,677.8807097870013
test,0,7,0.0165495555808454,0.5842580629515028,0.9959950639624503,0.9960386626525115,0.9960529671803091,0.9960237879672805,0.9209775855846567,0.9214195183776933,0.9213523189060182,0.9211515058711648,112.86016561100405,790.7430563439993
test,0,8,0.018801261200582297,0.6242761334630983,0.9961265003555861,0.996197116146411,0.9962414371909449,0.9961830583675755,0.9106261396196926,0.908745247148289,0.9067325678900857,0.9080212622303969,112.84904312000435,903.594231613999
test,0,9,0.01116127093320583,0.6370106122879363,0.9976238940372781,0.9976231975915069,0.9976043289126808,0.9976140861390389,0.9117171423729635,0.9119138149556401,0.9113752176998,0.9115369180975812,112.88495584399789,1016.4812941380005
test,0,10,0.010254640888826131,0.6238663008898976,0.9979420221474832,0.9979401045793059,0.9979224445150137,0.9979322079871671,0.9140921645166127,0.9144486692015209,0.9141569373669612,0.9141241799107098,112.89165911600139,1129.3750631540024
