split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.34343651900440453,0.20900602730363607,0.8348167192475455,0.819875,0.819875,0.8178427368781156,0.9422928461142563,0.94,0.94,0.9399221390922636,143.15031032799743,143.15032977199735
test,0,2,0.1285975990667939,0.1220948957875371,0.9616333382521722,0.961625,0.961625,0.9616248267121081,0.9557848655409631,0.9555,0.9555,0.9554930457884044,143.02831726799923,286.18168251699535
test,0,3,0.07637491635791957,0.2935464845597744,0.9797597151342314,0.97975,0.97975,0.9797498974838561,0.9391219180521604,0.934,0.9339999999999999,0.933806981157054,142.97089918299753,429.1554793749965
test,0,4,0.03958830318774562,0.205829020437086,0.99050784812557,0.9905,0.9905,0.990499961999848,0.967001868007472,0.967,0.967,0.9669999669999669,142.99308108599507,572.1514274270012
test,0,5,0.019418058221403044,0.22949471526872367,0.995751983007932,0.99575,0.99575,0.9957499957499958,0.9636043109699682,0.9635,0.9635,0.9634979467595053,143.00188262900338,715.1559921119988
test,0,6,0.010430327887675958,0.2649952435764717,0.9971250310703144,0.997125,0.997125,0.9971249999550782,0.964578513768827,0.9645,0.9644999999999999,0.9644985000616276,143.01149469899974,858.1701618429943
test,0,7,0.007041013955691597,0.26025319007536746,0.9986257791027799,0.998625,0.998625,0.9986249994628904,0.9666049861218774,0.9665,0.9664999999999999,0.966498115518998,143.02784860599786,1001.2006719809942
test,0,8,0.00510412569019536,0.26126811014057605,0.999,0.999,0.999,0.999,0.9665228596201214,0.9665,0.9664999999999999,0.9664995896199728,143.03526755200437,1144.238672390995
test,0,9,0.0035297840160346825,0.26639083956513787,0.9995001248750313,0.9995,0.9995,0.9994999999687499,0.9655228106177203,0.9655,0.9655,0.9654995773698227,143.0863780389991,1287.3276858009995
test,0,10,0.002023606341026607,0.2702738000107347,0.9995001248750313,0.9995,0.9995,0.9994999999687499,0.9655228106177203,0.9655,0.9655,0.9654995773698227,143.09583381399716,1430.4262478349992
