split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7748276380007155,0.8362791549880058,0.8368818559974898,0.6850377321243286,0.55,0.59375,0.5121457489878543,0.4340136054421769,1.0256410256410257e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5250934890063945,1.3828080949897412,1.3834107860020595,0.7049534320831299,0.21666666666666667,0.40625,0.43333333333333335,0.28888888888888886,2.0512820512820514e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5280388670071261,1.9113835479947738,1.9119863459927728,0.6882673501968384,0.2903225806451613,0.5625,0.47368421052631576,0.36,3.0769230769230774e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5269436129892711,2.438947836999432,2.4395505229913397,0.6528042554855347,0.3387096774193548,0.65625,0.4772727272727273,0.39622641509433965,4.102564102564103e-07,0.0,0.0,0.0,easy
test,0,1,5,32,0.525911199991242,2.9655065330007346,2.966109240995138,0.6538049578666687,0.3125,0.625,0.5,0.38461538461538464,5.128205128205128e-07,0.0,0.0,0.0,easy
test,0,1,6,32,0.528074039000785,3.4941467919998104,3.4947495289961807,0.7102130055427551,0.28125,0.5625,0.5,0.36,6.153846153846155e-07,0.0,0.0,0.0,easy
test,0,1,7,32,0.5266316019988153,4.021368652989622,4.021971371999825,0.656678318977356,0.34375,0.6875,0.5,0.4074074074074074,7.179487179487179e-07,0.0,0.0,0.0,easy
test,0,1,8,32,0.5290893350029364,4.551032117000432,4.551634837000165,0.6949801445007324,0.3125,0.625,0.5,0.38461538461538464,8.205128205128206e-07,0.0,0.0,0.0,easy
test,0,1,9,32,0.5284214819985209,5.080038954998599,5.080641669992474,0.7161151170730591,0.21875,0.4375,0.5,0.30434782608695654,9.230769230769232e-07,0.0,0.0,0.0,easy
test,0,1,10,32,0.5293733319995226,5.609937663990422,5.610540333989775,0.6764195561408997,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,1.0256410256410257e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5284242679917952,6.138796241997625,6.139398915998754,0.6686092615127563,0.3125,0.625,0.5,0.38461538461538464,1.1282051282051283e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5290464649879141,6.668326260987669,6.668928936996963,0.7108712196350098,0.21875,0.4375,0.5,0.30434782608695654,1.230769230769231e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5297103750053793,7.198554417002015,7.199157074996037,0.6781991720199585,0.31666666666666665,0.59375,0.4523809523809524,0.37254901960784315,1.3333333333333334e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.5296483589918353,7.728759446996264,7.729362122991006,0.6929115653038025,0.29310344827586204,0.53125,0.425,0.3469387755102041,1.4358974358974359e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5276713429921074,8.256968507994316,8.257571180991363,0.6665914058685303,0.3387096774193548,0.65625,0.4772727272727273,0.39622641509433965,1.5384615384615387e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5301103480014717,8.787548954991507,8.788151628992637,0.6793619990348816,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,1.6410256410256412e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5294722559920046,9.317587778001325,9.318190445992514,0.7599861025810242,0.203125,0.40625,0.5,0.28888888888888886,1.7435897435897436e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5295946230035042,9.84768094199535,9.848283596002148,0.6831088662147522,0.25,0.5,0.5,0.3333333333333333,1.8461538461538465e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.5287242399936076,10.376923997988342,10.37752666999586,0.6809211373329163,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,1.948717948717949e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5303332230105298,10.90782718299306,10.908429862989578,0.6878026723861694,0.2903225806451613,0.5625,0.47368421052631576,0.36,2.0512820512820513e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5284624069900019,11.436852239989094,11.437454897997668,0.6591709852218628,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,2.153846153846154e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5292656329984311,11.966769049991854,11.967371713995817,0.7074248194694519,0.234375,0.46875,0.5,0.3191489361702128,2.2564102564102566e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.5299825300025987,12.497316132998094,12.497918809996918,0.6620093584060669,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,2.358974358974359e-06,0.0,0.0,0.0,easy
test,0,1,24,32,0.5303490810038056,13.028200514992932,13.028803196997615,0.6803301572799683,0.25,0.5,0.5,0.3333333333333333,2.461538461538462e-06,0.0,0.0,0.0,easy
test,0,1,25,32,0.5282655249902746,13.557011607990717,13.557614281002316,0.6586165428161621,0.3225806451612903,0.625,0.47619047619047616,0.38461538461538464,2.564102564102564e-06,0.0,0.0,0.0,easy
test,0,1,26,32,0.5307394020055654,14.088300231989706,14.088902885996504,0.7139251232147217,0.234375,0.46875,0.5,0.3191489361702128,2.666666666666667e-06,0.0,0.0,0.0,easy
test,0,1,27,32,0.5301731370127527,14.619026478001615,14.619629138993332,0.6923748254776001,0.28125,0.5625,0.5,0.36,2.7692307692307697e-06,0.0,0.0,0.0,easy
test,0,1,28,32,0.5296104160079267,15.149236897996161,15.149839556994266,0.6853302717208862,0.296875,0.59375,0.5,0.37254901960784315,2.8717948717948717e-06,0.0,0.0,0.0,easy
test,0,1,29,32,0.5306671449943678,15.68047941099212,15.681082413997501,0.6714599132537842,0.3225806451612903,0.625,0.47619047619047616,0.38461538461538464,2.9743589743589746e-06,0.0,0.0,0.0,easy
test,0,1,30,32,0.530830372008495,16.211872562998906,16.212475223990623,0.6608946323394775,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,3.0769230769230774e-06,0.0,0.0,0.0,easy
test,0,1,31,32,0.5305306710069999,16.742982265990577,16.743584946001647,0.6611352562904358,0.3333333333333333,0.625,0.45454545454545453,0.38461538461538464,3.1794871794871795e-06,0.0,0.0,0.0,easy
test,0,1,32,32,0.5300262880045921,17.27360841599875,17.274211051000748,0.6839313507080078,0.265625,0.53125,0.5,0.3469387755102041,3.2820512820512823e-06,0.0,0.0,0.0,easy
test,0,1,33,32,0.5309397090022685,17.805109402994276,17.805712090994348,0.7136452198028564,0.21875,0.4375,0.5,0.30434782608695654,3.384615384615385e-06,0.0,0.0,0.0,easy
test,0,1,34,32,0.529895491010393,18.335546015994623,18.336148717993638,0.7068847417831421,0.7580645161290323,0.53125,0.53125,0.3992490613266583,3.487179487179487e-06,0.0,0.0,0.0,easy
test,0,1,35,32,0.5294627480034251,18.86556128099619,18.866163939994294,0.7013347744941711,0.234375,0.46875,0.5,0.3191489361702128,3.58974358974359e-06,0.0,0.0,0.0,easy
test,0,1,36,32,0.5304819440061692,19.39655292298994,19.39715560300101,0.6765735745429993,0.7580645161290323,0.53125,0.53125,0.3992490613266583,3.692307692307693e-06,0.0,0.0,0.0,easy
test,0,1,37,32,0.5303995840076823,19.927544521997334,19.928147209997405,0.6554104685783386,0.3125,0.625,0.5,0.38461538461538464,3.794871794871795e-06,0.0,0.0,0.0,easy
test,0,1,38,32,0.5294842879957287,20.457609748991672,20.458212418001494,0.7179173231124878,0.203125,0.40625,0.5,0.28888888888888886,3.897435897435898e-06,0.0,0.0,0.0,easy
test,0,1,39,32,0.5306086729979143,20.988810669994564,20.989413338000304,0.65758216381073,0.359375,0.71875,0.5,0.41818181818181815,4.000000000000001e-06,0.0,0.0,0.0,easy
test,0,1,40,32,0.5306045100005576,21.519999388998258,21.520602078002412,0.7223762273788452,0.203125,0.40625,0.5,0.28888888888888886,4.102564102564103e-06,0.0,0.0,0.0,easy
test,0,1,41,32,0.5303411740023876,22.050933370992425,22.051536037994083,0.6632229089736938,0.296875,0.59375,0.5,0.37254901960784315,4.2051282051282055e-06,0.0,0.0,0.0,easy
test,0,1,42,32,0.5310454749997007,22.582555707995198,22.5831583889958,0.7176293134689331,0.5,0.5,0.5,0.3816425120772947,4.307692307692308e-06,0.0,0.0,0.0,easy
test,0,1,43,32,0.5308368410042021,23.114059050989454,23.114661893996526,0.6777981519699097,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,4.4102564102564104e-06,0.0,0.0,0.0,easy
test,0,1,44,32,0.5302957690000767,23.644901592997485,23.645504267988144,0.7139739990234375,0.24193548387096775,0.46875,0.46875,0.3191489361702128,4.512820512820513e-06,0.0,0.0,0.0,easy
test,0,1,45,32,0.5306696879997617,24.176112763001584,24.176715433990466,0.6562167406082153,0.3387096774193548,0.65625,0.4772727272727273,0.39622641509433965,4.615384615384616e-06,0.0,0.0,0.0,easy
test,0,1,46,32,0.5309656629979145,24.707600108988117,24.708202773996163,0.6999084949493408,0.5402298850574713,0.4375,0.51417004048583,0.37662337662337664,4.717948717948718e-06,0.0,0.0,0.0,easy
test,0,1,47,32,0.5301704930025153,25.238346771991928,25.238949445993057,0.6521358489990234,0.8225806451612903,0.65625,0.5416666666666666,0.46907993966817496,4.820512820512821e-06,0.0,0.0,0.0,easy
test,0,1,48,32,0.5301718799892114,25.769076765995123,25.769679410994286,0.6772226095199585,0.296875,0.59375,0.5,0.37254901960784315,4.923076923076924e-06,0.0,0.0,0.0,easy
test,0,1,49,32,0.5307629000017187,26.30038290999073,26.300985573994694,0.6945797204971313,0.7580645161290323,0.53125,0.53125,0.3992490613266583,5.025641025641026e-06,0.0,0.0,0.0,easy
test,0,1,50,32,0.5311466150014894,26.832190652989084,26.832793328998378,0.6635799407958984,0.8,0.625,0.5714285714285714,0.5,5.128205128205128e-06,0.0,0.0,0.0,easy
test,0,1,51,32,0.5300043790048221,27.36273287399672,27.363335533998907,0.6392790079116821,0.8333333333333333,0.6875,0.5833333333333334,0.5428571428571429,5.230769230769232e-06,0.0,0.0,0.0,easy
test,0,1,52,32,0.5309981359896483,27.8942347879929,27.894837460989947,0.6741098165512085,0.7586206896551724,0.5625,0.5882352941176471,0.49090909090909085,5.333333333333334e-06,0.0,0.0,0.0,easy
test,0,1,53,32,0.5313521460047923,28.426021972991293,28.426624653991894,0.6636225581169128,0.296875,0.59375,0.5,0.37254901960784315,5.435897435897436e-06,0.0,0.0,0.0,easy
test,0,1,54,32,0.5301605999993626,28.956769105992862,28.957371774988133,0.6147276759147644,0.8833333333333333,0.78125,0.6111111111111112,0.6157804459691252,5.538461538461539e-06,0.0,0.0,0.0,easy
test,0,1,55,32,0.5317731269897195,29.488987398988684,29.489590091994614,0.6760612726211548,0.7586206896551724,0.5625,0.5882352941176471,0.49090909090909085,5.641025641025641e-06,0.0,0.0,0.0,easy
test,0,1,56,32,0.5310120500071207,30.020532864989946,30.021135531002074,0.6124345064163208,0.8225806451612903,0.65625,0.5416666666666666,0.46907993966817496,5.743589743589743e-06,0.0,0.0,0.0,easy
test,0,1,57,32,0.5298657300008927,30.550994342993363,30.551597013996798,0.6277865171432495,0.7142857142857143,0.6875,0.6,0.5833333333333333,5.846153846153847e-06,0.0,0.0,0.0,easy
test,0,1,58,32,0.5319868869992206,31.08356696998817,31.08416963199852,0.6077286601066589,0.8548387096774194,0.71875,0.55,0.5060034305317325,5.948717948717949e-06,0.0,0.0,0.0,easy
test,0,1,59,32,0.5310333280067425,31.615105253993534,31.615707909993944,0.624987006187439,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,6.051282051282051e-06,0.0,0.0,0.0,easy
test,0,1,60,32,0.5310782770102378,32.14677467799629,32.14737736299867,0.5293928384780884,0.9166666666666667,0.84375,0.6428571428571428,0.6767676767676767,6.153846153846155e-06,0.0,0.0,0.0,easy
test,0,1,61,32,0.5313384750043042,32.67868407200149,32.679286770988256,0.6591783761978149,0.75,0.53125,0.5588235294117647,0.43859649122807015,6.256410256410257e-06,0.0,0.0,0.0,easy
test,0,1,62,32,0.5315841010014992,33.210834496989264,33.21143716199731,0.6059172749519348,0.7833333333333333,0.59375,0.5666666666666667,0.4793491864831039,6.358974358974359e-06,0.0,0.0,0.0,easy
test,0,1,63,32,0.5306402419955702,33.74204465300136,33.74264732199663,0.6101975440979004,0.7333333333333334,0.5,0.5555555555555556,0.4181818181818182,6.461538461538463e-06,0.0,0.0,0.0,easy
test,0,1,64,32,0.5307822250033496,34.2733072659903,34.273909932991955,0.633499026298523,0.5892857142857143,0.46875,0.5404858299595142,0.4231177094379639,6.564102564102565e-06,0.0,0.0,0.0,easy
test,0,1,65,32,0.5326787859958131,34.80655991799722,34.807162619996234,0.5578097105026245,0.8,0.625,0.5714285714285714,0.5,6.666666666666667e-06,0.0,0.0,0.0,easy
test,0,1,66,32,0.5319054409919772,35.339035950994,35.33963863599638,0.48951244354248047,0.8269230769230769,0.71875,0.7,0.681063122923588,6.76923076923077e-06,0.0,0.0,0.0,easy
test,0,1,67,32,0.5319330750062363,35.87153672099521,35.87213944699033,0.547391414642334,0.8064516129032258,0.625,0.5384615384615384,0.4514285714285714,6.871794871794872e-06,0.5625,0.0,1.0,easy|medium
test,0,1,68,32,0.533353952007019,36.405454801992164,36.40605749799579,0.4697382152080536,0.8703703703703703,0.78125,0.7083333333333334,0.7196495619524406,6.974358974358974e-06,1.0,1.0,1.0,medium
test,0,1,69,32,0.5334121639898513,36.9394248949975,36.94002758599527,0.4799691140651703,0.85,0.8125,0.8333333333333333,0.8117647058823529,7.076923076923078e-06,1.0,1.0,1.0,medium
test,0,1,70,32,0.5318278110062238,37.47177516699594,37.47237783999299,0.45547789335250854,0.8947368421052632,0.875,0.8823529411764706,0.8745098039215686,7.17948717948718e-06,1.0,1.0,1.0,medium
test,0,1,71,32,0.5332624080037931,38.005647396988934,38.00625004999165,0.43206876516342163,0.7771428571428571,0.8125,0.7342995169082125,0.75,7.282051282051282e-06,1.0,1.0,1.0,medium
test,0,1,72,32,0.5326816809974844,38.538849612989,38.53945229300007,0.43074554204940796,0.8792270531400965,0.875,0.8398268398268398,0.8545454545454545,7.384615384615386e-06,1.0,1.0,1.0,medium
test,0,1,73,32,0.5317001389921643,39.071161271989695,39.07176394898852,0.3555940091609955,0.9583333333333333,0.9375,0.9,0.9227053140096618,7.487179487179488e-06,1.0,1.0,1.0,medium
test,0,1,74,32,0.5332747299980838,39.604948049993254,39.60555071099952,0.46172261238098145,0.9089068825910931,0.90625,0.9007936507936507,0.9039039039039038,7.58974358974359e-06,1.0,1.0,1.0,medium
test,0,1,75,32,0.5333940279961098,40.13893014199857,40.139532811997924,0.35282835364341736,0.9365079365079365,0.9375,0.9365079365079365,0.9365079365079365,7.692307692307694e-06,1.0,1.0,1.0,medium
test,0,1,76,32,0.531908120989101,40.671449602989014,40.67205229999672,0.42576146125793457,0.84375,0.84375,0.8450980392156863,0.8435972629521017,7.794871794871796e-06,1.0,1.0,1.0,medium
test,0,1,77,32,0.5341063439991558,41.206116367000504,41.20671902499453,0.44422265887260437,0.8818181818181818,0.875,0.85,0.8614718614718615,7.897435897435898e-06,1.0,1.0,1.0,medium
test,0,1,78,32,0.5326353599957656,41.73933352599852,41.73993619700195,0.3599897623062134,0.8666666666666667,0.875,0.8666666666666667,0.8666666666666667,8.000000000000001e-06,1.0,1.0,1.0,medium
test,0,1,79,32,0.5320105419959873,42.27190226899984,42.27250494300097,0.23611193895339966,0.8916666666666666,0.90625,0.9069264069264069,0.8981972428419936,8.102564102564103e-06,1.0,1.0,1.0,medium
test,0,1,80,32,0.5336039960093331,42.806097886990756,42.80670056199597,0.24165078997612,0.9007936507936507,0.90625,0.9089068825910931,0.9039039039039038,8.205128205128205e-06,1.0,1.0,1.0,medium
test,0,1,81,32,0.5330090970091987,43.339595992001705,43.34019866399467,0.1981210708618164,0.9083333333333333,0.90625,0.8967611336032388,0.9015384615384616,8.307692307692309e-06,1.0,1.0,1.0,medium
test,0,1,82,32,0.5338600129907718,43.87404760399659,43.874650270998245,0.33755794167518616,0.8372549019607842,0.84375,0.8583333333333334,0.8398398398398399,8.410256410256411e-06,1.0,1.0,1.0,medium
test,0,1,83,32,0.5338056620093994,44.40843825699994,44.409040945000015,0.12577125430107117,1.0,1.0,1.0,1.0,8.512820512820513e-06,1.0,1.0,1.0,medium
test,0,1,84,32,0.5330496719980147,44.94206325399864,44.94266592299391,0.10635508596897125,0.9642857142857143,0.96875,0.9736842105263157,0.967967967967968,8.615384615384617e-06,1.0,1.0,1.0,medium
test,0,1,85,32,0.5340684760012664,45.47668640498887,45.47728910499427,0.22711561620235443,0.9333333333333333,0.9375,0.9333333333333333,0.9333333333333333,8.717948717948719e-06,1.0,1.0,1.0,medium
test,0,1,86,32,0.5333967759943334,46.010689160000766,46.01129182399018,0.4089588522911072,0.8490196078431372,0.84375,0.8531746031746033,0.8435972629521017,8.820512820512821e-06,1.0,1.0,1.0,medium
test,0,1,87,32,0.5329459350032266,46.544204161997186,46.54480683499423,0.14769402146339417,0.9372549019607843,0.9375,0.9372549019607843,0.9372549019607843,8.923076923076925e-06,1.0,1.0,1.0,medium
test,0,1,88,32,0.5341677809919929,47.07896130399604,47.07956397499947,0.08732613921165466,1.0,1.0,1.0,1.0,9.025641025641027e-06,1.0,1.0,1.0,medium
test,0,1,89,32,0.5329179779946571,47.612504471995635,47.61310715100262,0.27700936794281006,0.8916666666666666,0.90625,0.9069264069264069,0.8981972428419936,9.128205128205129e-06,1.0,1.0,1.0,medium
test,0,1,90,32,0.532503212991287,48.14553093499853,48.146133610993274,0.4291977286338806,0.7971428571428572,0.84375,0.7708333333333333,0.782312925170068,9.230769230769232e-06,1.0,1.0,1.0,medium
test,0,1,91,32,0.5341923919913825,48.68021237599896,48.68081505400187,0.2577097415924072,0.8825910931174089,0.875,0.8705882352941177,0.873015873015873,9.333333333333334e-06,1.0,1.0,1.0,medium
test,0,1,92,32,0.5331071190012153,49.2138367969892,49.214439467992634,0.551856517791748,0.7651821862348178,0.75,0.7568627450980392,0.7490196078431373,9.435897435897436e-06,1.0,1.0,1.0,medium
test,0,1,93,32,0.5324841170076979,49.7468294549908,49.74743213799957,0.23455841839313507,0.9347826086956521,0.90625,0.875,0.893687707641196,9.53846153846154e-06,1.0,1.0,1.0,medium
test,0,1,94,32,0.5345767260005232,50.28185845298867,50.282461153998156,0.12413778901100159,0.9722222222222222,0.96875,0.9666666666666667,0.9684729064039409,9.641025641025642e-06,1.0,1.0,1.0,medium
test,0,1,95,32,0.5336294859880581,50.81607511200127,50.81667797800037,0.12190628796815872,0.9411764705882353,0.9375,0.9411764705882353,0.9375,9.743589743589744e-06,1.0,1.0,1.0,medium
test,0,1,96,32,0.532280578991049,51.34891286199854,51.34951552998973,0.12798351049423218,0.9791666666666667,0.96875,0.9444444444444444,0.9599499374217773,9.846153846153848e-06,1.0,1.0,1.0,medium
test,0,1,97,32,0.5376204839994898,51.887039747001836,51.88764247400104,0.3186863958835602,0.903921568627451,0.90625,0.9087301587301587,0.9054187192118226,9.94871794871795e-06,1.0,1.0,1.0,medium
test,0,1,98,32,0.5340631440049037,52.42192013299791,52.4225227930001,0.3131040930747986,0.8809523809523809,0.875,0.875,0.8745098039215686,1.0051282051282052e-05,1.0,1.0,1.0,medium
test,0,1,99,32,0.5323899259965401,52.95487778900133,52.95548047000193,0.2699939012527466,0.9230769230769231,0.9375,0.9523809523809523,0.9333333333333333,1.0153846153846154e-05,1.0,1.0,1.0,medium
test,0,1,100,32,0.5334907219948946,53.48887897099485,53.48948165799084,0.3824877142906189,0.8666666666666667,0.875,0.9047619047619048,0.8704453441295547,1.0256410256410256e-05,1.0,1.0,1.0,medium
test,0,1,101,32,0.5329876839969074,54.02243305699085,54.02303572499659,0.5049058198928833,0.7579365079365079,0.78125,0.8140096618357487,0.7624602332979851,1.0358974358974361e-05,1.0,1.0,1.0,medium
test,0,1,102,32,0.5323481369996443,54.55533011199441,54.55593279199093,0.21144014596939087,0.9083333333333333,0.90625,0.8967611336032388,0.9015384615384616,1.0461538461538463e-05,1.0,1.0,1.0,medium
test,0,1,103,32,0.5336459129903233,55.08949511699029,55.090097786000115,0.20154981315135956,0.9227053140096618,0.9375,0.9227053140096618,0.9227053140096618,1.0564102564102565e-05,1.0,1.0,1.0,medium
test,0,1,104,32,0.5334944159985753,55.62352370900044,55.6241263809934,0.13979578018188477,0.9642857142857143,0.96875,0.9736842105263157,0.967967967967968,1.0666666666666667e-05,1.0,1.0,1.0,medium
test,0,1,105,32,0.5330112060037209,56.1571232869901,56.15772598100011,0.15114426612854004,0.9761904761904762,0.96875,0.9583333333333333,0.9660657476139979,1.076923076923077e-05,1.0,1.0,1.0,medium
test,0,1,106,32,0.5336174499971094,56.69129048199102,56.69189317099517,0.3524564206600189,0.8541666666666667,0.84375,0.7943722943722944,0.8128654970760234,1.0871794871794871e-05,1.0,1.0,1.0,medium
test,0,1,107,32,0.5334476169955451,57.22518093899998,57.225783602989395,0.2500300109386444,0.9375,0.90625,0.8636363636363636,0.887719298245614,1.0974358974358977e-05,1.0,1.0,1.0,medium
test,0,1,108,32,0.5328291909972904,57.758604635993834,57.759207298993715,0.33427995443344116,0.9318181818181819,0.90625,0.8846153846153846,0.8981972428419936,1.1076923076923079e-05,1.0,1.0,1.0,medium
test,0,1,109,32,0.5336785310064442,58.29289053399407,58.293493229997694,0.22814485430717468,0.9047619047619048,0.875,0.8666666666666667,0.8704453441295547,1.117948717948718e-05,1.0,1.0,1.0,medium
test,0,1,110,32,0.5326812749990495,58.826118094992125,58.826720762997866,0.41352522373199463,0.8571428571428572,0.8125,0.8235294117647058,0.8095238095238095,1.1282051282051283e-05,1.0,1.0,1.0,medium
test,0,1,111,32,0.5327249289985048,59.35934435400122,59.35994702098833,0.08556145429611206,0.9642857142857143,0.96875,0.9736842105263157,0.967967967967968,1.1384615384615385e-05,1.0,1.0,1.0,medium
test,0,1,112,32,0.532877246994758,59.89278975999332,59.89339242699498,0.15659797191619873,0.9722222222222222,0.96875,0.9666666666666667,0.9684729064039409,1.1487179487179487e-05,1.0,1.0,1.0,medium
