split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7814723909978056,0.8492350839951541,0.8497863399970811,0.721900224685669,0.6935483870967742,0.40625,0.525,0.3266888150609081,8e-08,1.09375,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5255063660006272,1.3963359689951176,1.3968872759869555,0.7151930928230286,0.24193548387096775,0.46875,0.46875,0.3191489361702128,1.6e-07,0.875,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.5305299080064287,1.9274286769941682,1.9279801239899825,0.7296033501625061,0.24193548387096775,0.46875,0.46875,0.3191489361702128,2.4000000000000003e-07,1.0625,0.0,2.0,hard|easy|medium
test,0,1,4,32,0.5299235860002227,2.458049521999783,2.458600796991959,0.6940381526947021,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,3.2e-07,1.125,0.0,2.0,medium|hard|easy
test,0,1,5,32,0.5291215170000214,2.98776640399592,2.988317688999814,0.7047032117843628,0.28125,0.5625,0.5,0.36,4.0000000000000003e-07,1.21875,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.5280073000030825,3.5164361619972624,3.5169874419952976,0.7069146037101746,0.25,0.5,0.5,0.3333333333333333,4.800000000000001e-07,0.78125,0.0,2.0,medium|hard|easy
test,0,1,7,32,0.5303389629989397,4.04735550499754,4.047906788997352,0.7147036790847778,0.25,0.46875,0.4411764705882353,0.3191489361702128,5.6e-07,0.78125,0.0,2.0,hard|medium|easy
test,0,1,8,32,0.5297688070131699,4.577716168001643,4.578267437987961,0.7006048560142517,0.265625,0.53125,0.5,0.3469387755102041,6.4e-07,0.90625,0.0,2.0,hard|easy|medium
test,0,1,9,32,0.5296164140017936,5.107905803000904,5.10845705299289,0.692196249961853,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,7.2e-07,0.9375,0.0,2.0,hard|easy|medium
test,0,1,10,32,0.5297073670080863,5.638155933993403,5.638707268997678,0.7180109024047852,0.25806451612903225,0.5,0.47058823529411764,0.3333333333333333,8.000000000000001e-07,1.0,0.0,2.0,medium|easy|hard
