split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.8641350069956388,0.9138196900021285,0.9144441009993898,0.6932077407836914,0.48214285714285715,0.46875,0.49215686274509807,0.39756367663344405,4.000000000000001e-06,0.0,0.0,0.0,easy
test,0,1,2,32,0.5182230560021708,1.4588259880110854,1.459450416994514,0.6914423704147339,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,8.000000000000001e-06,0.28125,0.0,1.0,easy|medium
test,0,1,3,32,0.5199606200039852,1.979240311004105,1.9798647409916157,0.6972619295120239,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,1.2e-05,1.0,1.0,1.0,medium
test,0,1,4,32,0.5204641629970865,2.500240165012656,2.500864620000357,0.7002415657043457,0.4423076923076923,0.40625,0.46356275303643724,0.3764102564102564,1.6000000000000003e-05,1.90625,1.0,2.0,medium|hard
test,0,1,5,28,0.4647878999967361,2.9655061820085393,2.966130618995521,0.6952208876609802,0.5701754385964912,0.5357142857142857,0.5625,0.5303225806451612,2e-05,2.0,2.0,2.0,hard
test,0,2,1,32,0.5199178159964504,0.5835028540022904,3.870880207992741,0.7071451544761658,0.46875,0.46875,0.46862745098039216,0.4682306940371457,1.9555555555555557e-05,0.0,0.0,0.0,easy
test,0,2,2,32,0.5170831580035156,1.1012641440029256,4.388641532001202,0.6749840378761292,0.696969696969697,0.6875,0.6784313725490196,0.6761133603238867,1.9111111111111113e-05,0.28125,0.0,1.0,easy|medium
test,0,2,3,32,0.5184675179916667,1.6202528910071123,4.907630165995215,0.6913428902626038,0.25,0.46875,0.4411764705882353,0.3191489361702128,1.866666666666667e-05,1.0,1.0,1.0,medium
test,0,2,4,32,0.5188294580002548,2.1395904189994326,5.426967666004202,0.6746794581413269,0.6436781609195402,0.625,0.5506072874493927,0.5,1.8222222222222224e-05,1.90625,1.0,2.0,medium|hard
test,0,2,5,28,0.46534669199900236,2.6054074639978353,5.892784808995202,0.6671706438064575,0.2857142857142857,0.5714285714285714,0.5,0.36363636363636365,1.7777777777777777e-05,2.0,2.0,2.0,hard
