split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7723481469874969,0.8287876969989156,0.829419047004194,0.6954469680786133,0.4252873563218391,0.5,0.4745098039215686,0.3816425120772947,3.125e-07,0.0,0.0,0.0,easy
test,0,1,2,32,0.5246187769953394,1.3750642429949949,1.375695527996868,0.6738203763961792,0.6954022988505747,0.71875,0.5772727272727273,0.5656108597285068,6.25e-07,0.0,0.0,0.0,easy
test,0,1,3,32,0.5284414969937643,1.9040306620008778,1.9046620290027931,0.7000765800476074,0.3214285714285714,0.375,0.42063492063492064,0.3073593073593074,9.375000000000001e-07,0.0,0.0,0.0,easy
test,0,1,4,32,0.5281544480094453,2.4327512629970443,2.4333825619978597,0.7060432434082031,0.5535714285714286,0.40625,0.525974025974026,0.3764102564102564,1.25e-06,0.0,0.0,0.0,easy
test,0,1,5,32,0.5273371410003165,2.9606480869988445,2.96127944199543,0.702420175075531,0.5666666666666667,0.40625,0.5409090909090909,0.3913913913913914,1.5625e-06,0.0,0.0,0.0,easy
test,0,1,6,32,0.52762784899096,3.48887229799584,3.489503610995598,0.6851856708526611,0.4777777777777778,0.53125,0.48809523809523814,0.43859649122807015,1.8750000000000003e-06,0.0,0.0,0.0,easy
test,0,1,7,32,0.5295902929938165,4.01905768099823,4.019689117005328,0.7026798725128174,0.16666666666666666,0.3125,0.4166666666666667,0.23809523809523808,2.1875000000000002e-06,0.0,0.0,0.0,easy
test,0,1,8,32,0.5293900490069063,4.548992775002262,4.549624213992502,0.6867450475692749,0.25,0.5,0.5,0.3333333333333333,2.5e-06,0.0,0.0,0.0,easy
test,0,1,9,32,0.527776419010479,5.0776579920056975,5.078289337994647,0.6884152293205261,0.5962962962962963,0.59375,0.5515873015873015,0.5134502923976608,2.8125e-06,0.0,0.0,0.0,easy
test,0,1,10,32,0.5290262680064188,5.607252518006135,5.6078838349931175,0.6855005025863647,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,3.125e-06,0.0,0.0,0.0,easy
test,0,1,11,32,0.5289975100022275,6.136846820998471,6.137478167991503,0.6906224489212036,0.3222222222222222,0.40625,0.40625,0.3266888150609081,3.4375e-06,0.0,0.0,0.0,easy
test,0,1,12,32,0.5279439100122545,6.66533429500123,6.665965626001707,0.7033541202545166,0.608974358974359,0.46875,0.5735930735930735,0.45545545545545546,3.7500000000000005e-06,0.0,0.0,0.0,easy
test,0,1,13,32,0.5282527689996641,7.194128774004639,7.194760105994646,0.6839287281036377,0.47435897435897434,0.5625,0.48333333333333334,0.45893719806763283,4.0625000000000005e-06,0.0,0.0,0.0,easy
test,0,1,14,32,0.5287619750015438,7.723395117995096,7.724026386000332,0.6835402250289917,0.42948717948717946,0.59375,0.4468599033816425,0.4340136054421769,4.3750000000000005e-06,0.0,0.0,0.0,easy
test,0,1,15,32,0.5285528120002709,8.252537228996516,8.253168572002323,0.6821835041046143,0.3225806451612903,0.625,0.47619047619047616,0.38461538461538464,4.6875000000000004e-06,0.0,0.0,0.0,easy
test,0,1,16,32,0.5278340469958493,8.780906063999282,8.781537478993414,0.6983428597450256,0.6407407407407407,0.53125,0.5753968253968254,0.4909862142099682,5e-06,0.0,0.0,0.0,easy
test,0,1,17,32,0.5290676049917238,9.310537047000253,9.31116830999963,0.6869585514068604,0.5,0.5,0.5,0.3816425120772947,5.3125e-06,0.0,0.0,0.0,easy
test,0,1,18,32,0.5286938579956768,9.839788262994261,9.840419585001655,0.6898415088653564,0.5919540229885057,0.53125,0.53125,0.43859649122807015,5.625e-06,0.0,0.0,0.0,easy
test,0,1,19,32,0.5284093850059435,10.368773519992828,10.369404867000412,0.6816284656524658,0.75,0.5625,0.6111111111111112,0.5151515151515151,5.9375e-06,0.0,0.0,0.0,easy
test,0,1,20,32,0.5279741239937721,10.897254944997258,10.897886257997015,0.6623228192329407,0.3225806451612903,0.625,0.47619047619047616,0.38461538461538464,6.25e-06,0.0,0.0,0.0,easy
test,0,1,21,32,0.5292042249930091,11.427054870000575,11.42768618799164,0.659347414970398,0.717948717948718,0.75,0.6545454545454545,0.6666666666666667,6.5625e-06,0.0,0.0,0.0,easy
test,0,1,22,32,0.5289590949978447,11.9564956969989,11.957127077999758,0.6822554469108582,0.28125,0.5625,0.5,0.36,6.875e-06,0.0,0.0,0.0,easy
test,0,1,23,32,0.5281356580089778,12.485249509001733,12.485880776992417,0.6712170839309692,0.3064516129032258,0.59375,0.475,0.37254901960784315,7.1875e-06,0.84375,0.0,1.0,easy|medium
test,0,1,24,32,0.5301644959981786,13.016015347995562,13.016647016993375,0.6735885739326477,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,7.500000000000001e-06,1.0,1.0,1.0,medium
test,0,1,25,32,0.529049536009552,13.54559659199731,13.546227858998463,0.6608825325965881,0.8103448275862069,0.65625,0.6071428571428571,0.5594493116395495,7.8125e-06,1.0,1.0,1.0,medium
test,0,1,26,32,0.5290166810009396,14.075221690000035,14.075853004993405,0.6708825826644897,0.265625,0.53125,0.5,0.3469387755102041,8.125000000000001e-06,1.0,1.0,1.0,medium
test,0,1,27,32,0.530914914997993,14.6065882230032,14.607219558005454,0.7029696106910706,0.171875,0.34375,0.5,0.2558139534883721,8.4375e-06,1.0,1.0,1.0,medium
test,0,1,28,32,0.5296538039983716,15.136847442001454,15.137478837001254,0.6430352330207825,0.328125,0.65625,0.5,0.39622641509433965,8.750000000000001e-06,1.0,1.0,1.0,medium
test,0,1,29,32,0.5289447069953894,15.666392983999685,15.667024341004435,0.6718792915344238,0.7931034482758621,0.625,0.6,0.536231884057971,9.0625e-06,1.0,1.0,1.0,medium
test,0,1,30,32,0.5284881050029071,16.195511846002773,16.196143118999316,0.6617287993431091,0.7580645161290323,0.53125,0.53125,0.3992490613266583,9.375000000000001e-06,1.0,1.0,1.0,medium
test,0,1,31,32,0.5298417550075101,16.725913679998484,16.726545006997185,0.654121994972229,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,9.6875e-06,1.0,1.0,1.0,medium
test,0,1,32,32,0.5297666630067397,17.256289903001743,17.256921167005203,0.6936964988708496,0.7,0.4375,0.55,0.37662337662337664,1e-05,1.0,1.0,1.0,medium
test,0,1,33,32,0.5306494709948311,17.78748588099552,17.788117203992442,0.6355934143066406,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,1.0312500000000002e-05,1.0,1.0,1.0,medium
