split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7722706030035624,0.8286913240008289,0.8292836040054681,0.7028409242630005,0.2851851851851852,0.34375,0.38492063492063494,0.2873806998939554,2.8571428571428573e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,2,32,0.5251328000013018,1.3755497410020325,1.3761419900110923,0.6922488212585449,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,5.7142857142857145e-06,1.03125,0.0,2.0,medium|hard|easy
test,0,1,3,32,0.5266758000070695,1.9028840829996625,1.9034763350064168,0.699195146560669,0.3392857142857143,0.40625,0.4294117647058824,0.3266888150609081,8.571428571428571e-06,0.6875,0.0,2.0,easy|hard|medium
test,0,1,4,32,0.5282050780078862,2.4316055480012437,2.4321978210064117,0.6928017139434814,0.6592592592592592,0.5625,0.5843137254901961,0.5151515151515151,1.1428571428571429e-05,1.1875,0.0,2.0,hard|easy|medium
test,0,1,5,32,0.5279527219972806,2.9600706710043596,2.960662934012362,0.7010760307312012,0.42995169082125606,0.375,0.4372294372294372,0.37254901960784315,1.4285714285714287e-05,0.875,0.0,2.0,easy|medium|hard
test,0,1,6,32,0.527399658007198,3.4879600489948643,3.488552303009783,0.7056848406791687,0.5274509803921569,0.53125,0.5277777777777778,0.5270935960591133,1.7142857142857142e-05,1.21875,0.0,2.0,hard|medium|easy
test,0,1,7,30,0.5124287199869286,4.0008692590054125,4.001461595005821,0.6852878332138062,0.5403726708074534,0.6,0.5311004784688995,0.5238095238095238,2e-05,1.2333333492279053,0.0,2.0,easy|hard|medium
test,0,2,1,32,0.5316482339985669,0.6046094790071948,5.020994222009904,0.6910196542739868,0.4583333333333333,0.5,0.46825396825396826,0.4458874458874459,1.9682539682539684e-05,1.03125,0.0,2.0,easy|medium|hard
test,0,2,2,32,0.5274918600043748,1.1328309000091394,5.549215659004403,0.6866598129272461,0.75,0.53125,0.5588235294117647,0.43859649122807015,1.9365079365079367e-05,0.84375,0.0,2.0,easy|hard|medium
test,0,2,3,32,0.5280192279897165,1.6613061300013214,6.077690883001196,0.668400764465332,0.328125,0.65625,0.5,0.39622641509433965,1.904761904761905e-05,1.25,0.0,2.0,medium|hard|easy
test,0,2,4,32,0.5276662440010114,2.1894596990023274,6.60584447500878,0.6884546279907227,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,1.8730158730158732e-05,0.9375,0.0,2.0,easy|medium|hard
test,0,2,5,32,0.528645433994825,2.7185435440042056,7.134928319006576,0.6681093573570251,0.28125,0.5625,0.5,0.36,1.8412698412698415e-05,0.96875,0.0,2.0,hard|medium|easy
test,0,2,6,32,0.5284437689988408,3.247422626009211,7.6638073890062515,0.6972792744636536,0.265625,0.53125,0.5,0.3469387755102041,1.8095238095238097e-05,0.8125,0.0,2.0,medium|hard|easy
test,0,2,7,30,0.5105181179969804,3.758356639998965,8.174741401002393,0.6515330672264099,0.35,0.7,0.5,0.4117647058823529,1.7777777777777777e-05,1.2000000476837158,0.0,2.0,hard|easy|medium
test,0,3,1,32,0.5323329870007001,0.6056951240025228,9.21456456001033,0.6583917140960693,0.28125,0.5625,0.5,0.36,1.7460317460317463e-05,0.9375,0.0,2.0,medium|hard|easy
