split,fold,epoch,train_loss,eval_loss,train_precision,train_accuracy,train_recall,train_f1,eval_precision,eval_accuracy,eval_recall,eval_f1,epoch_time_seconds,accumulated_time_seconds
test,0,1,0.7057994810017673,0.6902900338172913,0.45614035087719296,0.4,0.47830614370010416,0.3584305408271474,0.6533333333333333,0.6428571428571429,0.5614973262032086,0.5238095238095237,2.4567802870005835,2.456801922991872
test,0,2,0.6923281149430709,0.6689242124557495,0.4528152260111023,0.5636363636363636,0.47934744880249913,0.42508710801393723,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.243993397001759,4.701103460000013
test,0,3,0.6833990996534174,0.6573604941368103,0.30454545454545456,0.6090909090909091,0.5,0.3785310734463277,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.2346954480017303,6.936438446995453
test,0,4,0.6627113504843278,0.6417260766029358,0.30454545454545456,0.6090909090909091,0.5,0.3785310734463277,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.2298811270011356,9.166597403993364
test,0,5,0.6418781020424583,0.6103217005729675,0.30454545454545456,0.6090909090909091,0.5,0.3785310734463277,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.239665072003845,11.406574807988363
test,0,6,0.6106829762458801,0.5608890652656555,0.30454545454545456,0.6090909090909091,0.5,0.3785310734463277,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.2362212330044713,13.643085240997607
test,0,7,0.5724091334776444,0.49859169125556946,0.8073394495412844,0.6181818181818182,0.5116279069767442,0.4034090909090909,0.30357142857142855,0.6071428571428571,0.5,0.37777777777777777,2.2343302090012003,15.877681180994841
test,0,8,0.5011027428236875,0.42470625042915344,0.8489583333333333,0.7363636363636363,0.6627906976744187,0.6566569798729953,0.9047619047619048,0.8571428571428571,0.8181818181818181,0.8362573099415205,2.2301983179931995,18.108169258994167
test,0,9,0.4363882498307662,0.36426281929016113,0.9036144578313253,0.8545454545454545,0.813953488372093,0.8323809523809524,0.9722222222222222,0.9642857142857143,0.9545454545454546,0.9619047619047618,2.2303898709942587,20.33883004699601
test,0,10,0.383603712645444,0.33899185061454773,0.935064935064935,0.9090909090909091,0.8837209302325582,0.8994883040935673,0.9722222222222222,0.9642857142857143,0.9545454545454546,0.9619047619047618,2.237428373991861,22.57653581298655
