split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7762954989884747,0.8360161639866419,0.8366549249913078,0.7005957365036011,0.4642857142857143,0.4375,0.4841269841269841,0.37662337662337664,1.3245033112582784e-07,1.15625,0.0,2.0,hard|medium|easy
test,0,1,2,32,0.5246524280082667,1.3824939819896827,1.383132756993291,0.6970236301422119,0.22580645161290322,0.4375,0.4666666666666667,0.30434782608695654,2.649006622516557e-07,1.09375,0.0,2.0,hard|medium|easy
test,0,1,3,32,0.525604165988625,1.9086960619897582,1.9093348609894747,0.7020775079727173,0.3851851851851852,0.375,0.43724696356275305,0.3333333333333333,3.973509933774835e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,4,32,0.5254959070007317,2.434865595991141,2.4355043819959974,0.7016847729682922,0.5037037037037037,0.4375,0.5020242914979757,0.4,5.298013245033113e-07,0.96875,0.0,2.0,medium|hard|easy
test,0,1,5,32,0.5273989260022063,2.962811953999335,2.9634507859882433,0.6980409622192383,0.5407407407407407,0.5,0.5215686274509804,0.4458874458874459,6.622516556291392e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,6,32,0.5284609449881827,3.4918340149888536,3.4924728109908756,0.6970709562301636,0.7777777777777778,0.625,0.6470588235294118,0.5844155844155844,7.94701986754967e-07,0.90625,0.0,2.0,easy|hard|medium
test,0,1,7,32,0.5281846899888478,4.020624450989999,4.021263215996441,0.7038443684577942,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,9.271523178807948e-07,0.78125,0.0,2.0,hard|easy|medium
test,0,1,8,32,0.5274065230041742,4.548628647986334,4.54926743399119,0.6821250915527344,0.28125,0.5625,0.5,0.36,1.0596026490066227e-06,0.75,0.0,2.0,easy|hard|medium
test,0,1,9,32,0.5291402110015042,5.07835449599952,5.078993259987328,0.7006286382675171,0.4107142857142857,0.53125,0.4595141700404858,0.3992490613266583,1.1920529801324504e-06,1.0,0.0,2.0,hard|medium|easy
test,0,1,10,32,0.5284644440107513,5.607396218998474,5.608034985998529,0.7137171626091003,0.3735632183908046,0.40625,0.45634920634920634,0.3266888150609081,1.3245033112582784e-06,0.84375,0.0,2.0,easy|hard|medium
test,0,1,11,32,0.5277466760016978,6.135625730996253,6.136264476997894,0.7081925868988037,0.5,0.5,0.5,0.4181818181818182,1.456953642384106e-06,0.96875,0.0,2.0,medium|easy|hard
test,0,1,12,32,0.527851851991727,6.664078910995158,6.664717660998576,0.7030695676803589,0.4037037037037037,0.40625,0.4484126984126984,0.3552492046659597,1.589403973509934e-06,1.03125,0.0,2.0,easy|hard|medium
test,0,1,13,32,0.5287577100098133,7.193432079991908,7.194070828991244,0.6911296844482422,0.39743589743589747,0.4375,0.4375,0.37662337662337664,1.7218543046357616e-06,0.96875,0.0,2.0,easy|hard|medium
test,0,1,14,32,0.5284312760049943,7.722459435986821,7.723098205999122,0.6972030997276306,0.4657142857142857,0.40625,0.475,0.3913913913913914,1.8543046357615895e-06,0.96875,0.0,2.0,easy|hard|medium
test,0,1,15,32,0.5273948950052727,8.250434328991105,8.251073047998943,0.69048011302948,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,1.9867549668874175e-06,0.84375,0.0,2.0,easy|medium|hard
test,0,1,16,32,0.5291591660061385,8.780077092989814,8.780715849992703,0.7031590938568115,0.39743589743589747,0.4375,0.4375,0.37662337662337664,2.1192052980132454e-06,1.0625,0.0,2.0,easy|hard|medium
test,0,1,17,32,0.5284917300014058,9.309115059993928,9.309753796987934,0.6918707489967346,0.4375,0.53125,0.44805194805194803,0.43859649122807015,2.2516556291390733e-06,0.84375,0.0,2.0,hard|medium|easy
test,0,1,18,32,0.5279964309884235,9.837612279996392,9.838251041990588,0.702275276184082,0.39583333333333337,0.40625,0.4215686274509804,0.3764102564102564,2.384105960264901e-06,1.34375,0.0,2.0,hard|medium|easy
test,0,1,19,32,0.5275405400025193,10.365709461999359,10.366348216994083,0.6931100487709045,0.645021645021645,0.5625,0.6618357487922705,0.5607843137254902,2.516556291390729e-06,1.0,0.0,2.0,easy|hard|medium
test,0,1,20,32,0.5284901929990156,10.894738788992981,10.895377505992656,0.6873033046722412,0.5777777777777777,0.5625,0.5411764705882353,0.49090909090909085,2.6490066225165567e-06,0.78125,0.0,2.0,hard|easy|medium
test,0,1,21,32,0.5285118949977914,11.4237753579946,11.42441415898793,0.6954069137573242,0.37727272727272726,0.40625,0.3941176470588236,0.3764102564102564,2.7814569536423843e-06,0.75,0.0,2.0,easy|medium|hard
test,0,1,22,32,0.5276790880016051,11.951902714994503,11.952541462989757,0.6942684650421143,0.6858974358974359,0.59375,0.6137254901960785,0.5588547189819725,2.913907284768212e-06,0.9375,0.0,2.0,easy|hard|medium
test,0,1,23,32,0.5291335420042742,12.481622238992713,12.482260990000213,0.6933425664901733,0.4791666666666667,0.53125,0.4838056680161943,0.4684385382059801,3.04635761589404e-06,1.09375,0.0,2.0,hard|easy|medium
