split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7794661560037639,0.8390053589973832,0.8396194990054937,0.6832256317138672,0.5535714285714286,0.59375,0.5242914979757085,0.4793491864831039,1.282051282051282e-07,0.78125,0.0,2.0,easy|medium|hard
test,0,1,2,32,0.5229705089877825,1.3836770339985378,1.3842912719992455,0.682479202747345,0.5,0.5,0.5,0.3816425120772947,2.564102564102564e-07,0.90625,0.0,2.0,easy|hard|medium
test,0,1,3,32,0.5269295510079246,1.9112894419959048,1.911903889005771,0.699529767036438,0.5535714285714286,0.40625,0.525974025974026,0.3764102564102564,3.846153846153847e-07,0.875,0.0,2.0,hard|easy|medium
test,0,1,4,32,0.5277122940024128,2.4396602359920507,2.4402744620019803,0.69974684715271,0.7142857142857143,0.5,0.6,0.4666666666666667,5.128205128205128e-07,0.96875,0.0,2.0,medium|easy|hard
test,0,1,5,32,0.52720302400121,2.967494018987054,2.9681082510069245,0.6846147775650024,0.39629629629629626,0.53125,0.4416666666666667,0.3992490613266583,6.41025641025641e-07,1.03125,0.0,2.0,easy|medium|hard
test,0,1,6,32,0.5284546939947177,3.496579347993247,3.497193616000004,0.6915968656539917,0.5448717948717948,0.46875,0.5283400809716599,0.4420512820512821,7.692307692307694e-07,0.90625,0.0,2.0,easy|medium|hard
test,0,1,7,32,0.528270637994865,4.025414363990421,4.026028647000203,0.6932974457740784,0.7,0.4375,0.55,0.37662337662337664,8.974358974358975e-07,0.875,0.0,2.0,hard|medium|easy
test,0,1,8,32,0.5272206399968127,4.553235494997352,4.553849735995755,0.6961787939071655,0.21875,0.4375,0.5,0.30434782608695654,1.0256410256410257e-06,1.15625,0.0,2.0,hard|easy|medium
test,0,1,9,32,0.5270170449948637,5.0808667479868745,5.08148085900757,0.6989494562149048,0.40804597701149425,0.46875,0.46875,0.36374269005847953,1.153846153846154e-06,0.84375,0.0,2.0,easy|hard|medium
test,0,1,10,32,0.5283130050083855,5.609704381990014,5.610318496008404,0.7064497470855713,0.5574712643678161,0.46875,0.5198412698412699,0.39756367663344405,1.282051282051282e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,11,32,0.528075986992917,6.138316079988726,6.1389302690076875,0.671886682510376,0.6071428571428572,0.6875,0.5545454545454546,0.5428571428571429,1.4102564102564104e-06,0.9375,0.0,2.0,easy|medium|hard
