split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7790555340034189,0.8380724829912651,0.8386783210007707,0.6937971115112305,0.7666666666666666,0.5625,0.5625,0.45893719806763283,1.3245033112582784e-07,0.90625,0.0,2.0,medium|hard|easy
test,0,1,2,32,0.5261877949960763,1.3861325460020453,1.3867384549957933,0.7060964107513428,0.20967741935483872,0.40625,0.4642857142857143,0.28888888888888886,2.649006622516557e-07,1.15625,0.0,2.0,medium|easy|hard
test,0,1,3,32,0.5281428110029083,1.9147472710028524,1.9153532210038975,0.6853923797607422,0.2833333333333333,0.53125,0.4473684210526316,0.3469387755102041,3.973509933774835e-07,1.28125,0.0,2.0,hard|medium|easy
test,0,1,4,32,0.5281449650065042,2.4434487159887794,2.444054641004186,0.6905425786972046,0.26666666666666666,0.5,0.4444444444444444,0.3333333333333333,5.298013245033113e-07,0.90625,0.0,2.0,easy|hard|medium
test,0,1,5,32,0.5284282899956452,2.9724802519922378,2.9730861720017856,0.7106571793556213,0.7419354838709677,0.5,0.5294117647058824,0.3816425120772947,6.622516556291392e-07,1.0625,0.0,2.0,hard|medium|easy
test,0,1,6,32,0.5289907469996251,3.502094479990774,3.502700618992094,0.7238773107528687,0.3563218390804598,0.375,0.4493927125506073,0.3073593073593074,7.94701986754967e-07,1.03125,0.0,2.0,easy|hard|medium
test,0,1,7,32,0.5286406170052942,4.031330585989053,4.0319365019968245,0.6877898573875427,0.3,0.5625,0.45,0.36,9.271523178807948e-07,1.0625,0.0,2.0,easy|hard|medium
test,0,1,8,32,0.5277488639985677,4.559621653999784,4.560227535999729,0.6964877843856812,0.25,0.5,0.5,0.3333333333333333,1.0596026490066227e-06,0.84375,0.0,2.0,easy|medium|hard
test,0,1,9,32,0.5295831959956558,5.089721547992667,5.090327375000925,0.7001864910125732,0.7586206896551724,0.5625,0.5882352941176471,0.49090909090909085,1.1920529801324504e-06,0.9375,0.0,2.0,hard|easy|medium
test,0,1,10,32,0.528506575996289,5.618770375993336,5.6193762960028835,0.7088057994842529,0.3735632183908046,0.40625,0.45634920634920634,0.3266888150609081,1.3245033112582784e-06,1.09375,0.0,2.0,hard|medium|easy
test,0,1,11,32,0.5288165129895788,6.148149278989877,6.148755121001159,0.6957796812057495,0.6935483870967742,0.40625,0.525,0.3266888150609081,1.456953642384106e-06,0.96875,0.0,2.0,medium|easy|hard
test,0,1,12,32,0.5299939289980102,6.67871596099576,6.679321792005794,0.6918822526931763,0.48333333333333334,0.46875,0.49607843137254903,0.36374269005847953,1.589403973509934e-06,1.1875,0.0,2.0,hard|easy|medium
test,0,1,13,32,0.5299632949900115,7.209106554990285,7.209712372001377,0.6843792796134949,0.4777777777777778,0.53125,0.48809523809523814,0.43859649122807015,1.7218543046357616e-06,1.15625,0.0,2.0,medium|hard|easy
test,0,1,14,32,0.5293240259925369,7.738950664992444,7.739556597996852,0.717584490776062,0.3851851851851852,0.375,0.43724696356275305,0.3333333333333333,1.8543046357615895e-06,0.9375,0.0,2.0,hard|medium|easy
test,0,1,15,32,0.5288537000014912,8.268243832993903,8.268849668005714,0.6849488019943237,0.7166666666666667,0.46875,0.5526315789473684,0.39756367663344405,1.9867549668874175e-06,1.21875,0.0,2.0,easy|medium|hard
test,0,1,16,32,0.5298735570104327,8.798549415994785,8.799155336004333,0.6825599670410156,0.3,0.5625,0.45,0.36,2.1192052980132454e-06,1.0,0.0,2.0,hard|easy|medium
test,0,1,17,32,0.5291800380073255,9.328305114002433,9.328910961994552,0.6907222867012024,0.5166666666666666,0.53125,0.503921568627451,0.3992490613266583,2.2516556291390733e-06,1.03125,0.0,2.0,hard|medium|easy
test,0,1,18,32,0.5287493520008866,9.857564425998135,9.858170281004277,0.6906375885009766,0.5747126436781609,0.5,0.5254901960784314,0.4181818181818182,2.384105960264901e-06,1.1875,0.0,2.0,medium|easy|hard
test,0,1,19,32,0.5302387240080861,10.388426007993985,10.389031847997103,0.7060328722000122,0.6785714285714286,0.4375,0.5909090909090909,0.41700404858299595,2.516556291390729e-06,0.96875,0.0,2.0,medium|hard|easy
test,0,1,20,32,0.5299582949955948,10.918897212002776,10.919503034994705,0.6822795271873474,0.45977011494252873,0.5625,0.4858299595141701,0.4166666666666667,2.6490066225165567e-06,1.0625,0.0,2.0,hard|medium|easy
test,0,1,21,32,0.5294296359934378,11.44888537999941,11.449491217994364,0.7004291415214539,0.4642857142857143,0.4375,0.4841269841269841,0.37662337662337664,2.7814569536423843e-06,0.96875,0.0,2.0,hard|easy|medium
test,0,1,22,32,0.5302475869975751,11.979628593995585,11.980234426999232,0.6869409084320068,0.5,0.5,0.5,0.3816425120772947,2.913907284768212e-06,0.96875,0.0,2.0,hard|medium|easy
test,0,1,23,32,0.5299687740043737,12.510194154994679,12.510800075004227,0.7033069133758545,0.375,0.46875,0.44509803921568625,0.36374269005847953,3.04635761589404e-06,1.28125,0.0,2.0,medium|hard|easy
test,0,1,24,32,0.5286973360052798,13.03945073900104,13.040056671001366,0.7054224014282227,0.3392857142857143,0.40625,0.4294117647058824,0.3266888150609081,3.178807947019868e-06,1.1875,0.0,2.0,hard|medium|easy
test,0,1,25,32,0.5290313379955478,13.569044288989971,13.569650114004617,0.6812257766723633,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,3.311258278145696e-06,0.9375,0.0,2.0,hard|medium|easy
test,0,1,26,32,0.5299385690013878,14.099539011993329,14.100144839001587,0.6730997562408447,0.6071428571428572,0.6875,0.5545454545454546,0.5428571428571429,3.443708609271523e-06,0.8125,0.0,2.0,easy|hard|medium
test,0,1,27,32,0.5292748089996167,14.629364887994598,14.62997081699723,0.6997061967849731,0.34074074074074073,0.4375,0.4156862745098039,0.34545454545454546,3.576158940397351e-06,1.09375,0.0,2.0,medium|easy|hard
test,0,1,28,32,0.5290558069973486,15.15895988799457,15.159565775000374,0.6965714693069458,0.7,0.4375,0.55,0.37662337662337664,3.708609271523179e-06,0.8125,0.0,2.0,medium|easy|hard
test,0,1,29,32,0.5305484020063886,15.690028899000026,15.690634654994938,0.6986409425735474,0.4375,0.46875,0.4529411764705883,0.4231177094379639,3.841059602649007e-06,0.90625,0.0,2.0,hard|medium|easy
test,0,1,30,32,0.5299385039979825,16.220470254993415,16.221076165005798,0.6888293027877808,0.6227272727272727,0.59375,0.6058823529411765,0.5835835835835836,3.973509933774835e-06,1.15625,0.0,2.0,medium|hard|easy
test,0,1,31,32,0.5286771449900698,16.749685187998693,16.75029113200435,0.6940426826477051,0.4727272727272727,0.5,0.47619047619047616,0.4666666666666667,4.105960264900663e-06,1.09375,0.0,2.0,hard|medium|easy
test,0,1,32,32,0.5309174070134759,17.281055956002092,17.281661872999393,0.6920936703681946,0.4807692307692308,0.46875,0.4882352941176471,0.4231177094379639,4.238410596026491e-06,0.84375,0.0,2.0,hard|easy|medium
test,0,1,33,32,0.5299782930087531,17.811639929001103,17.81224582499999,0.6987228989601135,0.5457142857142857,0.53125,0.53125,0.4909862142099682,4.370860927152319e-06,1.15625,0.0,2.0,easy|hard|medium
test,0,1,34,32,0.5292059880011948,18.341450915002497,18.34205685199413,0.6895241737365723,0.5625,0.59375,0.548582995951417,0.539313399778516,4.503311258278147e-06,0.9375,0.0,2.0,medium|easy|hard
