split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7681609360006405,0.825404040995636,0.8260208249994321,0.694611668586731,0.7741935483870968,0.5625,0.5333333333333333,0.4166666666666667,6.666666666666667e-06,0.1875,0.0,1.0,easy|medium
test,0,1,2,32,0.5203600290114991,1.367224988003727,1.3678418530034833,0.6987747550010681,0.28125,0.5625,0.5,0.36,1.3333333333333333e-05,1.40625,1.0,2.0,medium|hard
test,0,1,3,12,0.24392472198815085,1.6115864059975138,1.612203180004144,0.7150667309761047,0.2,0.3333333333333333,0.3333333333333333,0.25,2e-05,2.0,2.0,2.0,hard
test,0,2,1,32,0.5250856799975736,0.6009313590038801,2.448389565994148,0.6991093158721924,0.5166666666666666,0.53125,0.503921568627451,0.3992490613266583,1.925925925925926e-05,0.1875,0.0,1.0,easy|medium
test,0,2,2,32,0.5245441610022681,1.1260920799977612,2.9735501569957705,0.6813620328903198,0.5333333333333333,0.5625,0.5079365079365079,0.4166666666666667,1.851851851851852e-05,1.40625,1.0,2.0,medium|hard
test,0,2,3,12,0.24325601699820254,1.3697399990051053,3.217198158003157,0.6899033188819885,0.7727272727272727,0.5833333333333334,0.5833333333333334,0.4957983193277311,1.7777777777777777e-05,2.0,2.0,2.0,hard
test,0,3,1,32,0.5260180849872995,0.6025659120059572,4.071798350996687,0.6919479370117188,0.6091954022988506,0.5625,0.5372549019607843,0.45893719806763283,1.7037037037037038e-05,0.1875,0.0,1.0,easy|medium
test,0,3,2,32,0.5232166659989161,1.1263754130050074,4.595607884999481,0.6755081415176392,0.7903225806451613,0.59375,0.5357142857142857,0.4340136054421769,1.6296296296296297e-05,1.40625,1.0,2.0,medium|hard
test,0,3,3,12,0.24283574899891391,1.369694855005946,4.838927310003783,0.675921618938446,0.25,0.5,0.5,0.3333333333333333,1.555555555555556e-05,2.0,2.0,2.0,hard
test,0,4,1,32,0.5262361640052404,0.6020821160054766,5.689304304993129,0.6888035535812378,0.7833333333333333,0.59375,0.5666666666666667,0.4793491864831039,1.4814814814814815e-05,0.1875,0.0,1.0,easy|medium
test,0,4,2,32,0.5230101339984685,1.1257370579987764,6.212958314004936,0.6763080358505249,0.27419354838709675,0.53125,0.4722222222222222,0.3469387755102041,1.4074074074074075e-05,1.40625,1.0,2.0,medium|hard
test,0,4,3,12,0.24286584700166713,1.369007084009354,6.456228358001681,0.6592407822608948,0.25,0.5,0.5,0.3333333333333333,1.3333333333333333e-05,2.0,2.0,2.0,hard
test,0,5,1,32,0.5252439169998979,0.6007765249960357,7.305539178996696,0.655657172203064,0.7833333333333333,0.59375,0.5666666666666667,0.4793491864831039,1.2592592592592593e-05,0.1875,0.0,1.0,easy|medium
