split,fold,epoch,batch,batch_size,batch_time_seconds,epoch_accumulated_time_seconds,total_accumulated_time_seconds,loss,precision,accuracy,recall,f1,learning_rate,difficulty_mean,difficulty_min,difficulty_max,difficulty_labels
test,0,1,1,32,0.7699148940009763,0.8269688510044944,0.8275391819915967,0.6289247274398804,0.4838709677419355,0.9375,0.4838709677419355,0.4838709677419355,1e-05,0.5,0.0,2.0,easy|hard|medium
test,0,1,2,28,0.47165327600669116,1.3207407660083845,1.3213111589866458,0.6392427086830139,0.48148148148148145,0.9285714285714286,0.48148148148148145,0.48148148148148145,2e-05,0.5,0.0,2.0,hard|easy|medium
test,0,2,1,32,0.5283214090013644,0.603759687001002,2.150147433989332,0.6095377206802368,0.46875,0.9375,0.5,0.4838709677419355,1.888888888888889e-05,0.59375,0.0,2.0,easy|medium|hard
test,0,2,2,28,0.4741480840020813,1.0785742400039453,2.6249619699956384,0.5724896192550659,1.0,1.0,1.0,1.0,1.7777777777777777e-05,0.392857164144516,0.0,2.0,medium|easy|hard
test,0,3,1,32,0.530966977996286,0.6062906109873438,3.4669093929987866,0.5081406831741333,0.484375,0.96875,0.5,0.49206349206349204,1.6666666666666667e-05,0.34375,0.0,2.0,easy|hard|medium
test,0,3,2,28,0.4736098099965602,1.0805452189961215,3.9411640409962274,0.4426895081996918,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,1.555555555555556e-05,0.6785714626312256,0.0,2.0,easy|hard|medium
test,0,4,1,32,0.5299381950026145,0.6041508890048135,4.778646774997469,0.43420571088790894,0.484375,0.96875,0.5,0.49206349206349204,1.4444444444444446e-05,0.59375,0.0,2.0,easy|medium|hard
test,0,4,2,28,0.47409492000588216,1.0788842990004923,5.253380464986549,0.35880202054977417,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,1.3333333333333333e-05,0.392857164144516,0.0,2.0,easy|medium|hard
test,0,5,1,32,0.5295331480010645,0.6045240789972013,6.095972202994744,0.2894740700721741,0.484375,0.96875,0.5,0.49206349206349204,1.2222222222222224e-05,0.40625,0.0,2.0,medium|easy|hard
test,0,5,2,28,0.4740621950040804,1.0792183589946944,6.5706664889876265,0.2120637148618698,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,1.1111111111111113e-05,0.6071428656578064,0.0,2.0,easy|medium|hard
test,0,6,1,32,0.5297536739963107,0.6061268829944311,7.4070991659973515,0.23700422048568726,0.46875,0.9375,0.5,0.4838709677419355,1e-05,0.5625,0.0,2.0,easy|medium|hard
test,0,6,2,28,0.4731836989958538,1.0798865149990888,7.880858807999175,0.08555208146572113,1.0,1.0,1.0,1.0,8.888888888888888e-06,0.4285714626312256,0.0,2.0,medium|easy|hard
test,0,7,1,32,0.5297607719985535,0.6047371099994052,8.728008555990527,0.06400138139724731,1.0,1.0,1.0,1.0,7.77777777777778e-06,0.46875,0.0,2.0,easy|hard|medium
test,0,7,2,28,0.4750575740035856,1.0804865379905095,9.20375800599868,0.2744865119457245,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,6.666666666666667e-06,0.535714328289032,0.0,2.0,easy|medium|hard
test,0,8,1,32,0.5310951419960475,0.6141791089903563,10.069023136995384,0.04380159452557564,1.0,1.0,1.0,1.0,5.555555555555557e-06,0.4375,0.0,2.0,hard|medium|easy
test,0,8,2,28,0.4739617049926892,1.0887745679938234,10.543618540992611,0.2542395293712616,0.4642857142857143,0.9285714285714286,0.5,0.48148148148148145,4.444444444444444e-06,0.5714285969734192,0.0,2.0,easy|medium|hard
test,0,9,1,32,0.5295058659976348,0.6042711659974884,11.379521886992734,0.13844537734985352,0.484375,0.96875,0.5,0.49206349206349204,3.3333333333333333e-06,0.59375,0.0,2.0,easy|medium|hard
test,0,9,2,28,0.47387642299872823,1.078780910000205,11.85403166199103,0.1543702632188797,0.48214285714285715,0.9642857142857143,0.5,0.4909090909090909,2.222222222222222e-06,0.392857164144516,0.0,2.0,easy|hard|medium
test,0,10,1,32,0.5298236620001262,0.605310956001631,12.69167170599394,0.252969354391098,0.46875,0.9375,0.5,0.4838709677419355,1.111111111111111e-06,0.5625,0.0,2.0,easy|hard|medium
test,0,10,2,28,0.4739516179979546,1.0798805209924467,13.166241343991715,0.033963412046432495,1.0,1.0,1.0,1.0,0.0,0.4285714626312256,0.0,2.0,easy|hard|medium
